main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
$,185,5,15,18,0,0,0,505,330,2024,2,2,2024,8,30,21
*NSYNC,198,16,2,25,0,0,0,2017,183,2019,1,1,2025,12,31,134
163Margs,189,89,1,2,0,0,0,638,631,2023,10,5,2023,10,12,89
21 Savage,193,11,21,76,0,0,0,2899,414,2017,1,1,2024,12,31,146
220 KID,194,12,2,42,0,0,0,1926,1604,2020,1,1,2021,12,30,162
24kGoldn,195,1,3,87,0,0,0,1961,1275,2020,1,1,2022,12,31,88
2Pac,183,183,1,1,0,0,0,1849,1849,2020,6,11,2020,6,11,183
4batz,191,59,2,5,0,0,0,512,463,2024,2,8,2024,3,28,166
5 After Midnight,195,85,1,8,0,0,0,2948,2899,2017,6,6,2017,7,29,195
5 Seconds of Summer,199,8,9,99,0,1,0,2682,1828,2018,1,1,2020,12,31,51
50 Cent,199,72,3,60,0,0,0,1247,512,2022,1,1,2024,11,31,181
6LACK,170,170,1,1,0,0,0,2479,2479,2018,9,20,2018,9,20,170
6ix9ine,200,7,14,61,0,0,0,2717,1772,2018,1,1,2020,12,31,167
80purppp,169,107,1,5,0,0,0,897,869,2023,1,2,2023,2,26,150
98,192,126,1,7,0,0,0,2759,2381,2017,12,6,2018,12,28,180
A Boogie Wit da Hoodie,200,25,7,54,0,0,0,2374,1835,2019,1,1,2020,12,31,147
A$AP Ferg,162,146,1,3,0,0,0,2787,2773,2017,11,16,2017,11,30,162
A$AP Rocky,197,14,7,82,0,0,0,2640,78,2018,1,1,2025,12,31,110
A1 x J1,200,4,3,78,0,0,0,1604,1037,2021,1,1,2022,12,31,16
A92,149,53,1,28,0,0,0,1702,1513,2020,1,1,2021,12,31,134
ABBA,197,45,5,23,0,0,0,1394,183,2021,1,1,2025,11,28,68
AC/DC,194,124,3,18,0,0,0,2801,1,2017,4,1,2025,11,31,171
ACRAZE,188,13,1,29,0,0,0,1338,1142,2021,1,2,2022,12,31,81
AJ,186,53,2,37,0,0,0,2612,2164,2018,1,1,2019,11,31,131
AJ Tracey,198,2,30,194,0,0,0,2822,85,2017,1,1,2025,12,31,126
AJR,200,39,2,24,0,1,0,3095,995,2017,1,1,2022,10,30,165
ALMA,193,30,2,32,0,0,0,2990,2773,2017,4,1,2017,11,31,193
ANOTR,196,37,1,29,0,0,0,820,372,2023,4,1,2024,10,31,196
ATB,197,11,1,35,0,0,0,1611,1373,2021,2,1,2021,9,30,153
AURORA,176,31,1,16,0,0,0,1555,1450,2021,4,1,2021,7,29,176
Ab-Soul,136,136,1,1,0,0,0,2696,2696,2018,2,15,2018,2,15,136
Abor & Tynna,105,105,1,1,0,0,0,43,43,2025,5,22,2025,5,22,105
Abra Cadabra,175,83,4,11,0,0,0,1772,1338,2020,2,3,2021,11,27,88
Abracadabra,194,57,2,11,0,0,0,2808,1744,2017,7,3,2020,10,30,194
Adam Port,200,20,1,51,0,0,0,365,1,2024,1,1,2025,12,31,123
Addison Rae,198,22,5,34,0,0,0,309,1,2024,1,1,2025,12,31,126
Adele,200,1,28,185,0,0,0,3109,71,2016,1,1,2025,12,31,182
Aerosmith,200,87,1,5,0,0,0,967,911,2022,1,1,2023,12,24,139
Agust D,189,189,1,1,0,0,0,1863,1863,2020,5,28,2020,5,28,189
Aitch,199,1,23,131,0,0,0,2157,141,2019,1,1,2025,12,31,11
Ajet 2F,183,73,1,3,0,0,0,1275,1261,2022,1,6,2022,1,20,91
Akon,200,89,1,16,0,0,0,624,386,2023,1,1,2024,11,30,161
Alan Walker,199,89,4,23,0,0,0,3109,2241,2016,1,1,2019,12,30,199
Alec Benjamin,188,38,1,19,0,0,0,2346,2199,2019,1,2,2019,6,31,175
Aled Jones,199,113,3,5,0,0,0,3109,918,2016,12,26,2022,12,29,119
Alessandra,133,11,1,3,0,0,0,778,764,2023,5,1,2023,6,25,11
Alessia Cara,195,30,3,41,0,0,0,3109,2017,2016,1,1,2019,12,31,123
Alesso,193,90,3,18,0,0,0,3067,1002,2017,2,1,2022,11,29,193
Alex Ross,200,165,1,9,0,0,0,2976,2906,2017,5,1,2017,7,29,168
Alex Warren,198,1,6,59,0,0,0,449,1,2024,1,1,2025,12,30,145
Alexander 23,165,165,1,1,0,0,0,1849,1849,2020,6,11,2020,6,11,165
Ali Gatie,188,60,2,34,0,0,0,2199,1905,2019,1,1,2020,11,31,102
Alice Merton,193,109,1,4,0,0,0,2598,2577,2018,5,7,2018,6,31,193
All Time Low,155,112,1,4,0,0,0,1625,1604,2021,1,4,2021,2,28,122
Alok,194,92,2,21,0,0,0,3095,960,2017,1,1,2022,11,29,194
Alphaville,178,102,1,6,0,0,0,337,302,2024,8,1,2024,9,29,138
Alz X 38,200,146,1,5,0,0,0,2052,1996,2019,1,5,2020,12,28,170
Amaarae,200,34,1,15,0,0,0,1338,1240,2021,1,2,2022,12,30,112
Amanda Seyfried,192,116,2,5,0,0,0,2528,2500,2018,8,2,2018,8,30,189
Amelia Mont,173,165,1,3,0,0,0,2514,2500,2018,8,16,2018,8,30,165
Amin,200,129,1,7,0,0,0,3102,3060,2017,1,2,2017,2,26,200
Amy Grant,143,133,1,2,0,0,0,1289,1282,2021,12,23,2021,12,30,143
Amy Winehouse,198,67,2,25,0,0,0,442,155,2024,1,2,2025,11,31,90
Anderson .Paak,139,139,1,1,0,0,0,2458,2458,2018,10,11,2018,10,11,139
Andra Day,157,137,1,3,0,0,0,2934,2920,2017,6,6,2017,7,29,142
Andrew Garfield,175,78,1,6,0,0,0,1282,1247,2021,1,3,2022,12,30,163
Andrew Gold,181,132,1,3,0,0,0,974,246,2022,10,2,2024,11,31,132
Andy Grammer,200,127,1,10,0,0,0,3109,3011,2016,1,2,2017,12,29,196
Andy Williams,195,5,2,50,0,0,0,3109,190,2016,11,1,2024,12,31,14
Anne-Marie,200,2,12,262,0,0,0,3109,617,2016,1,1,2023,12,31,165
AnnenMayKantereit,199,97,1,5,0,0,0,1198,1170,2022,3,7,2022,4,31,97
Ant Saunders,170,78,1,8,0,0,0,2059,1989,2019,1,2,2020,12,28,78
Anton Powers,195,166,1,6,0,0,0,2969,2913,2017,5,1,2017,7,25,195
Aqua,186,186,1,1,0,0,0,708,708,2023,7,27,2023,7,27,186
Arcade Fire,173,108,1,2,0,0,0,2948,2892,2017,6,3,2017,8,8,173
Arcane,198,42,1,8,0,0,0,218,169,2024,1,2,2025,12,28,47
Arctic Monkeys,200,15,32,387,0,0,0,3102,1,2017,1,1,2025,12,31,138
Aretha Franklin,195,92,4,1,0,0,0,2507,2507,2018,8,23,2018,8,23,195
Ariana Grande,199,1,81,327,0,0,0,3109,57,2016,1,1,2025,12,31,85
Arizona Zervas,192,3,1,58,0,0,0,2066,1632,2019,1,1,2021,12,30,39
Arlissa,198,184,1,2,0,0,0,2598,2591,2018,5,24,2018,5,31,198
Armani White,186,79,1,11,0,0,0,1030,960,2022,9,3,2022,11,29,152
ArrDee,200,3,7,56,0,0,0,1485,827,2021,1,1,2023,12,31,12
Artemas,199,2,2,53,0,0,0,512,148,2024,1,1,2025,12,31,142
Artists for Grenfell,182,25,1,5,0,0,0,2934,2906,2017,6,6,2017,7,29,144
Arz,197,25,1,47,0,0,0,1415,1016,2021,1,2,2022,12,31,91
Asake,194,103,1,2,0,0,0,372,365,2024,6,4,2024,7,27,103
Ashe,177,33,1,11,0,0,0,1954,1884,2020,2,2,2020,5,30,48
Ashley O,148,57,1,7,0,0,0,2206,2164,2019,6,1,2019,8,27,111
Ashnikko,180,39,2,33,0,0,0,1751,1485,2020,1,1,2021,12,31,107
Atomic Kitten,127,26,1,2,1,0,0,1457,1450,2021,7,8,2021,7,15,127
Au/Ra,197,53,1,21,0,0,0,2577,2437,2018,6,1,2018,11,30,197
Auli'i Cravalho,199,169,1,11,0,0,0,3046,2864,2017,3,2,2017,8,31,194
Austyn Johnson,196,72,1,25,0,0,0,2731,2360,2018,1,1,2019,7,31,87
Ava Max,200,1,5,148,0,0,0,2458,190,2018,1,1,2024,12,31,137
Avelino,196,109,1,18,0,0,0,2556,2437,2018,7,1,2018,11,30,193
Avicii,200,6,19,228,0,0,0,2878,43,2017,1,1,2025,12,31,77
Avril Lavigne,151,151,1,1,0,0,0,1324,1324,2021,11,18,2021,11,18,151
Axwell /\ Ingrosso,197,29,1,26,0,0,0,2934,2724,2017,1,2,2018,11,31,73
Ayra Starr,185,65,1,25,0,0,0,883,715,2023,2,1,2023,7,30,185
B Young,197,17,6,67,0,0,0,2738,1793,2018,1,1,2020,11,31,168
BANNERS,195,60,1,69,0,0,0,1828,1261,2020,1,1,2022,12,30,169
BENEE,194,19,1,25,0,0,0,1947,1779,2020,3,2,2020,8,30,194
BICEP,196,70,2,3,0,0,0,1618,1604,2021,1,4,2021,2,28,70
BL3SS,169,12,1,55,0,0,0,379,1,2024,1,1,2025,12,31,105
BLACKPINK,198,35,10,24,1,0,0,2570,995,2018,4,1,2022,10,29,192
BLANKA,172,172,1,1,0,0,0,778,778,2023,5,18,2023,5,18,172
BRNS,195,59,1,22,0,0,0,1793,1618,2020,1,1,2021,12,29,138
BROCKHAMPTON,199,51,3,18,0,0,0,2472,1898,2018,1,2,2020,9,30,199
BTS,197,18,31,67,0,1,0,2836,1114,2017,1,1,2022,12,31,196
Baby Keem,176,71,1,6,0,0,0,1401,1366,2021,9,2,2021,10,30,81
Baby Lasagna,79,79,1,1,0,0,0,414,414,2024,5,16,2024,5,16,79
Baby Tate,173,82,1,2,0,0,0,883,876,2023,2,2,2023,2,9,82
Baccara,142,81,1,2,0,0,0,1688,1471,2020,6,19,2021,11,24,142
Backstreet Boys,184,166,3,3,0,1,0,2423,974,2018,11,3,2022,12,26,184
Bad Boy Chiller Crew,199,7,5,46,0,0,0,1534,1051,2021,1,1,2022,8,31,147
Bad Bunny,200,13,4,28,0,0,0,2451,141,2018,1,1,2025,12,31,13
Baddiel,198,3,3,15,0,0,0,2570,351,2018,6,1,2024,12,28,103
Badger,189,29,1,19,0,0,0,442,316,2024,4,1,2024,8,30,32
Bag Raiders,188,131,1,4,0,0,0,3053,3032,2017,2,2,2017,3,23,157
Bakar,200,19,2,43,0,0,0,848,372,2023,3,1,2024,10,31,190
Bambie Thug,169,169,1,1,0,0,0,414,414,2024,5,16,2024,5,16,169
Band Aid,177,4,1,50,0,0,0,3109,190,2016,11,1,2024,12,31,17
Bandokay,166,154,2,2,0,0,0,1877,1478,2020,5,14,2021,6,17,166
Banx & Ranx,191,7,1,28,0,0,0,2661,2472,2018,3,2,2018,9,31,79
Barbara Pravi,116,116,1,1,0,0,0,1499,1499,2021,5,27,2021,5,27,116
Bas,162,162,1,1,0,0,0,1450,1450,2021,7,15,2021,7,15,162
Bastille,200,70,8,221,0,0,0,3102,1,2017,1,1,2025,12,31,148
Bazzi,199,18,4,46,0,0,0,2710,2143,2018,2,1,2019,11,31,162
Beach Bunny,178,81,1,8,0,0,0,1562,1513,2021,3,1,2021,5,29,178
Beach House,176,153,1,3,0,0,0,911,897,2023,1,5,2023,1,19,172
Beach Weather,196,42,1,36,0,0,0,1051,652,2022,1,1,2023,12,30,147
Bebe Rexha,200,14,5,79,0,0,0,3102,2241,2017,1,1,2019,12,31,157
Becky Hill,196,6,14,232,0,0,0,2192,302,2019,1,1,2024,12,31,136
Bee Gees,195,127,1,2,0,0,0,1548,1541,2021,4,8,2021,4,15,127
Bella Poarch,138,44,1,11,0,0,0,1506,1436,2021,5,1,2021,7,29,89
Belly Squad,199,110,1,9,0,0,0,2612,2549,2018,5,7,2018,7,31,110
Belters Only,196,8,2,41,0,0,0,1275,995,2022,1,1,2022,10,31,121
Benson Boone,200,1,8,104,0,0,0,1345,1,2021,1,1,2025,12,31,136
Benzz,178,28,2,20,0,0,0,1163,1030,2022,4,1,2022,9,30,94
Beyonc,200,2,50,175,0,0,0,3067,8,2017,1,1,2025,12,30,161
Bhad Bhabie,181,175,1,2,0,0,0,120,113,2025,3,6,2025,3,13,181
Biffy Clyro,194,170,2,2,0,0,0,3102,1779,2017,1,5,2020,8,20,170
Big Red Machine,173,173,1,1,0,0,0,1457,1457,2021,7,8,2021,7,8,173
Big Sean,179,53,3,21,0,0,0,3095,2955,2017,1,1,2017,6,30,148
Big Shaq,187,6,2,29,0,0,0,2836,2598,2017,1,1,2018,12,30,55
Bill Withers,195,46,3,19,0,0,0,1912,316,2020,3,1,2024,8,30,86
Billie Eilish,200,1,55,360,0,0,0,2626,1,2018,1,1,2025,12,31,162
Billy Gillies,147,21,1,35,0,0,0,652,414,2023,1,1,2024,12,30,133
Billy Joel,199,86,4,43,0,0,0,484,1,2024,1,1,2025,11,30,172
Billy Ocean,145,122,1,3,0,0,0,183,169,2025,1,2,2025,1,16,122
Bing Crosby,200,15,10,40,0,0,0,3109,190,2016,11,1,2024,12,31,33
Bizarrap,110,49,1,4,0,0,0,897,876,2023,1,2,2023,2,26,49
Black Eyed Peas,200,41,4,29,0,0,0,2948,1,2017,1,1,2025,11,29,85
Black Saint,197,190,1,3,0,0,0,3095,3053,2017,1,12,2017,2,23,192
Blackstreet,200,159,1,5,0,1,0,2829,2738,2017,1,4,2018,11,26,194
Blake Roman,182,131,1,4,0,0,0,512,491,2024,2,8,2024,2,29,131
Blanco,198,159,2,3,0,0,0,1520,638,2021,5,5,2023,10,20,198
