main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
$,199,2,18,22,0,0,0,505,323,2024,2,2,2024,8,30,24
$NOT,125,125,1,1,0,0,0,1240,1240,2022,2,10,2022,2,10,125
$uicideboy$,197,92,1,7,0,0,0,1380,1338,2021,9,4,2021,11,30,159
(G)I-DLE,195,101,3,18,1,0,0,1198,694,2022,3,1,2023,11,31,189
*NSYNC,200,10,2,28,0,0,0,2745,183,2017,1,1,2025,12,31,200
13 Organis,166,135,1,2,0,0,0,1723,1716,2020,10,15,2020,10,22,135
187 Strassenbande,192,184,2,2,0,0,0,2899,1513,2017,5,13,2021,7,27,192
2 Chainz,198,71,6,30,0,0,0,2948,2311,2017,3,2,2019,11,31,145
21 Savage,200,8,44,129,0,0,0,3109,379,2016,1,1,2024,12,31,100
24kGoldn,199,1,4,118,0,0,0,2101,1156,2019,1,1,2022,12,31,179
347aidan,194,190,1,3,0,0,0,1639,1618,2021,1,7,2021,1,28,190
4*TOWN (From Disney and Pixars Turning Red),176,124,1,4,0,0,0,1198,1177,2022,3,7,2022,4,31,157
4batz,183,55,2,7,0,0,0,519,470,2024,2,1,2024,3,22,172
5 Seconds of Summer,200,8,9,126,0,1,0,2682,1772,2018,1,1,2020,12,31,51
50 Cent,198,77,1,13,0,0,0,1233,911,2022,1,3,2023,5,31,92
6LACK,176,129,2,1,0,0,0,2479,2479,2018,9,20,2018,9,20,129
6ix9ine,200,2,22,81,0,0,0,2780,1744,2017,1,1,2020,12,31,196
A Boogie Wit da Hoodie,200,20,11,90,0,0,0,2997,1835,2017,1,1,2020,12,31,144
A R I Z O N A,165,108,1,10,0,0,0,3088,3025,2017,1,2,2017,3,26,141
A$AP Ferg,194,37,2,35,0,0,0,2843,1793,2017,1,1,2020,12,30,194
A$AP Rocky,200,25,13,55,0,0,0,2682,225,2018,1,1,2024,12,31,190
A-Wall,192,140,1,7,0,0,0,1408,1366,2021,8,2,2021,10,30,165
ABBA,191,78,3,3,0,0,0,1394,183,2021,1,2,2025,9,9,78
AC/DC,200,149,3,29,0,0,0,2437,232,2018,3,1,2024,11,31,152
ACRAZE,199,9,1,40,0,0,0,1338,1058,2021,1,2,2022,12,31,120
AJR,190,25,1,33,0,1,0,3109,2885,2016,1,1,2017,12,30,146
AK AUSSERKONTROLLE,131,131,1,1,0,0,0,1856,1856,2020,6,4,2020,6,4,131
AP Dhillon,176,53,2,14,0,0,0,1261,659,2022,1,3,2023,9,31,95
ATB,198,26,1,35,0,0,0,1611,1373,2021,2,1,2021,9,30,191
ATLXS,134,41,1,14,0,0,0,92,1,2025,4,1,2025,7,29,134
AUR,197,75,1,9,0,0,0,617,561,2023,10,2,2023,12,30,114
AURORA,200,19,1,21,0,0,0,1555,1415,2021,4,1,2021,8,29,125
AYLIVA,188,128,2,3,0,0,0,897,428,2023,1,2,2024,5,26,139
Aaron Carter,164,105,1,9,0,0,0,3067,3011,2017,2,2,2017,4,30,164
Aaron Smith,200,101,1,21,0,0,0,2311,2171,2019,3,2,2019,7,30,168
Ab-Soul,190,114,1,2,0,0,0,2696,2689,2018,2,15,2018,2,22,114
Abor & Tynna,145,145,1,1,0,0,0,43,43,2025,5,22,2025,5,22,145
Abraham Mateo,198,132,1,19,0,0,0,2885,2731,2017,1,2,2018,11,31,183
Achille Lauro,188,188,1,1,0,0,0,134,134,2025,2,20,2025,2,20,188
Adam Port,198,19,1,35,0,0,0,379,1,2024,1,1,2025,11,31,161
Addison Rae,196,32,3,23,0,0,0,302,1,2024,1,2,2025,12,31,195
Adele,200,1,24,174,0,0,0,3109,113,2016,1,1,2025,12,31,151
Aerosmith,195,104,1,10,0,0,0,967,883,2022,1,1,2023,12,24,195
Afusic,176,151,1,3,0,0,0,71,57,2025,4,1,2025,5,24,151
AgroPlay,197,50,1,26,0,0,0,862,687,2023,2,1,2023,8,30,142
Agust D,190,21,4,7,0,0,0,1863,778,2020,4,4,2023,5,28,55
Aitana,200,141,1,2,0,0,0,2528,2521,2018,8,2,2018,8,9,141
