main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
*NSYNC,193,28,1,9,0,0,0,337,281,2024,8,1,2024,9,29,62
2 Chainz,135,135,1,1,0,0,0,2311,2311,2019,3,7,2019,3,7,135
21 Savage,169,57,1,3,0,0,0,2318,2304,2019,2,7,2019,3,28,57
24kGoldn,189,2,2,87,0,0,0,1772,1170,2020,1,1,2022,12,31,175
5 Seconds of Summer,194,14,5,32,0,1,0,2318,1968,2019,2,1,2020,10,30,120
6ix9ine,198,106,2,6,0,0,0,1877,1842,2020,5,4,2020,6,28,134
A.R. Rahman,200,1,41,328,0,0,0,2318,8,2019,1,1,2025,12,31,29
AKASA,156,156,1,1,0,0,0,2241,2241,2019,5,16,2019,5,16,156
AMARIA BB,179,76,1,7,0,0,0,1163,1121,2022,4,2,2022,6,28,170
AP Dhillon,200,1,28,238,0,0,0,1681,8,2020,1,1,2025,12,31,75
ATLXS,197,133,1,9,0,0,0,85,29,2025,4,1,2025,6,29,197
AUR,174,1,3,82,0,0,0,624,57,2023,1,1,2025,12,31,4
AURORA,197,3,1,24,0,0,0,1555,1394,2021,4,1,2021,9,29,160
Aanchal Tyagi,185,185,1,1,0,0,0,134,134,2025,2,20,2025,2,20,185
Aashir Wajahat,196,15,1,20,0,0,0,491,358,2024,2,2,2024,7,30,32
Aastha Gill,196,75,3,35,0,0,0,2318,267,2019,2,1,2024,10,30,110
Abdul Hannan,200,125,1,7,0,0,0,841,43,2023,3,1,2025,5,24,200
Abeer Arora,198,158,1,5,0,0,0,1702,1674,2020,11,3,2020,12,26,198
Abhay Jodhpurkar,175,135,1,5,0,0,0,2304,2276,2019,3,4,2019,4,28,175
Abhijeet,187,187,1,1,0,0,0,78,78,2025,4,17,2025,4,17,187
Abhijeet Srivastava,180,24,1,47,0,0,0,2248,1898,2019,1,1,2020,12,31,52
Achint,199,21,2,29,0,0,0,1709,99,2020,1,3,2025,12,31,101
Adarsh Krishnan N,190,169,1,4,0,0,0,351,330,2024,7,1,2024,8,25,169
Addy Nagar,186,54,1,12,0,0,0,631,554,2023,10,2,2023,12,30,111
