main_artist,artist_names,art_dict
$,Kanye West - Ty Dolla $ign,"{'$': [' Ty Dolla $ign', 'Kanye West ']}"
$,Kanye West - Ty Dolla $ign - Playboi Carti - Rich The Kid,"{'$': ['Kanye West ', ' Rich The Kid', ' Ty Dolla $ign ', ' Playboi Carti ']}"
$NOT,A$AP Rocky,{'$NOT': ['A$AP Rocky']}
$uicideboy$,,{'$uicideboy$': ['']}
015 MusiQ & Van City MusiQ,Veyane - OHP Sage,"{'015 MusiQ & Van City MusiQ': [' OHP Sage', 'Veyane ']}"
031CHOPPA,DBN Gogo - Royal MusiQ - Djy Biza,"{'031CHOPPA': ['DBN Gogo ', ' Royal MusiQ ', ' Djy Biza']}"
031CHOPPA,Madumane - Xduppy - Focalistic - Kingtone,"{'031CHOPPA': ['Madumane ', ' Kingtone', ' Focalistic ', ' Xduppy ']}"
2 Chainz,Drake - Quavo,"{'2 Chainz': ['Drake ', ' Quavo']}"
2 Chainz,Ariana Grande,{'2 Chainz': ['Ariana Grande']}
2 Chainz,Travis Scott,{'2 Chainz': ['Travis Scott']}
21 Savage,,{'21 Savage': ['']}
21 Savage,Metro Boomin,{'21 Savage': ['Metro Boomin']}
21 Savage,Metro Boomin - Drake,"{'21 Savage': [' Drake', 'Metro Boomin ']}"
21 Savage,Metro Boomin - Young Thug,"{'21 Savage': ['Metro Boomin ', ' Young Thug']}"
21 Savage,Metro Boomin - Young Nudy,"{'21 Savage': ['Metro Boomin ', ' Young Nudy']}"
21 Savage,Metro Boomin - Lil Durk,"{'21 Savage': ['Metro Boomin ', ' Lil Durk']}"
21 Savage,Mariah the Scientist,{'21 Savage': ['Mariah the Scientist']}
21 Savage,Burna Boy - Metro Boomin,"{'21 Savage': ['Burna Boy ', ' Metro Boomin']}"
21 Savage,Doja Cat,{'21 Savage': ['Doja Cat']}
21 Savage,Metro Boomin - Travis Scott,"{'21 Savage': ['Metro Boomin ', ' Travis Scott']}"
21 Savage,Young Thug - Metro Boomin,"{'21 Savage': [' Metro Boomin', 'Young Thug ']}"
21 Savage,Summer Walker,{'21 Savage': ['Summer Walker']}
21 Savage,Tommy Newport - Mikky Ekko,"{'21 Savage': ['Tommy Newport ', ' Mikky Ekko']}"
21 Savage,Brent Faiyaz,{'21 Savage': ['Brent Faiyaz']}
24kGoldn,,{'24kGoldn': ['']}
24kGoldn,iann dior - J Balvin - Justin Bieber,"{'24kGoldn': [' Justin Bieber', 'iann dior ', ' J Balvin ']}"
24kGoldn,iann dior,{'24kGoldn': ['iann dior']}
25K,Maglera Doe Boy,{'25K': ['Maglera Doe Boy']}
25K,Zoocci Coke Dope,{'25K': ['Zoocci Coke Dope']}
25K,Maglera Doe Boy - Marcus Harvey - A-Reece,"{'25K': ['Maglera Doe Boy ', ' A', ' Marcus Harvey ', 'Reece']}"
25K,FLVME,{'25K': ['FLVME']}
25K,A-Reece,"{'25K': ['A', 'Reece']}"
25K,Berry Jive - Earle Fari,"{'25K': ['Berry Jive ', ' Earle Fari']}"
25K,,{'25K': ['']}
25K,Sjava,{'25K': ['Sjava']}
25K,Nasty C,{'25K': ['Nasty C']}
2Point1,Seneath - X-Morizo - Epic DJ - Bello M,"{'2Point1': ['Seneath ', ' Epic DJ ', 'Morizo ', ' X', ' Bello M']}"
2Point1,X-Morizo - DJ Seneath - Epic DJ - BelloM,"{'2Point1': [' Epic DJ ', 'Morizo ', 'X', ' BelloM', ' DJ Seneath ']}"
2Point1,X-Morizo - DJ Seneath - BelloM - EPIC DJ,"{'2Point1': [' EPIC DJ', ' BelloM ', 'Morizo ', 'X', ' DJ Seneath ']}"
2Point1,Nthabi Sings - Ntate Stunna,"{'2Point1': ['Nthabi Sings ', ' Ntate Stunna']}"
347aidan,,{'347aidan': ['']}
4batz,Drake,{'4batz': ['Drake']}
5 Seconds of Summer,,{'5 Seconds of Summer': ['']}
5 Seconds of Summer,Julia Michaels,{'5 Seconds of Summer': ['Julia Michaels']}
6LACK,,{'6LACK': ['']}
6LACK,Offset,{'6LACK': ['Offset']}
6LACK,Future,{'6LACK': ['Future']}
6LACK,Lil Baby,{'6LACK': ['Lil Baby']}
6LACK,J. Cole,{'6LACK': ['J. Cole']}
6LACK,Khalid,{'6LACK': ['Khalid']}
6ix9ine,Anuel AA,{'6ix9ine': ['Anuel AA']}
6ix9ine,Nicki Minaj - Murda Beatz,"{'6ix9ine': ['Nicki Minaj ', ' Murda Beatz']}"
6ix9ine,,{'6ix9ine': ['']}
6ix9ine,Tory Lanez,{'6ix9ine': ['Tory Lanez']}
6ix9ine,Nicki Minaj - Kanye West,"{'6ix9ine': [' Kanye West', 'Nicki Minaj ']}"
6ix9ine,Bobby Shmurda,{'6ix9ine': ['Bobby Shmurda']}
6ix9ine,DJ SpinKing,{'6ix9ine': ['DJ SpinKing']}
6ix9ine,Lil Baby,{'6ix9ine': ['Lil Baby']}
6ix9ine,Nicki Minaj,{'6ix9ine': ['Nicki Minaj']}
9umba,ilovelethu - Tizzy - TOSS - Mdoovar,"{'9umba': ['ilovelethu ', ' TOSS ', ' Tizzy ', ' Mdoovar']}"
9umba,Lady Du - Slade - Young Stunna - Sino Msolo - TOSS - Mdoovar - Sir Trill,"{'9umba': [' Sino Msolo ', ' Sir Trill', ' Slade ', ' Mdoovar ', ' TOSS ', ' Young Stunna ', 'Lady Du ']}"
A Boogie Wit da Hoodie,,{'A Boogie Wit da Hoodie': ['']}
