main_artist,artist_names,art_dict
$,Ty Dolla $ign - Kanye West,"{'$': [' Kanye West', 'Ty Dolla $ign ']}"
$,Playboi Carti - Ty Dolla $ign - Rich The Kid - Kanye West,"{'$': [' Kanye West', ' Rich The Kid ', ' Ty Dolla $ign ', 'Playboi Carti ']}"
$NOT,A$AP Rocky,{'$NOT': ['A$AP Rocky']}
$uicideboy$,,{'$uicideboy$': ['']}
(G)I-DLE,,{'(G)I-DLE': ['']}
*NSYNC,,{'*NSYNC': ['']}
13 Organis,SCH - Jul - Soso Maness - Solda - Kofs - Elams - Naps - Houari,"{'13 Organis': [' Jul ', ' Naps ', ' Houari', ' Soso Maness ', ' Kofs ', ' Solda ', ' Elams ', 'SCH ']}"
187 Strassenbande,Frauenarzt - Bonez MC,"{'187 Strassenbande': ['Frauenarzt ', ' Bonez MC']}"
187 Strassenbande,Gzuz - Bonez MC,"{'187 Strassenbande': ['Gzuz ', ' Bonez MC']}"
2 Chainz,Travis Scott,{'2 Chainz': ['Travis Scott']}
2 Chainz,Quavo - Drake,"{'2 Chainz': [' Drake', 'Quavo ']}"
2 Chainz,Quavo - Gucci Mane,"{'2 Chainz': [' Gucci Mane', 'Quavo ']}"
2 Chainz,Ty Dolla $ign - Trey Songz - Jhen Aiko,"{'2 Chainz': [' Trey Songz ', 'Ty Dolla $ign ', ' Jhen Aiko']}"
2 Chainz,Ariana Grande,{'2 Chainz': ['Ariana Grande']}
21 Savage,,{'21 Savage': ['']}
21 Savage,Metro Boomin,{'21 Savage': ['Metro Boomin']}
21 Savage,Offset - Metro Boomin - Travis Scott,"{'21 Savage': [' Metro Boomin ', 'Offset ', ' Travis Scott']}"
21 Savage,Metro Boomin - Drake,"{'21 Savage': [' Drake', 'Metro Boomin ']}"
21 Savage,Quavo - Offset - Metro Boomin,"{'21 Savage': [' Offset ', 'Quavo ', ' Metro Boomin']}"
21 Savage,Metro Boomin - Young Thug,"{'21 Savage': [' Young Thug', 'Metro Boomin ']}"
21 Savage,Young Nudy - Metro Boomin,"{'21 Savage': ['Young Nudy ', ' Metro Boomin']}"
21 Savage,Metro Boomin - Future,"{'21 Savage': [' Future', 'Metro Boomin ']}"
21 Savage,Lil Durk - Metro Boomin,"{'21 Savage': ['Lil Durk ', ' Metro Boomin']}"
21 Savage,Burna Boy - Metro Boomin,"{'21 Savage': ['Burna Boy ', ' Metro Boomin']}"
21 Savage,Doja Cat,{'21 Savage': ['Doja Cat']}
21 Savage,Travis Scott - Metro Boomin,"{'21 Savage': ['Travis Scott ', ' Metro Boomin']}"
21 Savage,Metro Boomin - Young Thug,"{'21 Savage': [' Young Thug', 'Metro Boomin ']}"
21 Savage,Summer Walker,{'21 Savage': ['Summer Walker']}
21 Savage,Tommy Newport - Mikky Ekko,"{'21 Savage': ['Tommy Newport ', ' Mikky Ekko']}"
21 Savage,Brent Faiyaz,{'21 Savage': ['Brent Faiyaz']}
24kGoldn,,{'24kGoldn': ['']}
24kGoldn,Justin Bieber - iann dior - J Balvin,"{'24kGoldn': ['Justin Bieber ', ' J Balvin', ' iann dior ']}"
24kGoldn,iann dior,{'24kGoldn': ['iann dior']}
347aidan,,{'347aidan': ['']}
4*TOWN (From Disney and Pixars Turning Red),Finneas O'Connell - Jordan Fisher - Topher Ngo - Grayson Villanueva - Josh Levi,"{'4*TOWN (From Disney and Pixars Turning Red)': [' Jordan Fisher ', ' Topher Ngo ', ' Grayson Villanueva ', ""Finneas O'Connell "", ' Josh Levi']}"
4batz,,{'4batz': ['']}
4batz,Drake,{'4batz': ['Drake']}
5 Seconds of Summer,,{'5 Seconds of Summer': ['']}
5 Seconds of Summer,Julia Michaels,{'5 Seconds of Summer': ['Julia Michaels']}
50 Cent,,{'50 Cent': ['']}
6LACK,Offset,{'6LACK': ['Offset']}
6LACK,J. Cole,{'6LACK': ['J. Cole']}
6ix9ine,Anuel AA,{'6ix9ine': ['Anuel AA']}
6ix9ine,,{'6ix9ine': ['']}
6ix9ine,Nicki Minaj - Murda Beatz,"{'6ix9ine': [' Murda Beatz', 'Nicki Minaj ']}"
6ix9ine,Kanye West,{'6ix9ine': ['Kanye West']}
6ix9ine,A Boogie Wit da Hoodie - Fetty Wap,"{'6ix9ine': [' Fetty Wap', 'A Boogie Wit da Hoodie ']}"
6ix9ine,Tory Lanez,{'6ix9ine': ['Tory Lanez']}
6ix9ine,Nicki Minaj - Kanye West,"{'6ix9ine': [' Kanye West', 'Nicki Minaj ']}"
6ix9ine,Tory Lanez - Young Thug,"{'6ix9ine': ['Tory Lanez ', ' Young Thug']}"
6ix9ine,Bobby Shmurda,{'6ix9ine': ['Bobby Shmurda']}
6ix9ine,DJ SpinKing,{'6ix9ine': ['DJ SpinKing']}
6ix9ine,Lil Baby,{'6ix9ine': ['Lil Baby']}
6ix9ine,Nicki Minaj,{'6ix9ine': ['Nicki Minaj']}
