main_artist,artist_names
  Damons year,
$,Kanye West - Ty Dolla $ign
$,Kanye West - Rich The Kid - Playboi Carti - Ty Dolla $ign
(G)I-DLE,
*NSYNC,
-,
10-FEET,
104,
10CM,
10CM,BIG Naughty
10CM,LEE SUHYUN
1415,
1nonly,SXMPRA
21 Savage,Doja Cat
21 Savage,Travis Scott - Metro Boomin
21 Savage,
21univ.,
220 KID,LANY
24kGoldn,
24kGoldn,iann dior
24kGoldn,Lil Tecca
24kGoldn,sokodomo
2PM,
365LIT,Queen WA$ABII - HWANG JI SANG
4batz,Drake
5 Seconds of Summer,
88rising,BIBI
A$AP Rocky,Nigo
A$AP Rocky,
A$ton Wyld,
ACRAZE,Cherish
AJR,
AJXACE [OLyMP$],
AKMU,
AKMU,Zion.T
AKMU,Sam Kim
AKMU,Lee Sun Hee
AKMU,IU
AKMU,CHOI JUNG HOON of JANNABI
AKMU,Crush
AKMU,Beenzino
ASH ISLAND,
ASH ISLAND,Skinny Brown
ASH ISLAND,GroovyRoom
ASH ISLAND,Loopy
ASH ISLAND,Paul Blanco
ASH ISLAND,Beenzino
ASH ISLAND,CHANMINA
ASH ISLAND,lIlBOI
ASH ISLAND,Chillin Homie
ATB,Topic - A7S
ATEEZ,
AURORA,
Adam Levine,
Addison Rae,
Adele,
Ado,
Agust D,
Agust D,MAX
Agust D,j-hope
Agust D,IU
Agust D,Ryuichi Sakamoto - WOOSUNG
Agust D,RM
Ahn Ye Eun,
Ai Higuchi,
Aimer,
Aimyon,
Akame,sixaiti - Yukura
Akame,
Alaina Castillo,
Alan Walker,salem ilese
Alan Walker,
Alessia Cara,
Alesso,James Bay - Marshmello
Alesso,Katy Perry
Ali Gatie,Ty Dolla $ign - Marshmello
Amaarae,Kali Uchis - Moliy
Amy Grant,
An Nyeong,
Anandelight,Mudd the student - unofficialboyy - MINO - Geegooin - BE'O
Anandelight,LeeHi
Anderson .Paak,
Andy Grammer,
Andy Williams,
Anitta,
Anne-Marie,
Anne-Marie,MINNIE - (G)I-DLE
Anne-Marie,Little Mix
Anne-Marie,Niall Horan
Apink,
Ariana Grande,
Ariana Grande,Megan Thee Stallion - Doja Cat
Ariana Grande,Kid Cudi
Ariana Grande,Justin Bieber
Ariana Grande,Nonna
Arizona Zervas,
Armani White,
Artemas,
Artist_NA,
Ava Max,
Aventura,Bad Bunny
Avicii,
