main_artist,artist_names
$,Kanye West - Ty Dolla $ign
$,Kanye West - Rich The Kid - Playboi Carti - Ty Dolla $ign
$NOT,A$AP Rocky
$uicideboy$,
015 MusiQ & Van City MusiQ,OHP Sage - Veyane
031CHOPPA,Royal MusiQ - Djy Biza - DBN Gogo
031CHOPPA,Kingtone - Focalistic - Madumane - Xduppy
2 Chainz,Quavo - Drake
2 Chainz,Ariana Grande
2 Chainz,Travis Scott
21 Savage,
21 Savage,Metro Boomin
21 Savage,Drake - Metro Boomin
21 Savage,Young Thug - Metro Boomin
21 Savage,Young Nudy - Metro Boomin
21 Savage,Lil Durk - Metro Boomin
21 Savage,Mariah the Scientist
21 Savage,Burna Boy - Metro Boomin
21 Savage,Doja Cat
21 Savage,Travis Scott - Metro Boomin
21 Savage,Young Thug - Metro Boomin
21 Savage,Summer Walker
21 Savage,Mikky Ekko - Tommy Newport
21 Savage,Brent Faiyaz
24kGoldn,
24kGoldn,iann dior - J Balvin - Justin Bieber
24kGoldn,iann dior
25K,Maglera Doe Boy
25K,Zoocci Coke Dope
25K,Maglera Doe Boy - Marcus Harvey - A-Reece
25K,FLVME
25K,A-Reece
25K,Earle Fari - Berry Jive
25K,
25K,Sjava
25K,Nasty C
2Point1,Bello M - Seneath - Epic DJ - X-Morizo
2Point1,DJ Seneath - BelloM - Epic DJ - X-Morizo
2Point1,DJ Seneath - BelloM - X-Morizo - EPIC DJ
2Point1,Nthabi Sings - Ntate Stunna
347aidan,
4batz,Drake
5 Seconds of Summer,
5 Seconds of Summer,Julia Michaels
6LACK,
6LACK,Offset
6LACK,Future
6LACK,Lil Baby
6LACK,J. Cole
6LACK,Khalid
6ix9ine,Anuel AA
6ix9ine,Murda Beatz - Nicki Minaj
6ix9ine,
6ix9ine,Tory Lanez
6ix9ine,Kanye West - Nicki Minaj
6ix9ine,Bobby Shmurda
6ix9ine,DJ SpinKing
6ix9ine,Lil Baby
6ix9ine,Nicki Minaj
9umba,Mdoovar - TOSS - Tizzy - ilovelethu
9umba,Lady Du - Young Stunna - Sir Trill - Mdoovar - Sino Msolo - TOSS - Slade
A Boogie Wit da Hoodie,
A Boogie Wit da Hoodie,London On Da Track - Gunna - Roddy Ricch
A Boogie Wit da Hoodie,Offset - Tyga
A Boogie Wit da Hoodie,6ix9ine
A$AP Ferg,MadeinTYO - Nicki Minaj
A$AP Ferg,
A$AP Rocky,Moby
A$AP Rocky,Kid Cudi - T.I. - Moby
A$AP Rocky,
A$AP Rocky,BlocBoy JB
A$AP Rocky,French Montana
A$AP Rocky,Kodak Black
A$AP Rocky,FKA twigs
A$AP Rocky,Juicy J
A$AP Rocky,Skepta
A$AP Rocky,Frank Ocean
A$AP Rocky,J. Cole
A-Reece,Jay Jody
A-Reece,Blue Pappi
A-Reece,
A-Reece,Emtee
A-Reece,Stogie T - BeloSalo
A-Reece,IMP THA DON
A-Reece,M.anifest
A-Reece,Quentin Miller
A-Reece,Yolophonik
A-Reece,Marcus Harvey
A-Reece,Fly Anakin
A-Reece,Boy Wonder
A-Reece,Sjava - Shekhinah
A-Reece,Ayanda Jiya
A-Reece,Loatinover Pounds
A-Reece,Maggz
A-Reece,BeloSalo
A-Reece,Wordz
A-Reece,Blxckie
A-Reece,Jay Jody - 25K
A-Reece,Joey Fatts
A-Reece,Jay Jody - DJ Maphorisa
A-Reece,Jay Jody - BLUE TAPE
A-Reece,Jay Jody - BLUE TAPE - Malusi Masia - Saul Madiope
A-Reece,Kid Kaydence - Jay Jody
A-Reece,Kid Kaydence
A-Reece,Jay Jody - BLUE TAPE - Saul Madiope
A-Reece,Ginger Trill
A-Reece,Jay Jody - BLUE TAPE - Ayanda Jiya
A-Reece,Slim Dumpie
A-Reece,Jay Jody - BLUE TAPE - ThandoNje
A.W.O,Mr JazziQ - Miano - King P - Killa Punch
AC/DC,
ACRAZE,Cherish
AJ Ghent [ j-ent ],
AJR,Rivers Cuomo
AKA,ANATII
AKA,Burna Boy - JR - Da Les
AKA,weathrd - Laylizzy
AKA,
AKA,Burna Boy - Yanga - Khuli Chana
AKA,FLVME - Sho Madjozi
AKA,KDDO
AKA,Kabza De Small - KDDO
AKA,Emtee - Manana
AKA,Blxckie - Nadia Nakai
AKA,Blxckie - Yanga Chief
AKA,Gemini Major
AKA,Riky Rick - DJ Tira
AKA,K.O
AKA,Nasty C
AKA,YoungstaCPT
AKA,Thato Saul
AKA,Gyakie - Musa Keys
AKA,Khuli Chana
AKA,031CHOPPA - Sjava - Baby S.O.N
AKA,Stogie T
ANATII,
ATB,Topic - A7S
AURORA,
AVAION,
Abidoza,Cassper Nyovest - DJ Sumbody
Abidoza,Cassper Nyovest - Boohle
Adele,
Agust D,
Alan Walker,Noah Cyrus - Juliander - Digital Farm Animals
Alan Walker,Ava Max
Alan Walker,Tomine Harket - Au/Ra
Alan Walker,Sophia Somajo
Alan Walker,
Alan Walker,Sabrina Carpenter - Farruko
Alec Benjamin,
Alessia Cara,
Alesso,James Bay - Marshmello
Alesso,Liam Payne
Alesso,
Alesso,TINI
Alex Warren,
Alexander 23,
Alfa Kat,Banaba'des
Ali Gatie,
Alicia Keys,
Alicia Keys,Khalid
Alicia Keys,Drake
Ama Grootman,Da Mabusa
Amaarae,Vigro Deep - Kali Uchis - Moliy
Amaarae,Kali Uchis - Moliy
Amanda Black,Adekunle Gold
Amanda Black,
Ami Faku,Emtee
Ami Faku,
Amin,
Amu Classic,Kappie - Djy Jaivane - Mashudu
Anderson .Paak,Smokey Robinson
Anderson .Paak,Kendrick Lamar
Andile Mpisane,Zuma - LadyDu - Reece
Andy Grammer,
Andy Williams,
Anne-Marie,
Anne-Marie,KSI - Digital Farm Animals
Anne-Marie,Niall Horan
Ant Saunders,
Anuel AA,Ozuna - J Balvin - Daddy Yankee - KAROL G
Appel,
Aqyila,
Arctic Monkeys,
Ari Lennox,J. Cole
Ariana Grande,
Ariana Grande,Megan Thee Stallion - Doja Cat
Ariana Grande,Normani - Nicki Minaj
Ariana Grande,Miley Cyrus - Lana Del Rey
Ariana Grande,Victoria Mont
Ariana Grande,Liz Gillies
Ariana Grande,Justin Bieber
Ariana Grande,Pharrell Williams
Ariana Grande,Social House
Ariana Grande,Doja Cat
Ariana Grande,The Weeknd
Ariana Grande,Ty Dolla $ign
Ariana Grande,Nicki Minaj
Arizona Zervas,
Armani White,
Armin van Buuren,
ArrDee,
Artemas,
Artwork Sounds,Kabza De Small - Bee bar
Artwork Sounds,Zain SA - Kelvin Momo
Artwork Sounds,Kabza De Small - Stakev
Asanda Mkhize,
Ashe,
Ashley O,
Ashnikko,
Aubrey Qwana,
Audiomarc,Blxckie - Nasty C
August Alsina,Rick Ross
Ava Max,
Avicii,
Avicii,Nicky Romero
Avicii,Rita Ora
Avicii,Aloe Blacc
Avicii,Agnes - Vargas & Lagola
Avicii,Sandro Cavazza
Avril Lavigne,Nicki Minaj
Avril Lavigne,
Axwell /\ Ingrosso,
Aya Msani,Blaq Diamond
Aymos,Samthing Soweto - Sha Sha - Mas Musiq
Aymos,Major League Djz - Josiah De Disciple
Aymos,Mas Musiq - MaWhoo
Aymos,Jessica LM
Aymos,Cassper Nyovest
Aymos,Kabza De Small - Eemoh
Aymos,Ami Faku
Aymos,Focalistic
Aymos,Mas Musiq
Aymos,
Aymos,Mas Musiq - Boohle
Ayra Starr,Giveon
Ayra Starr,
Azana,
BANNERS,
BENEE,Gus Dapperton
BIA,J. Cole
BIA,Nicki Minaj
BLACKPINK,Cardi B
BLACKPINK,
BLACKPINK,Selena Gomez
BLEU,Nicki Minaj
BLEU,Drake
BLUE TAPE,Jay Jody - A-Reece
BRNS,
BROCKHAMPTON,
BTS,
BTS,Halsey
BTS,Megan Thee Stallion
BTS,Charli XCX
BTS,Nicki Minaj
BTS,Lauv
BTS,Sia
BTS,Steve Aoki
Babalwa M,Stixx - Nvcho
Babalwa M,Kelvin Momo - MaWhoo
Babalwa M,Stixx
Babalwa M,Mzizi
Babalwa M,Nia Pearl - Bassie
Babalwa M,Yallunder
Babalwa M,Thatohatsi
Babalwa M,
Babalwa M,Kelvin Momo - Sia Mzizi
Babalwa M,Baby S.O.N - Kelvin Momo - Stixx
Babalwa M,Nia Pearl
Babalwa M,Mzizi - Kelvin Momo - Stixx - MaWhoo
Baby Keem,
Baby Keem,Kendrick Lamar
Baby Keem,Don Toliver
Baby Keem,Travis Scott
Baby Keem,Brent Faiyaz
Baby S.O.N,Kelvin Momo - Stixx - Mashudu
Baby Tate,
Bad Bunny,Jhay Cortez
Bad Bunny,Drake
Bad Wolves,
Bahubhe,
Bakar,Summer Walker
Balcony Mix Africa,Major League Djz - Lady Du - Aunty Gelato - Focalistic - LuuDaDeejay
Balcony Mix Africa,S.O.N - Omit ST - Major League Djz - Mathandos - Murumba Pitch
Band Aid,
Bandros,ZANI - Zee Nxumalo
Bandros,Mr. Maker - Kelvin Momo - Smash SA
Barto,
Bas,J. Cole
Bas,Lil Tjay - J. Cole
Bassie,Aymos - T-Man SA
Bassie,Ranger - LeeMcKrazy - Amaza - Tman Xpress - M-Touch
Bastille,
Bayanni,
Bazzi,
Bazzi,Camila Cabello
Bazzi,21 Savage
