trackAppearanceCount,artistAppearanceCount,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen,Artist and Track,rank difference,Position over Time,Lower Artist
0,6,179,spotify:track:0onFGYRbjDiqVqKjtMaiLv,"25K, Zoocci Coke Dope",Blarofornia (feat. Zoocci Coke Dope),Sound African Recordings,179,-1,1,20703,2021-07-29,30,2021,2021-07-29,1627516800.0,2021-07-01,2,25K,0,"25K, Zoocci Coke Dope; Blarofornia (feat. Zoocci Coke Dope)",0,0,25k
0,3,102,spotify:track:0YxDnPgvtsh0OvYm3S0qYc,"25K, FLVME",From Dusk Till Dawn (feat. FLVME),Sound African Recordings,102,-1,1,26993,2021-07-29,30,2021,2021-07-29,1627516800.0,2021-07-01,2,25K,0,"25K, FLVME; From Dusk Till Dawn (feat. FLVME)",0,0,25k
0,0,38,spotify:track:3Oy6Mo7uiWeOuK88Efq92V,"25K, A-Reece",Hustlers Prayer (feat. A-Reece),Sound African Recordings,38,-1,1,44418,2021-07-08,27,2021,2021-07-08,1625702400.0,2021-07-01,2,25K,0,"25K, A-Reece; Hustlers Prayer (feat. A-Reece)",0,0,25k
1,1,170,spotify:track:3Oy6Mo7uiWeOuK88Efq92V,"25K, A-Reece",Hustlers Prayer (feat. A-Reece),Sound African Recordings,38,38,2,20259,2021-07-15,28,2021,2021-07-15,1626307200.0,2021-07-01,2,25K,0,"25K, A-Reece; Hustlers Prayer (feat. A-Reece)",132,100,25k
2,2,68,spotify:track:20n6BIeYGqoNZOcPll4DGL,"25K, A-Reece",Hustlers Prayer (feat. A-Reece),Sound African Recordings,38,-1,3,33553,2021-07-29,30,2021,2021-07-29,1627516800.0,2021-07-01,2,25K,0,"25K, A-Reece; Hustlers Prayer (feat. A-Reece)",-102,75,25k
3,7,161,spotify:track:20n6BIeYGqoNZOcPll4DGL,"25K, A-Reece",Hustlers Prayer (feat. A-Reece),Sound African Recordings,38,68,4,23125,2021-08-05,31,2021,2021-08-05,1628121600.0,2021-08-01,2,25K,0,"25K, A-Reece; Hustlers Prayer (feat. A-Reece)",93,100,25k
0,4,103,spotify:track:7psVgiNjEWBT6ruBnpWqaj,25K,Pheli Makaveli (Intro),Sound African Recordings,103,-1,1,26516,2021-07-29,30,2021,2021-07-29,1627516800.0,2021-07-01,1,25K,0,25K; Pheli Makaveli (Intro),0,0,25k
0,5,131,spotify:track:69bMEk09OgnJhl6zBwY8Ir,25K,Trap Jumpin',Sound African Recordings,131,-1,1,23923,2021-07-29,30,2021,2021-07-29,1627516800.0,2021-07-01,1,25K,0,25K; Trap Jumpin',0,0,25k
0,16,79,spotify:track:4kEnkZNhu3soks1CLXfxKq,"9umba, TOSS, Mdoovar, ilovelethu, Tizzy",Nayi Ingozi,Sowetocool,79,-1,1,36738,2022-05-05,18,2022,2022-05-05,1651708800.0,2022-05-01,1,9umba,0,"9umba, TOSS, Mdoovar, ilovelethu, Tizzy; Nayi Ingozi",0,0,9umba
0,0,2,spotify:track:03GRsjCSytQo3LuspJayKT,"9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade",uMlando,Sowetocool,2,-1,1,137567,2022-01-20,3,2022,2022-01-20,1642636800.0,2022-01-01,1,9umba,1,"9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade; uMlando",0,0,9umba
1,1,2,spotify:track:03GRsjCSytQo3LuspJayKT,"9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade",uMlando,Sowetocool,2,2,2,130444,2022-01-27,4,2022,2022-01-27,1643241600.0,2022-01-01,1,9umba,1,"9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade; uMlando",0,50,9umba
