date,name,category,value
2021-07-01,25K,7,196365
2021-08-01,25K,8,23125
2023-01-01,2Point1,1,728134
2024-01-01,2Point1,1,85576
2023-02-01,2Point1,2,922026
2023-03-01,2Point1,3,1382396
2023-04-01,2Point1,4,1036708
2023-05-01,2Point1,5,879133
2023-06-01,2Point1,6,951051
2023-07-01,2Point1,7,630713
2023-08-01,2Point1,8,599539
2023-09-01,2Point1,9,312983
2023-10-01,2Point1,10,276698
2023-11-01,2Point1,11,300924
2022-12-01,2Point1,12,102080
2023-12-01,2Point1,12,338935
2022-01-01,9umba,1,268011
2023-01-01,9umba,1,45335
2022-02-01,9umba,2,531794
2022-03-01,9umba,3,686130
2022-04-01,9umba,4,442167
2022-05-01,9umba,5,408825
2022-06-01,9umba,6,388044
2022-07-01,9umba,7,260509
2022-08-01,9umba,8,220832
2022-09-01,9umba,9,245787
2022-10-01,9umba,10,177020
2022-11-01,9umba,11,37598
2022-12-01,9umba,12,85351
2021-01-01,A-Reece,1,64960
2021-02-01,A-Reece,2,69025
2021-03-01,A-Reece,3,48682
2021-04-01,A-Reece,4,819519
2022-04-01,A-Reece,4,370731
2022-05-01,A-Reece,5,121323
2020-08-01,A-Reece,8,41776
2020-09-01,A-Reece,9,14589
2021-09-01,A-Reece,9,37498
2022-09-01,A-Reece,9,46499
2018-10-01,A-Reece,10,16785
2022-10-01,A-Reece,10,715695
2023-10-01,A-Reece,10,3298459
2022-11-01,A-Reece,11,197738
2023-11-01,A-Reece,11,648014
2021-12-01,A-Reece,12,400383
2019-01-01,AKA,1,59962
2023-01-01,AKA,1,360759
2019-02-01,AKA,2,39781
2023-02-01,AKA,2,3050854
2018-03-01,AKA,3,4270
2019-03-01,AKA,3,40110
2023-03-01,AKA,3,6800175
2018-04-01,AKA,4,4864
2019-04-01,AKA,4,51173
2023-04-01,AKA,4,1388782
2019-05-01,AKA,5,8151
2020-05-01,AKA,5,30400
2023-05-01,AKA,5,984229
2018-06-01,AKA,6,112307
2023-06-01,AKA,6,892296
2023-07-01,AKA,7,624650
2018-08-01,AKA,8,27799
2023-08-01,AKA,8,707805
2018-09-01,AKA,9,33961
2022-09-01,AKA,9,354899
2023-09-01,AKA,9,288826
2018-10-01,AKA,10,45741
2019-10-01,AKA,10,42071
2020-10-01,AKA,10,47538
2022-10-01,AKA,10,506668
2023-10-01,AKA,10,56621
2018-11-01,AKA,11,54774
2020-11-01,AKA,11,124490
2022-11-01,AKA,11,393864
2018-12-01,AKA,12,53333
2022-12-01,AKA,12,433779
2023-12-01,AKA,12,71624
2018-10-01,ANATII,10,22663
2022-05-01,Abidoza,5,32038
2021-10-01,Abidoza,10,27107
2021-01-01,Alfa Kat,1,83691
2021-02-01,Alfa Kat,2,75441
2021-03-01,Alfa Kat,3,42818
