date,name,category,value
2021-07-01,25K,2021,20703
2021-07-01,25K,2021,26993
2021-07-01,25K,2021,44418
2021-07-01,25K,2021,20259
2021-07-01,25K,2021,33553
2021-08-01,25K,2021,23125
2021-07-01,25K,2021,26516
2021-07-01,25K,2021,23923
2022-05-01,9umba,2022,36738
2022-01-01,9umba,2022,137567
2022-01-01,9umba,2022,130444
2022-02-01,9umba,2022,134436
2022-02-01,9umba,2022,134903
2022-02-01,9umba,2022,130574
2022-02-01,9umba,2022,131881
2022-03-01,9umba,2022,138184
2022-03-01,9umba,2022,130803
2022-03-01,9umba,2022,127465
2022-03-01,9umba,2022,151207
2022-03-01,9umba,2022,138471
2022-04-01,9umba,2022,113751
2022-04-01,9umba,2022,111552
2022-04-01,9umba,2022,106799
2022-04-01,9umba,2022,110065
2022-05-01,9umba,2022,107438
2022-05-01,9umba,2022,94570
2022-05-01,9umba,2022,88408
2022-05-01,9umba,2022,81671
2022-06-01,9umba,2022,82958
2022-06-01,9umba,2022,79214
2022-06-01,9umba,2022,79322
2022-06-01,9umba,2022,71416
2022-06-01,9umba,2022,75134
2022-07-01,9umba,2022,75670
2022-07-01,9umba,2022,65922
2022-07-01,9umba,2022,62710
2022-07-01,9umba,2022,56207
2022-08-01,9umba,2022,60213
2022-08-01,9umba,2022,60316
2022-08-01,9umba,2022,49399
2022-08-01,9umba,2022,50904
2022-09-01,9umba,2022,55746
2022-09-01,9umba,2022,54856
2022-09-01,9umba,2022,42931
2022-09-01,9umba,2022,43488
2022-09-01,9umba,2022,48766
2022-10-01,9umba,2022,55099
2022-10-01,9umba,2022,47119
2022-10-01,9umba,2022,37518
2022-10-01,9umba,2022,37284
2022-11-01,9umba,2022,37598
2022-10-01,A-Reece,2022,131197
2022-11-01,A-Reece,2022,48759
2022-11-01,A-Reece,2022,34979
2022-10-01,A-Reece,2022,106183
2022-11-01,A-Reece,2022,39594
2021-04-01,A-Reece,2021,50778
2022-04-01,A-Reece,2022,36184
2022-04-01,A-Reece,2022,39793
2022-05-01,A-Reece,2022,25229
2022-04-01,A-Reece,2022,26739
2022-10-01,A-Reece,2022,103194
2021-04-01,A-Reece,2021,49304
2022-10-01,A-Reece,2022,80264
2021-04-01,A-Reece,2021,43178
2022-09-01,A-Reece,2022,46499
2022-04-01,A-Reece,2022,31571
2022-04-01,A-Reece,2022,29556
2022-04-01,A-Reece,2022,52826
2022-05-01,A-Reece,2022,35578
2022-05-01,A-Reece,2022,30063
2022-10-01,A-Reece,2022,99158
2022-11-01,A-Reece,2022,33793
2021-04-01,A-Reece,2021,64915
2021-04-01,A-Reece,2021,22034
2018-10-01,A-Reece,2018,5676
2022-10-01,A-Reece,2022,105635
2022-11-01,A-Reece,2022,40613
2022-04-01,A-Reece,2022,31959
