Artist,Debut Year,Members
257,,
(G)I-dle,,
+(KR)ystal Eyes,,
2Eyes,,
2NE1,,
3piece,,
3YE,,
4L,,
4love,,
4Ten,,
4UNCE,,
A Taste of Honey,,
A+B,,
Acid Angel from Asia,,
ACID EYES,,
ADYA,,
Aeher,,
Aespa,,
Afro-dite,,
AKB48,,
Alice,,
All Saints,,
Angel22,,
AOA,,
A-plus,,
April,,
Aria,,
Ariaz,,
ARTBEAT,,
ARTMS,,
Ashatree,,
Astell,,
Atlantis Kitsune,,
Atomic Kitten,,
B*witched,,
BabyMonster,,
BABYS,,
Badkiz,,
BADVILLAIN,,
Bananarama,,
Bardot,,
Belladose,,
Berry Good,,
Bestie,,
BEWAVE,,
Billlie,,
Blackpink,,
Blackswan,,
BLAZE,,
BLINGONE-PE,,
Bob Girls,,
Bolbbagan4,,
B-OURS,,
Boys World,,
BugAboo,,
Bunny.T,,
Busters,,
Bvndit,,
Calyco,,
Candy Shop,,
Changing Faces,,
Cherry Bullet,,
ChoBom,,
Cignature,,
Citizen Queen,,
CLASS:y,,
Classy,,
CLC ,,
Clear:I,,
CocaNButter,,
Crayon Pop,,
CSR,,
CuteBad,,
D.Holic,,
DAHLIA,,
Danity Kane,,
D-art,,
Davichi,,
Destiny's Child,,
DIA,,
Diana Ross and the Supremes,,
Divine,,
Doa &  Euna,,
Doa & Euna,,
Dreamcatcher,,
DreamNote,,
D-Unit,,
E:LFIN,,
e'femme,,
eite,,
EL7Z UP,,
En Vogue,,
ENV,,
Envogue,,
Eternal,,
Everglow,,
EvoL,,
EVOLution,,
EXID,,
f(x),,
FAINIT,,
Fanatics,,
Favorite,,
Fiestar,,
Fifth Harmony,,
FIFTY FIFTY,,
FLO,,
Four of Diamonds,,
Fromis 9,,
G.R.L.,,
Gangkiz,,
Geenius,,
GENBLUE,2024,
GFriend,,
GI,,
Girlkind,,
Girls Aloud,,
Girls' Generation,,
Girls' World,,
Glam,,
Glow,,
Golden Girls,,
Good Girl,,
good newz girls,,
GOT the beat,,
Gugudan,,
GWSN,,
H1-KEY,,
H3rizon,,
Ha*Ash,,
HANA,,
HashTag,,
Hello Venus,,
HI CUTIE-J,,
Hinapia,,
Honey Popcorn,,
Hot,,
Hot Issue,,
I.B.I,,
I.O.I,,
I:mond,,
Ichillin',,
Icona Pop,,
ikling,,
ILLIT,,
ILY:1,,
INTER GIRLS,,
IROPIRO,,
Irris,,
IS:SUE,,
Itzy,,
IV,,
Ive,,
Iz*One,,
JAJUNG,,
JUJU SECRET,,
June's Diary,,
Just Imagin3,,
K3,,
Kais,,
KATSEYE,,
Kep1er,,
kiing,,
KISS OF LIFE,,
L.E.J.,,
L5,,
Labelle,,
Laboum,,
Ladies' Code,,
Lapillus,,
Las Ketchup,,
Laysha,,
LE SSERAFIM,,
Lightsum,,
LIMELIGHT,,
Lip Service,,
Little Mix,,
Loona,,
Loossemble,,
LOVElution,,
Lovelyz,,
Lunarsolar,,
Luv',,
M.M.D,,
MADEIN,2024,
mako girls,,
Mamamoo,,
Martha and the Vandellas,,
MAVE:,,
MayLiz,,
Maywish,,
ME:I,,
Me:us,,
Melladaze,,
Melody Day,,
MEOVV,2024,
mimiirose,,
MINIMANI M,,
MISAMO,,
Miss A,,
Momoland,,
Monrose,,
Morning Musume,,
MuuTive,,
MyB,,
Native,,
Nature,,
N-DAY,,
NeonPunch,,
NewJeans,,
NEXTU,,
NEXTU First Unit,,
NiziU,,
NMIXX,,
No Angels,,
NTORE,,
NXT,,
Oh My Girl,,
P.O.,,
Park Hajung,2024,
PCDM,,
Pink Fantasy,,
Pixy,,
Playback,,
PMX,,
POA,,
PoshGirls-J,,
PRIMROSE,,
Pristin,,
Psiryn,,
Pungdeng-E,,
Puretty,,
Purple Kiss,,
Purplebeck,,
PUZZLE,,
Queenz Eye,,
QWER,,
Red Velvet,,
Redsquare,,
RESCENE,,
Rocket Punch,,
Rouge,,
RuViChe,,
S.H.E,,
S.I.S,,
Salt-N-Pepa,,
Saturday,,
Secret,,
Secret Number,,
She'z,,
Silver Convention,,
Sistar,,
Sister Sledge,,
Sonamoo,,
Speed,,
SPIA,,
Spica,,
Spice Girls,,
STAYC,,
Sugababes,,
Sweet Taboo,,
SWV,,
SYNDI8,,
SZNS,,
t.A.T.u.,,
Tahiti,,
T-ara,,
The Andrews Sisters,,
The Bangles,,
The Barberettes,,
The Chiffons,,
The Chordettes,,
The Crystals,,
The Dixie Cups,,
The Emotions,,
The Go-Go's,,
The Jones Girls,,
The Marvelettes,,
The Nolans,,
The Pointer Sisters,,
The Pussycat Dolls,,
The Ronettes,,
The Saturdays,,
The Shangri-Las,,
The Shirelles,,
The Supremes,,
The Three Degrees,,
The Toys,,
The Two Siers,,
The Veronicas,,
Tic Tac Toe,,
Tiny-G,,
TLC,,
Tri.be,,
Triple iz,,
TripleS,,
Twice,,
Two Sisters,,
Two X,,
UiU,,
Uni.T,,
UNICODE,,
Unicorn,,
UNIS,,
VCHA,,
Venus,,
ViV,,
VIVIZ,,
VVUP,,
Wassup,,
We Girls,,
We;Na,,
Weeekly,,
Weki Meki,,
Wilson Phillips,,
WJSN,,
Wonder Girls,,
Woo!ah!,,
WSG Wannabe,,
WSG Wannabe (4FIRE),,
WSG Wannabe (Gaya-G),,
WSG Wannabe (OASISO),,
X:In,,
XG,,
xpnsv,,
Xscape,,
y.q.s,,
YDS,,
Year 7 Class 1,,
Yeonseo & Wony,,
YOUNG POSSE,,
YUBiKiRi,,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
,2024,
