source,streams,count_main_artist,count_track_name
Sound African Recordings,27215404,27,104
Sowetocool,3666717,1,2
REVENGE CLUB RECORDS,1426187,2,21
RUBBERBVNDGVNG,1008901,1,14
Revenge Club Records,465315,1,9
RUBBERBVNDGANG,16785,1,3
Platoon,2428795,4,11
NINETY SEVEN,56365,1,1
Beam Group,520348,1,14
Vth Season,13006,2,2
Content Connect Africa,3075580,6,8
Doza Nation Entertainment,59145,1,2
Eye 'N See Entertainment,380757,1,1
WM South Africa,11067683,13,20
Ziiki Media,334771,3,3
Royal Am Entertainment under Exclusive License to Ownit Music,21870,1,1
Universal Music (Pty) Ltd.,50204548,45,192
Armada Music Bundles,37672,1,1
Ivyson Entertainment,124071,1,1
Lyf Styl Entertainment,412220,1,1
DJs Production,227182,1,1
Bigcitydreams Records,229266,1,1
Balcony Mix Africa,268316,1,1
Select,3883291,8,13
Afrotainment,1103576,4,7
Nkabi Records,4575454,4,8
Spirit Motion,33244,1,3
Ambitiouz Entertainment,4587838,6,10
Umuthi Othi Thi (Pty) Ltd,641849,1,1
Blaqwav Entertainment,28935,1,1
Blaqwav ENT.,244370,1,1
M4 Entertainment,4820849,1,27
Majesty Music Entertainment,15868,1,1
Thupa Industry,10439795,1,14
Prime Hold Consult Black is Brown,4086670,2,2
Ejarden Entertainment,27177,1,1
Family Tree,10864,1,2
R1+0 CARTEL,3301519,1,2
Titch Gang Records,202819,1,2
Cyfred Records,221710,1,1
D&D Studios,3080380,2,3
NTS,1336196,2,2
"UMG Recordings, Inc.",163072,4,4
WILL OF STEEL / NEXT MUSIC,125112,1,1
Ganyani Entertainment,32449,1,1
Maz Entertainment,26453,1,1
New Money Gang,14302010,5,21
New Money Gang Records,24005846,8,23
Wanitwa Mos Entertainment,9552286,3,5
RCA Records Label,12903399,29,56
VS Mobile,165387,1,1
Spaceship Records / Geobek Records,50969,1,1
Fresh 2 Def Productions,16366,1,1
Kiff Records,8421,1,1
Born In Soweto,144629,1,1
Born In Soweto/House Afrika/De Mthuda & Njelic,435778,1,1
Indie,5412,1,1
Cycad Wave,2322335,1,2
Supra Familias,65161,1,2
House of Makunene,26522,1,1
Distruction boyz records,5281,1,1
Distruction Boyz Records,4631,1,1
Soulful Horizons Music,3422,1,1
Yano World,518908,1,1
5K Records Limited,1181389,1,1
Open Mic Productions,9289094,11,38
soul spirit productions,23515,1,1
2016098 Records DK,147472,1,1
Dlala Records (PTY) Ltd,1086235,1,2
Side Hustle,599791,1,1
Simnandi Records,1755179,2,2
ESK MUSIQ,395572,1,1
EduardoLuzquinos2021,35196,1,1
Columbia,94537287,54,200
eMtee Records,525509,1,15
18 Area Holdings,2512756,1,10
Vth Season/18 Area Holdings,853628,1,2
Major League Music,24137,1,1
VCK Music,90703,1,2
Globe Field,5241,1,1
Gaba Cannal Music,3673349,2,5
Producer Kitchen Concept,71138,1,1
Music Aggregator,15603,1,1
Rudebouy Major,8109,1,1
Dingaans Day Ent,22852,1,1
Hooch Entertainment Group/Hooch Events,196152,1,1
DrumbossMusik,2131,1,1
Early A.M,131119,2,5
famifellaz Entertainment Group,21646,1,1
1713874 Records DK,686818,1,1
Jay Music Production,39476,1,1
JazziDisciples ENT,213029,2,3
Jeremy Loops,93070,1,11
Decca (UMO),36476,3,3
Feel Good Music,534663,1,1
Scatterlings,7908,1,1
De Disciple Tradings,61394,1,2
De Disciple Records,191362,1,2
Rare Breed Entertainment,206047,1,1
Rocka Empire,897303,1,2
Piano Hub,29673186,4,39
Piano Hub (PTY) LTD,3080041,1,17
"NEW MONEY GANG , PIANO HUB & JACQUEL ENTERTAINMENT GROUP",22671,1,1
Gentle Soul Records,13635,1,1
Matiwane Records (PTY) LTD,158719,1,1
