main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
  Damons year,josee!,27953,18211,113813,22762.6,102,89,9742,1.8725490196078431,1.5349514029981879,40,5,163,22086,44,33
  Damons year,yours,45416,16016,1078869,26971.725,48,152,29400,4.166666666666667,2.835664335664336,40,40,181,16016,44,33
(G)I-DLE,ALREADY,14934,14305,29239,14619.5,115,3,629,1.0260869565217392,1.0439706396364907,63,2,118,14305,171,97
(G)I-DLE,Allergy,79783,60796,140579,70289.5,32,22,18987,1.6875,1.3123067307059675,63,2,54,60796,171,97
(G)I-DLE,Change,32002,26686,58688,29344.0,77,45,5316,1.5844155844155845,1.199205575957431,63,2,77,32002,171,97
(G)I-DLE,DARK (X-file),21116,21116,21116,21116.0,158,0,0,1.0,1.0,63,1,158,21116,171,97
(G)I-DLE,ESCAPE,14159,12742,26901,13450.5,131,17,1417,1.1297709923664123,1.1112070318631297,63,2,148,12742,171,97
(G)I-DLE,HWAA,13467,8005,52275,10455.0,36,146,5462,5.055555555555555,1.682323547782636,63,5,36,13467,171,366
(G)I-DLE,LIAR,12709,11790,24499,12249.5,162,6,919,1.037037037037037,1.0779474130619169,63,2,168,11790,171,97
(G)I-DLE,LOVE,36272,29473,65745,32872.5,66,33,6799,1.5,1.2306857123468937,63,2,66,36272,171,97
(G)I-DLE,Last Dance (Prod. GroovyRoom),9203,9203,9203,9203.0,163,0,0,1.0,1.0,63,1,163,9203,171,198
(G)I-DLE,Lucid,26742,26742,26742,26742.0,165,0,0,1.0,1.0,63,1,165,26742,171,97
(G)I-DLE,MY BAG,46705,18039,957860,29026.060606060608,21,173,28666,9.238095238095237,2.5891124785187647,63,33,65,18733,171,97
(G)I-DLE,Never Stop Me,29781,12812,284821,20344.35714285714,53,146,16969,3.7547169811320753,2.324461442397752,63,14,53,22592,171,97
(G)I-DLE,Nxde,322340,30092,2784486,87015.1875,1,146,292248,147.0,10.711817094244317,63,32,7,165431,171,97
(G)I-DLE,POLAROID,13049,12759,25808,12904.0,144,11,290,1.0763888888888888,1.0227290540010974,63,2,144,12759,171,97
(G)I-DLE,Queencard,254324,123223,377547,188773.5,5,12,131101,3.4,2.063932869675304,63,2,17,123223,171,97
(G)I-DLE,Reset,24494,19174,43668,21834.0,124,66,5320,1.532258064516129,1.277459059142589,63,2,124,24494,171,97
(G)I-DLE,Sculpture,22785,22785,22785,22785.0,139,0,0,1.0,1.0,63,1,139,22785,171,97
(G)I-DLE,TOMBOY,193724,23419,4163964,66094.66666666667,1,198,170305,199.0,8.272086767154875,63,63,2,83647,171,97
(G)I-DLE,VILLAIN DIES,19779,12559,50713,16904.333333333332,69,109,7220,2.579710144927536,1.5748865355521937,63,3,69,18375,171,97
-,MLK Interlude,7767,7767,7767,7767.0,182,0,0,1.0,1.0,1,1,182,7767,0,284
10-FEET,10-FEET_NA,76361,23593,797802,46929.529411764706,20,177,52768,9.85,3.236595600389946,17,17,123,24760,16,366
104,     (prod. IVY GROUND),22911,15844,135384,19340.571428571428,107,92,7067,1.8598130841121496,1.4460363544559454,7,7,187,16755,6,7
