main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
$NOT,Doja,6311640,6311640,6311640,6311640.0,125,0,0,1.0,1.0,1,1,125,6311640,0,29
$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",7204100,5230105,43775778,6253682.571428572,92,105,1973995,2.141304347826087,1.3774293250326715,7,7,159,5770573,6,296
(G)I-DLE,Nxde,8156820,6939373,30418198,7604549.5,125,54,1217447,1.432,1.175440490084623,4,4,125,8156820,6,197
(G)I-DLE,Queencard,9630897,9630897,9630897,9630897.0,117,0,0,1.0,1.0,4,1,117,9630897,6,197
(G)I-DLE,TOMBOY,5484302,5393499,10877801,5438900.5,189,6,90803,1.0317460317460319,1.0168356386086286,4,2,189,5484302,6,197
*NSYNC,"Merry Christmas, Happy Holidays",8595025,4012601,41423434,6903905.666666667,109,91,4582424,1.834862385321101,2.1420083880754652,6,6,200,4012601,5,611
*NSYNC,"Merry Christmas, Happy Holidays",8595025,4012601,41423434,6903905.666666667,109,91,4582424,1.834862385321101,2.1420083880754652,6,6,200,4012601,5,607
13 Organis,Bande organise,5706019,5112572,10818591,5409295.5,135,31,593447,1.2296296296296296,1.1160760180981315,2,9,135,5706019,1,652
187 Strassenbande,Extasy,5203700,5203700,5203700,5203700.0,184,0,0,1.0,1.0,1,1,184,5203700,1,17
187 Strassenbande,Millionr,3282104,3282104,3282104,3282104.0,192,0,0,1.0,1.0,1,1,192,3282104,1,49
2 Chainz,4 AM,5970986,3756411,53285426,4440452.166666667,83,69,2214575,1.8313253012048192,1.5895454464381027,22,12,145,3954583,41,28
2 Chainz,Bigger Than You (feat. Drake & Quavo),7351706,4187432,25780677,5156135.4,71,108,3164274,2.5211267605633805,1.7556597934008242,22,5,71,7351706,41,222
2 Chainz,Good Drank,3221363,3221363,3221363,3221363.0,196,0,0,1.0,1.0,22,1,196,3221363,41,28
2 Chainz,It's A Vibe,4998859,3312645,93704380,4259290.0,106,92,1686214,1.8679245283018868,1.509023454067671,22,22,123,4528111,41,28
2 Chainz,Rule The World (feat. Ariana Grande),5870185,5870185,5870185,5870185.0,118,0,0,1.0,1.0,22,1,118,5870185,41,304
2 Chainz,Whip (feat. Travis Scott),5624406,5624406,5624406,5624406.0,129,0,0,1.0,1.0,22,1,129,5624406,41,304
21 Savage,1.5,5894178,5894178,5894178,5894178.0,161,0,0,1.0,1.0,52,1,161,5894178,170,705
21 Savage,3AM on Glenwood,11386762,11386762,11386762,11386762.0,74,0,0,1.0,1.0,52,1,74,11386762,170,533
21 Savage,Bank Account,14030108,3748959,442420716,8508090.692307692,22,178,10281149,9.090909090909092,3.742401023857556,52,52,63,6766245,170,705
21 Savage,Brand New Draco,5841110,5841110,5841110,5841110.0,139,0,0,1.0,1.0,52,1,139,5841110,170,706
21 Savage,Famous,3214643,3214643,3214643,3214643.0,179,0,0,1.0,1.0,52,1,179,3214643,170,705
21 Savage,Ghostface Killers (feat. Travis Scott),10486087,3801938,75465884,5805068.0,36,159,6684149,5.416666666666667,2.758089953071302,52,13,86,5872556,170,707
21 Savage,Glock In My Lap,10620418,4947593,15568011,7784005.5,53,120,5672825,3.2641509433962264,2.1465827928853485,52,2,53,10620418,170,706
21 Savage,Immortal,7793151,4851870,18191033,6063677.666666667,62,99,2941281,2.596774193548387,1.6062159538487222,52,3,62,7793151,170,705
21 Savage,Many Men,8675173,8675173,8675173,8675173.0,68,0,0,1.0,1.0,52,1,68,8675173,170,706
21 Savage,Mr. Right Now (feat. Drake),15629052,4951481,50881969,8480328.166666666,25,159,10677571,7.36,3.1564398611243787,52,6,25,15629052,170,706
21 Savage,My Choppa Hate Niggas,4219006,4219006,4219006,4219006.0,150,0,0,1.0,1.0,52,1,150,4219006,170,707
21 Savage,My Dawg,6029118,6029118,6029118,6029118.0,131,0,0,1.0,1.0,52,1,131,6029118,170,706
21 Savage,No Heart,4576890,3566223,49997741,4166478.4166666665,93,72,1010667,1.7741935483870968,1.2833998322595082,52,12,109,4257945,170,704
21 Savage,No Opp Left Behind,5154955,5154955,5154955,5154955.0,179,0,0,1.0,1.0,52,1,179,5154955,170,706
21 Savage,Numb,4259985,3675045,7935030,3967515.0,118,26,584940,1.2203389830508475,1.1591653979747187,52,2,118,4259985,170,705
21 Savage,RIP Luv,4915080,4915080,4915080,4915080.0,190,0,0,1.0,1.0,52,1,190,4915080,170,706
21 Savage,Rap Saved Me (feat. Quavo),4685789,3365677,8051466,4025733.0,130,62,1320112,1.476923076923077,1.3922277746795073,52,2,192,3365677,170,707
21 Savage,Rich Nigga Shit (feat. Young Thug),9129562,9129562,9129562,9129562.0,65,0,0,1.0,1.0,52,1,65,9129562,170,706
21 Savage,Runnin,15864178,4914682,60123293,7515411.625,24,169,10949496,8.041666666666666,3.227915458212759,52,8,24,15864178,170,706
21 Savage,Slidin,8243488,8243488,8243488,8243488.0,77,0,0,1.0,1.0,52,1,77,8243488,170,706
21 Savage,Snitches & Rats (feat. Young Nudy),5846760,5846760,5846760,5846760.0,138,0,0,1.0,1.0,52,1,138,5846760,170,706
21 Savage,Steppin On Niggas,4853661,4853661,4853661,4853661.0,197,0,0,1.0,1.0,52,1,197,4853661,170,706
21 Savage,X (feat. Future),5144549,3334770,69015097,4313443.5625,79,112,1809779,2.4177215189873418,1.542699796387757,52,16,100,4508475,170,704
21 Savage,a lot,16289065,4559627,226852124,8725081.692307692,21,162,11729438,8.714285714285714,3.572455597793416,52,26,42,12225057,170,705
21 Savage,all my friends,8706990,4801560,19026035,6342011.666666667,83,73,3905430,1.8795180722891567,1.8133669057556294,52,3,83,8706990,170,705
21 Savage,asmr,5516007,5516007,5516007,5516007.0,177,0,0,1.0,1.0,52,1,177,5516007,170,705
21 Savage,ball w/o you,5196483,5196483,5196483,5196483.0,188,0,0,1.0,1.0,52,1,188,5196483,170,705
21 Savage,break da law,5720004,5720004,5720004,5720004.0,168,0,0,1.0,1.0,52,1,168,5720004,170,705
21 Savage,can't leave without it,6359713,6359713,6359713,6359713.0,141,0,0,1.0,1.0,52,1,141,6359713,170,705
21 Savage,gun smoke,5258620,5258620,5258620,5258620.0,184,0,0,1.0,1.0,52,1,184,5258620,170,705
21 Savage,monster,10766402,4801171,53806382,7686626.0,47,132,5965231,3.8085106382978724,2.242453351484461,52,7,56,10766402,170,705
21 Savage,out for the night,5090573,5090573,5090573,5090573.0,193,0,0,1.0,1.0,52,1,193,5090573,170,705
24kGoldn,CITY OF ANGELS,9681551,4645541,107979127,7712794.785714285,54,123,5036010,3.2777777777777777,2.084052427908827,91,14,113,6490097,122,625
24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",11928445,5314734,38004584,7600916.8,35,164,6613711,5.685714285714286,2.2444105387024074,91,5,35,11928445,122,625
24kGoldn,Mood (feat. iann dior),41500977,4992142,1384921894,15218921.912087912,1,193,36508835,194.0,8.3132605202336,91,91,159,4992142,122,625
24kGoldn,VALENTINO,6072700,4778770,71316056,5485850.461538462,99,93,1293930,1.9393939393939394,1.2707663269000182,91,13,179,4778770,122,625
347aidan,Dancing in My Room,4914093,4560752,14275400,4758466.666666667,190,4,353341,1.0210526315789474,1.0774742849424832,3,3,190,4560752,2,186
4*TOWN (From Disney and Pixars Turning Red),Nobody Like U,6583973,5545112,24086388,6021597.0,124,52,1038861,1.4193548387096775,1.1873471626903118,4,4,157,5886142,3,852
5 Seconds of Summer,Easier,13581944,4553927,109119377,8393798.23076923,23,149,9028017,7.478260869565218,2.982468537594037,120,13,23,13581944,164,32
5 Seconds of Summer,Lie To Me (feat. Julia Michaels),6656731,5638330,23990532,5997633.0,98,46,1018401,1.469387755102041,1.1806210349518387,120,4,137,5638330,164,167
5 Seconds of Summer,No Shame,8367932,5835260,14203192,7101596.0,67,75,2532672,2.1194029850746268,1.434028989282397,120,2,67,8367932,164,32
5 Seconds of Summer,Old Me,6894881,4724056,23276659,5819164.75,103,71,2170825,1.6893203883495145,1.459525670313815,120,4,103,6894881,164,32
5 Seconds of Summer,Teeth,9555911,4571612,111446926,7429795.066666666,46,142,4984299,4.086956521739131,2.090271659099679,120,15,62,8459959,164,787
5 Seconds of Summer,Valentine,4169324,4169324,4169324,4169324.0,173,0,0,1.0,1.0,120,1,173,4169324,164,167
5 Seconds of Summer,Want You Back,8842580,3784645,29060513,5812102.6,51,141,5057935,3.764705882352941,2.336435781955771,120,5,51,8842580,164,167
5 Seconds of Summer,Wildflower,5791343,5791343,5791343,5791343.0,136,0,0,1.0,1.0,120,1,136,5791343,164,32
5 Seconds of Summer,Youngblood,22841733,4390823,984672105,8205600.875,8,192,18450910,25.0,5.202152990453043,120,120,117,5451577,164,167
50 Cent,In Da Club,8153204,5222296,80329014,6179154.923076923,77,121,2930908,2.5714285714285716,1.5612297732644798,13,13,92,7647277,12,695
6LACK,Balenciaga Challenge (feat. Offset),4193702,4193702,4193702,4193702.0,176,0,0,1.0,1.0,1,1,176,4193702,1,414
6LACK,Pretty Little Fears (feat. J. Cole),5158068,5158068,5158068,5158068.0,129,0,0,1.0,1.0,1,1,129,5158068,1,414
6ix9ine,BEBE,15167729,5338683,272606667,10484871.807692308,17,133,9829046,8.823529411764707,2.8410993872458805,30,26,30,14678790,177,692
6ix9ine,BEBE (feat. Anuel AA),4686778,4686778,4686778,4686778.0,180,0,0,1.0,1.0,30,27,180,4686778,177,690
6ix9ine,BILLY,6347537,3742409,27260317,4543386.166666667,86,100,2605128,2.1627906976744184,1.696109912091383,30,6,86,6347537,177,689
6ix9ine,FEFE,31741382,4966515,403770867,13459028.9,2,171,26774867,86.5,6.391077445653542,30,30,15,17986153,177,692
6ix9ine,GOOBA,30772787,4690955,243046086,12152304.3,4,184,26081832,47.0,6.560026050132649,30,20,4,30772787,177,691
6ix9ine,GOTTI,5475883,4339222,14657835,4885945.0,124,56,1136661,1.4516129032258065,1.261950414152583,30,3,135,4842730,177,689
6ix9ine,GUMMO,4843431,3342375,39033396,3903339.6,136,63,1501056,1.463235294117647,1.4490986199932683,30,10,196,3342375,177,737
6ix9ine,GUMMO,4843431,3342375,39033396,3903339.6,136,63,1501056,1.463235294117647,1.4490986199932683,30,10,196,3342375,177,689
6ix9ine,KANGA,6081920,4134634,10216554,5108277.0,132,68,1947286,1.5151515151515151,1.4709693772169434,30,2,200,4134634,177,692
6ix9ine,KEKE,5550012,3719624,31352330,4478904.285714285,112,79,1830388,1.7053571428571428,1.4920895230270586,30,7,112,5550012,177,691
6ix9ine,KEKE,5550012,3719624,31352330,4478904.285714285,112,79,1830388,1.7053571428571428,1.4920895230270586,30,7,112,5550012,177,689
6ix9ine,KIKA,17735352,4899783,115240102,8231435.857142857,12,156,12835569,14.0,3.6196198892889746,30,14,62,8134136,177,692
6ix9ine,KIKA (feat. Tory Lanez),4440881,4440881,4440881,4440881.0,199,0,0,1.0,1.0,30,15,199,4440881,177,690
6ix9ine,MALA,8277285,4872030,84041354,6464719.538461538,71,99,3405255,2.3943661971830985,1.6989396617015906,30,13,71,8277285,177,692
6ix9ine,MALA (feat. Anuel AA),4586877,4586877,4586877,4586877.0,188,0,0,1.0,1.0,30,14,188,4586877,177,690
6ix9ine,MAMA,13240444,4121707,42748680,7124780.0,26,167,9118737,7.423076923076923,3.2123690500076787,30,6,73,7360279,177,692
6ix9ine,PUNANI,4625985,4625985,4625985,4625985.0,180,0,0,1.0,1.0,30,1,180,4625985,177,691
6ix9ine,RONDO,6122294,6122294,6122294,6122294.0,90,0,0,1.0,1.0,30,1,90,6122294,177,689
6ix9ine,STOOPID,15135119,4483011,63924244,7990530.5,18,164,10652108,10.11111111111111,3.3761057021720444,30,8,18,15135119,177,692
6ix9ine,TATI,6706761,3741226,52397010,4763364.545454546,82,113,2965535,2.3780487804878048,1.7926639556124115,30,11,100,5917283,177,692
6ix9ine,TIC TOC,17944769,5174217,55185548,9197591.333333334,10,153,12770552,16.3,3.468112953128947,30,6,78,7176105,177,692
6ix9ine,TROLLZ (with Nicki Minaj),15500772,4700152,50175690,8362615.0,20,157,10800620,8.85,3.29792993928707,30,6,20,15500772,177,691
6ix9ine,WAKA,10270394,5672280,22063094,7354364.666666667,48,99,4598114,3.0625,1.8106288829183326,30,3,116,6120420,177,692
6ix9ine,YAYA,5428926,4729070,10157996,5078998.0,139,37,699856,1.2661870503597121,1.1479901968040227,30,2,139,5428926,177,195
A Boogie Wit da Hoodie,Bleed,5095478,5095478,5095478,5095478.0,131,0,0,1.0,1.0,46,1,131,5095478,135,333
A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),5158810,5158810,5158810,5158810.0,190,0,0,1.0,1.0,46,1,190,5158810,135,333
