main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
$,BACK TO ME,19028110,19028110,19028110,19028110.0,24,0,0,1.0,1.0,1,1,24,19028110,48,370
$,BEG FORGIVENESS,11802992,11802992,11802992,11802992.0,89,0,0,1.0,1.0,1,1,89,11802992,48,370
$,BURN,19646355,19646355,19646355,19646355.0,21,0,0,1.0,1.0,1,1,21,19646355,48,370
$,CARNIVAL,32277135,32277135,32277135,32277135.0,4,0,0,1.0,1.0,1,1,4,32277135,48,370
$,DO IT,14290306,14290306,14290306,14290306.0,59,0,0,1.0,1.0,1,1,59,14290306,48,370
$,FIELD TRIP,15282674,15282674,15282674,15282674.0,46,0,0,1.0,1.0,1,1,46,15282674,48,369
$,FRIED,8842356,8842356,8842356,8842356.0,180,0,0,1.0,1.0,1,1,180,8842356,48,369
$,FUK SUMN,20785329,20785329,20785329,20785329.0,17,0,0,1.0,1.0,1,1,17,20785329,48,370
$,HOODRAT,11213960,11213960,11213960,11213960.0,98,0,0,1.0,1.0,1,1,98,11213960,48,370
$,KEYS TO MY LIFE,13713012,13713012,13713012,13713012.0,64,0,0,1.0,1.0,1,1,64,13713012,48,370
$,PAID,15158082,15158082,15158082,15158082.0,51,0,0,1.0,1.0,1,1,51,15158082,48,370
$,PAPERWORK,13503054,13503054,13503054,13503054.0,67,0,0,1.0,1.0,1,1,67,13503054,48,370
$,PROBLEMATIC,10345514,10345514,10345514,10345514.0,125,0,0,1.0,1.0,1,1,125,10345514,48,370
$,PROMOTION,8587642,8587642,8587642,8587642.0,195,0,0,1.0,1.0,1,1,195,8587642,48,369
$,SLIDE,8817054,8817054,8817054,8817054.0,181,0,0,1.0,1.0,1,1,181,8817054,48,369
$,STARS,17876674,17876674,17876674,17876674.0,30,0,0,1.0,1.0,1,1,30,17876674,48,370
$,TALKING,19503365,19503365,19503365,19503365.0,22,0,0,1.0,1.0,1,1,22,19503365,48,370
$,VULTURES,12788706,12788706,12788706,12788706.0,75,0,0,1.0,1.0,1,1,75,12788706,48,370
*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,20479679,20479679,20479679,20479679.0,18,0,0,1.0,1.0,1,1,18,20479679,7,144
21 Savage,all of me,15309025,15309025,15309025,15309025.0,41,0,0,1.0,1.0,1,1,41,15309025,182,266
21 Savage,dangerous,11437647,11437647,11437647,11437647.0,81,0,0,1.0,1.0,1,1,81,11437647,182,266
21 Savage,just like me,8511674,8511674,8511674,8511674.0,185,0,0,1.0,1.0,1,1,185,8511674,182,266
21 Savage,letter to my brudda,8506424,8506424,8506424,8506424.0,186,0,0,1.0,1.0,1,1,186,8506424,182,266
21 Savage,n.h.i.e.,18254295,18254295,18254295,18254295.0,27,0,0,1.0,1.0,1,1,27,18254295,182,266
21 Savage,ne-nah,21526019,21526019,21526019,21526019.0,15,0,0,1.0,1.0,1,1,15,21526019,182,266
21 Savage,pop ur shit,12001122,12001122,12001122,12001122.0,72,0,0,1.0,1.0,1,1,72,12001122,182,266
21 Savage,prove it,9743353,9743353,9743353,9743353.0,133,0,0,1.0,1.0,1,1,133,9743353,182,266
21 Savage,red sky,9099918,9099918,9099918,9099918.0,153,0,0,1.0,1.0,1,1,153,9099918,182,266
