main_artist,unique collaborators,streams
$NOT,A$AP Rocky,23789.0
031CHOPPA,Focalistic,35968.0
031CHOPPA,Kingtone,35968.0
031CHOPPA,Madumane,35968.0
031CHOPPA,Xduppy,35968.0
2 Chainz,Ariana Grande,8536.0
2 Chainz,Drake,4577.714285714285
2 Chainz,Quavo,4577.714285714285
2 Chainz,Travis Scott,8030.5
21 Savage,Drake,27710.714285714286
21 Savage,Metro Boomin,32452.015625
21 Savage,Young Nudy,23067.0
21 Savage,Young Thug,25630.5
24kGoldn,J Balvin,20564.6
24kGoldn,Justin Bieber,20564.6
24kGoldn,iann dior,48879.45161290323
25K,A,30338.75
25K,FLVME,26993.0
25K,Zoocci Coke Dope,20703.0
25K,Reece,30338.75
2Point1,Ntate Stunna,224746.92
2Point1,Nthabi Sings,224746.92
5 Seconds of Summer,Julia Michaels,8960.416666666666
6LACK,Future,7375.4
6LACK,J. Cole,21861.34234234234
6LACK,Khalid,9123.0
6LACK,Lil Baby,21035.333333333332
6LACK,Offset,8182.0
6ix9ine,Anuel AA,4863.0
6ix9ine,Bobby Shmurda,7057.0
6ix9ine,DJ SpinKing,3195.0
6ix9ine,Kanye West,8012.666666666667
6ix9ine,Lil Baby,13028.333333333334
6ix9ine,Murda Beatz,13799.965517241379
6ix9ine,Nicki Minaj,14602.513513513513
6ix9ine,Tory Lanez,7499.142857142857
9umba,Lady Du,83570.33333333333
9umba,Mdoovar,82552.23913043478
9umba,Sino Msolo,83570.33333333333
9umba,Sir Trill,83570.33333333333
9umba,Slade,83570.33333333333
9umba,TOSS,82552.23913043478
9umba,Tizzy,36738.0
9umba,Young Stunna,83570.33333333333
9umba,ilovelethu,36738.0
A Boogie Wit da Hoodie,6ix9ine,11887.461538461539
A Boogie Wit da Hoodie,Gunna,12908.0
A Boogie Wit da Hoodie,London On Da Track,12908.0
A Boogie Wit da Hoodie,Offset,6763.0
A Boogie Wit da Hoodie,Roddy Ricch,12908.0
A Boogie Wit da Hoodie,Tyga,6763.0
A$AP Ferg,MadeinTYO,21757.5
A$AP Ferg,Nicki Minaj,21757.5
A$AP Rocky,BlocBoy JB,3361.75
A$AP Rocky,FKA twigs,4532.5
A$AP Rocky,Frank Ocean,3380.0
A$AP Rocky,French Montana,3054.0
A$AP Rocky,Juicy J,3364.0
A$AP Rocky,Kid Cudi,5006.0
A$AP Rocky,Kodak Black,3932.0
A$AP Rocky,Moby,3651.5
A$AP Rocky,Skepta,9153.843137254902
A$AP Rocky,T.I.,5006.0
A-Reece,25K,40185.0
A-Reece,Ayanda Jiya,29917.714285714286
A-Reece,BLUE TAPE,36490.083333333336
A-Reece,BeloSalo,51165.5
A-Reece,Boy Wonder,29556.0
A-Reece,DJ Maphorisa,90064.0
A-Reece,Emtee,72888.5
A-Reece,IMP THA DON,36184.0
A-Reece,Jay Jody,40282.26315789474
A-Reece,Loatinover Pounds,33550.0
A-Reece,Maggz,38636.0
A-Reece,Malusi Masia,36863.0
A-Reece,Marcus Harvey,64249.0
A-Reece,Quentin Miller,103194.0
A-Reece,Saul Madiope,32809.0
A-Reece,Stogie T,50778.0
A-Reece,ThandoNje,46843.0
A-Reece,Wordz,35333.0
A-Reece,Yolophonik,80264.0
ACRAZE,Cherish,44949.68965517241
AJR,Rivers Cuomo,2538.25
AKA,031CHOPPA,89521.8
AKA,ANATII,68289.6
AKA,Baby S.O.N,89521.8
AKA,Blxckie,89840.0
AKA,Burna Boy,69520.71428571429
AKA,DJ Tira,10052.0
AKA,Da Les,80597.6
AKA,Emtee,102321.25
AKA,FLVME,28478.0
AKA,Gemini Major,34715.0
AKA,Gyakie,80808.8
AKA,JR,80597.6
AKA,K.O,41898.0
AKA,KDDO,166435.70588235295
AKA,Khuli Chana,82184.57142857143
AKA,Laylizzy,93513.0
AKA,Manana,102321.25
AKA,Musa Keys,80808.8
AKA,Nadia Nakai,86930.33333333333
AKA,Nasty C,115376.23076923077
AKA,Riky Rick,10052.0
AKA,Sho Madjozi,28478.0
AKA,Sjava,89521.8
AKA,Stogie T,2283.5
AKA,Thato Saul,104927.5
AKA,Yanga,41828.5
AKA,Yanga Chief,107298.0
AKA,YoungstaCPT,16009.5
AKA,weathrd,93513.0
ATB,A7S,32273.803921568626
ATB,Topic,32273.803921568626
Abidoza,Boohle,27107.0
Abidoza,Cassper Nyovest,29572.5
