main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
$,South Korea,13,38,2024/02/15,2024/05/16,1454290,1,FALSE,FALSE,32,4
21 Savage,South Korea,3,85,2024/01/18,2024/04/11,592013,1,FALSE,FALSE,14,3
24kGoldn,South Korea,5,17,2021/02/04,2022/04/14,760762,2,FALSE,FALSE,53,3
4batz,South Korea,1,123,2024/03/14,2024/03/14,40726,1,FALSE,FALSE,0,1
5 Seconds of Summer,South Korea,4,94,2021/02/04,2022/05/19,283683,2,TRUE,FALSE,27,0
A$AP Rocky,South Korea,2,141,2022/02/03,2022/05/12,26427,1,FALSE,FALSE,1,1
ACRAZE,South Korea,1,111,2021/11/25,2022/02/03,130259,2,FALSE,FALSE,10,1
AJR,South Korea,2,45,2021/02/04,2022/11/10,718860,2,TRUE,FALSE,38,0
ATB,South Korea,1,159,2021/02/25,2021/03/25,35956,1,FALSE,FALSE,4,2
AURORA,South Korea,1,124,2021/04/29,2021/05/13,29233,1,FALSE,FALSE,2,0
Adele,South Korea,14,4,2021/10/21,2022/06/09,1630848,2,FALSE,FALSE,65,0
Agust D,South Korea,15,9,2021/02/04,2024/03/21,8554791,3,FALSE,FALSE,142,6
Alan Walker,South Korea,2,166,2021/02/25,2023/02/09,28014,2,FALSE,FALSE,1,1
Alessia Cara,South Korea,2,78,2021/02/04,2023/12/28,403992,3,FALSE,FALSE,14,0
Alesso,South Korea,2,91,2021/08/26,2022/01/13,45596,2,FALSE,FALSE,3,3
Ali Gatie,South Korea,1,190,2021/04/01,2021/04/01,7710,1,FALSE,FALSE,0,2
Amaarae,South Korea,1,121,2021/11/18,2021/12/02,35447,1,FALSE,FALSE,2,2
Anderson .Paak,South Korea,1,81,2021/09/09,2021/09/23,40497,1,FALSE,FALSE,2,0
Andy Grammer,South Korea,1,155,2024/05/09,2024/05/23,90983,1,FALSE,FALSE,2,0
Andy Williams,South Korea,1,46,2021/12/02,2023/12/28,270416,3,FALSE,FALSE,10,0
Anne-Marie,South Korea,5,32,2021/02/04,2023/03/30,1877147,3,FALSE,FALSE,118,4
Ariana Grande,South Korea,24,6,2021/02/04,2024/06/13,8332417,4,FALSE,FALSE,326,5
Arizona Zervas,South Korea,1,150,2021/02/18,2021/03/18,36295,1,FALSE,FALSE,4,0
Armani White,South Korea,1,52,2022/09/01,2022/12/22,501202,1,FALSE,FALSE,16,0
Artemas,South Korea,1,53,2024/04/04,2024/06/13,500938,1,FALSE,FALSE,10,0
Ava Max,South Korea,2,93,2021/02/25,2023/12/28,328459,3,FALSE,FALSE,18,0
Avicii,South Korea,1,127,2022/06/23,2022/08/18,91287,1,FALSE,FALSE,4,0
Avril Lavigne,South Korea,1,74,2021/11/18,2021/11/25,27885,1,FALSE,FALSE,1,0
BLACKPINK,South Korea,24,1,2021/02/04,2023/10/19,16277662,3,FALSE,TRUE,459,2
BTS,South Korea,101,1,2021/02/04,2024/06/13,64875919,4,TRUE,FALSE,2248,6
Baby Keem,South Korea,2,84,2021/05/06,2021/10/14,93309,1,FALSE,FALSE,7,2
Bad Bunny,South Korea,6,81,2021/02/11,2023/10/19,301551,3,FALSE,FALSE,21,2
Bazzi,South Korea,2,102,2021/02/25,2021/08/26,102908,1,FALSE,FALSE,10,0
Bebe Rexha,South Korea,1,119,2021/03/11,2021/03/25,25773,1,FALSE,FALSE,2,0
Bella Poarch,South Korea,1,29,2021/05/20,2021/09/02,345197,1,FALSE,FALSE,15,0
Belly,South Korea,2,153,2021/07/29,2021/09/02,21125,1,FALSE,FALSE,1,3
Benson Boone,South Korea,4,21,2021/11/04,2024/06/13,2764670,4,FALSE,FALSE,61,0
Beyonc,South Korea,8,57,2022/06/23,2024/04/04,624655,3,FALSE,FALSE,27,2
Billie Eilish,South Korea,25,6,2021/02/04,2024/06/13,3424016,4,FALSE,FALSE,110,1
Bing Crosby,South Korea,1,139,2021/12/23,2021/12/23,12898,1,FALSE,FALSE,0,0
Black Eyed Peas,South Korea,1,173,2021/02/25,2021/03/18,27182,1,FALSE,FALSE,3,1
Blxst,South Korea,1,86,2021/07/22,2022/01/06,251752,2,FALSE,FALSE,20,2
Bobby Helms,South Korea,1,37,2021/12/02,2023/12/28,475150,3,FALSE,FALSE,14,0
BoyWithUke,South Korea,2,51,2021/11/04,2022/05/19,468785,2,FALSE,FALSE,29,1
Brenda Lee,South Korea,1,35,2021/12/02,2023/12/28,541653,3,FALSE,FALSE,14,0
Britney Spears,South Korea,1,88,2021/12/09,2023/12/28,218112,3,FALSE,FALSE,9,0
Bruno Mars,South Korea,19,1,2021/03/11,2024/03/28,4209064,4,FALSE,FALSE,147,4
Burl Ives,South Korea,1,174,2021/12/23,2022/12/29,44115,2,FALSE,FALSE,2,0
CJ,South Korea,1,61,2021/02/04,2021/03/25,79402,1,FALSE,FALSE,7,0
CKay,South Korea,2,37,2021/09/30,2022/02/17,369288,2,FALSE,FALSE,24,2
Calvin Harris,South Korea,7,40,2021/06/10,2022/08/11,267691,2,FALSE,FALSE,13,11
Camila Cabello,South Korea,5,19,2021/07/29,2024/04/04,1121563,3,FALSE,FALSE,44,5
Cardi B,South Korea,3,10,2021/02/04,2022/07/14,652012,2,FALSE,FALSE,38,3
Carolina Gaitn - La Gaita,South Korea,1,79,2022/01/06,2022/03/03,124512,1,FALSE,FALSE,8,6
Central Cee,South Korea,3,78,2022/08/04,2024/06/13,731763,3,FALSE,FALSE,27,1
Charli XCX,South Korea,3,142,2021/09/09,2024/05/16,165420,3,FALSE,FALSE,6,0
Charlie Puth,South Korea,19,1,2021/02/11,2024/06/13,29430120,4,FALSE,FALSE,558,4
Chle,South Korea,1,87,2021/09/23,2021/10/21,54482,1,FALSE,FALSE,4,0
Chris Brown,South Korea,3,131,2021/03/04,2022/12/01,302408,2,FALSE,FALSE,16,1
Clean Bandit,South Korea,1,140,2021/04/29,2021/05/20,36569,1,FALSE,FALSE,3,1
Clinton Kane,South Korea,1,129,2021/09/02,2021/10/28,92404,1,FALSE,FALSE,8,0
Coi Leray,South Korea,1,52,2023/02/02,2023/05/25,627904,1,FALSE,FALSE,16,0
Coldplay,South Korea,9,1,2021/03/04,2023/05/18,4071299,3,FALSE,FALSE,110,3
Conan Gray,South Korea,9,46,2021/02/04,2022/06/30,1038560,2,FALSE,FALSE,91,0
DJ Khaled,South Korea,4,23,2021/05/06,2022/09/01,273755,2,FALSE,FALSE,15,9
DJ Snake,South Korea,3,21,2021/03/11,2021/11/18,108385,1,FALSE,FALSE,7,6
DaBaby,South Korea,1,103,2021/02/11,2021/04/29,105879,1,FALSE,FALSE,11,1
Dan + Shay,South Korea,1,80,2021/02/04,2023/07/13,1022200,2,FALSE,FALSE,58,1
Daniel Caesar,South Korea,2,109,2021/02/11,2024/05/16,361611,3,FALSE,FALSE,28,1
Dave,South Korea,1,149,2023/07/20,2023/10/19,396340,1,FALSE,FALSE,13,1
David Guetta,South Korea,3,26,2021/09/09,2023/02/23,926555,3,FALSE,FALSE,40,5
David Kushner,South Korea,1,115,2023/04/27,2023/09/28,661573,1,FALSE,FALSE,22,0
Dean Lewis,South Korea,1,124,2022/11/10,2023/02/23,105042,2,FALSE,FALSE,4,0
Dean Martin,South Korea,1,59,2021/12/09,2023/12/28,358273,3,FALSE,FALSE,11,0
Demi Lovato,South Korea,2,48,2021/04/08,2022/04/21,89283,2,FALSE,FALSE,5,1
Djo,South Korea,1,68,2024/03/07,2024/06/13,582682,1,FALSE,FALSE,13,0
Doja Cat,South Korea,13,2,2021/02/04,2024/04/25,8741971,4,FALSE,FALSE,310,3
Dominic Fike,South Korea,2,79,2023/06/29,2023/07/27,195964,1,FALSE,FALSE,4,0
Don Toliver,South Korea,1,191,2021/10/14,2021/10/14,8514,1,FALSE,FALSE,0,1
Dove Cameron,South Korea,1,73,2022/02/24,2022/04/21,135454,1,FALSE,FALSE,8,0
Drake,South Korea,49,6,2021/02/18,2024/05/09,3186796,4,FALSE,FALSE,140,18
Dua Lipa,South Korea,10,5,2021/02/04,2024/05/09,5223882,4,FALSE,FALSE,221,1
Duncan Laurence,South Korea,1,87,2021/03/04,2021/06/03,138781,1,FALSE,FALSE,13,0
Ed Sheeran,South Korea,19,3,2021/02/04,2023/06/15,6684910,3,FALSE,FALSE,269,4
Elley Duh,South Korea,1,136,2022/03/24,2022/05/12,108762,1,FALSE,FALSE,7,0
Elton John,South Korea,4,35,2021/08/19,2022/09/29,928851,2,FALSE,FALSE,49,4
ElyOtto,South Korea,1,174,2021/03/18,2021/03/18,7369,1,FALSE,FALSE,0,0
Em Beihold,South Korea,1,63,2022/03/10,2022/05/12,170455,1,FALSE,FALSE,9,0
Eminem,South Korea,1,64,2024/06/06,2024/06/13,126153,1,FALSE,FALSE,1,0
Emmy Meli,South Korea,1,153,2022/01/06,2022/01/27,45329,1,FALSE,FALSE,3,0
FIFTY FIFTY,South Korea,5,9,2023/03/09,2024/01/25,5333495,2,FALSE,TRUE,79,1
Farruko,South Korea,1,101,2021/08/19,2021/10/28,120461,1,FALSE,FALSE,10,0
Fireboy DML,South Korea,1,175,2021/12/30,2021/12/30,11421,1,FALSE,FALSE,0,1
Fivio Foreign,South Korea,1,116,2022/02/17,2022/02/24,24893,1,FALSE,FALSE,1,2
Frank Ocean,South Korea,1,126,2023/12/07,2024/06/13,775068,2,FALSE,FALSE,23,0
Frank Sinatra,South Korea,1,130,2021/12/23,2021/12/30,26607,1,FALSE,FALSE,1,1
Future,South Korea,5,49,2022/05/05,2024/06/13,812542,2,FALSE,FALSE,22,7
GAYLE,South Korea,1,7,2021/11/25,2022/07/28,1300872,2,FALSE,FALSE,35,0
Galantis,South Korea,1,64,2021/05/27,2021/09/02,219412,1,FALSE,FALSE,14,2
Giveon,South Korea,3,13,2021/02/18,2024/04/25,2198008,4,FALSE,FALSE,105,0
Glass Animals,South Korea,1,14,2021/02/04,2023/06/29,2689935,3,FALSE,FALSE,101,0
Gunna,South Korea,2,73,2022/01/27,2023/10/12,456335,2,FALSE,FALSE,18,2
Gwen Stefani,South Korea,1,88,2021/12/23,2023/12/28,105078,3,FALSE,FALSE,4,1
H.E.R.,South Korea,1,70,2021/04/29,2021/05/27,55569,1,FALSE,FALSE,4,1
Halsey,South Korea,4,25,2021/02/25,2023/11/02,1570167,3,FALSE,FALSE,25,1
Harry Styles,South Korea,17,3,2021/02/04,2024/06/13,10234658,4,FALSE,FALSE,341,0
Hozier,South Korea,1,69,2024/04/04,2024/06/13,555474,1,FALSE,FALSE,10,0
Imagine Dragons,South Korea,6,17,2021/03/18,2023/04/20,2230283,3,FALSE,FALSE,92,3
Internet Money,South Korea,2,62,2021/02/04,2021/05/27,124326,1,FALSE,FALSE,12,4
J Balvin,South Korea,2,108,2021/04/15,2021/07/22,61015,1,FALSE,FALSE,4,2
J. Cole,South Korea,11,36,2021/05/13,2021/06/10,230442,1,FALSE,FALSE,16,5
JID,South Korea,1,76,2023/12/07,2024/03/28,717788,2,FALSE,FALSE,16,2
JIN,South Korea,6,6,2021/11/11,2024/06/13,4684316,4,FALSE,FALSE,121,0
JP Saxe,South Korea,1,88,2021/02/04,2021/07/15,207307,1,FALSE,FALSE,20,1
JVKE,South Korea,4,5,2022/03/10,2024/05/09,5517796,3,FALSE,FALSE,116,5
Jack Harlow,South Korea,4,20,2022/02/24,2024/04/18,1849335,3,FALSE,FALSE,48,0
James Arthur,South Korea,1,162,2021/02/18,2021/03/04,20424,1,FALSE,FALSE,2,0
Jason Derulo,South Korea,1,168,2021/02/18,2021/02/25,14157,1,FALSE,FALSE,1,1
Jawsh 685,South Korea,1,53,2021/02/04,2021/08/19,348484,1,FALSE,FALSE,28,2
Jaymes Young,South Korea,1,59,2021/12/16,2022/03/31,248313,2,FALSE,FALSE,15,0
Jeremy Zucker,South Korea,4,48,2021/02/04,2022/06/30,1003014,2,FALSE,FALSE,88,1
Jimin,South Korea,16,1,2022/04/28,2024/06/13,132593522,3,FALSE,FALSE,824,6
Joel Corry,South Korea,2,135,2021/03/25,2021/10/28,124802,1,FALSE,FALSE,13,5
John Mayer,South Korea,2,124,2021/06/10,2021/07/22,22417,1,FALSE,FALSE,1,0
Joji,South Korea,5,4,2022/06/16,2023/02/23,1962644,2,FALSE,FALSE,52,0
Jonas Blue,South Korea,1,195,2022/01/13,2022/01/13,10717,1,FALSE,FALSE,0,1
Jonas Brothers,South Korea,3,126,2021/02/04,2023/12/28,250249,3,TRUE,FALSE,16,0
Jos Feliciano,South Korea,1,60,2021/12/09,2023/12/28,171856,3,FALSE,FALSE,7,0
Juice WRLD,South Korea,4,17,2021/11/18,2022/02/10,254620,2,FALSE,FALSE,12,3
Jung Kook,South Korea,33,1,2022/02/17,2024/06/13,87952540,3,FALSE,FALSE,625,12
Justin Bieber,South Korea,26,1,2021/02/04,2024/06/13,22390513,4,FALSE,FALSE,873,16
Kali Uchis,South Korea,2,16,2021/02/25,2023/06/29,400276,2,FALSE,FALSE,21,0
Kane Brown,South Korea,1,172,2021/07/15,2021/07/22,20016,1,FALSE,FALSE,1,1
Kanye West,South Korea,28,9,2021/09/02,2022/06/09,1152764,2,FALSE,FALSE,57,1
Kate Bush,South Korea,1,31,2022/06/02,2022/09/22,543122,1,FALSE,FALSE,16,0
Katy Perry,South Korea,1,161,2021/05/20,2021/05/20,8883,1,FALSE,FALSE,0,0
Kehlani,South Korea,1,55,2022/04/07,2022/04/21,52833,1,FALSE,FALSE,2,1
Kelly Clarkson,South Korea,3,29,2021/11/25,2023/12/28,1021161,3,FALSE,FALSE,36,1
Kendrick Lamar,South Korea,20,11,2022/05/12,2024/06/13,1410128,2,FALSE,FALSE,38,10
Kenya Grace,South Korea,1,77,2023/09/21,2024/02/15,818433,2,FALSE,FALSE,21,0
Khalid,South Korea,4,66,2021/07/29,2022/05/12,110330,2,FALSE,FALSE,7,0
