main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
$,Global,14,2,2024/02/15,2024/06/20,810743489,1,FALSE,FALSE,43,4
21 Savage,Global,44,8,2016/12/29,2024/06/20,1851811839,7,FALSE,FALSE,210,15
24kGoldn,Global,4,1,2019/10/03,2022/05/05,1602221661,4,FALSE,FALSE,122,3
4batz,Global,2,55,2024/02/01,2024/03/21,79051455,1,FALSE,FALSE,7,1
5 Seconds of Summer,Global,9,8,2018/03/01,2020/08/27,1305729971,3,TRUE,FALSE,164,1
A$AP Rocky,Global,12,25,2018/03/01,2024/06/06,424822220,4,FALSE,FALSE,58,9
ACRAZE,Global,1,9,2021/11/04,2022/08/11,461769872,2,FALSE,FALSE,39,1
AJR,Global,1,25,2016/12/29,2017/08/10,222210107,2,TRUE,FALSE,32,0
ATB,Global,1,26,2021/02/04,2021/09/30,344772188,1,FALSE,FALSE,34,2
AURORA,Global,1,19,2021/04/01,2021/08/19,198554137,1,FALSE,FALSE,20,0
Adele,Global,24,1,2016/12/29,2024/03/28,3201551343,7,FALSE,FALSE,314,0
Agust D,Global,4,21,2020/05/28,2023/05/18,119097751,2,FALSE,FALSE,9,1
Alan Walker,Global,9,36,2016/12/29,2020/04/30,911255337,5,FALSE,FALSE,162,10
Alessia Cara,Global,5,19,2016/12/29,2019/12/26,421013098,4,FALSE,FALSE,62,0
Alesso,Global,5,53,2017/10/19,2022/01/20,111619387,5,FALSE,FALSE,19,5
Ali Gatie,Global,2,27,2019/06/20,2020/10/29,638456940,2,FALSE,FALSE,76,0
Amaarae,Global,1,23,2021/11/04,2022/02/24,154016663,2,FALSE,FALSE,16,2
Anderson .Paak,Global,1,121,2018/10/11,2018/10/11,5600121,1,FALSE,FALSE,0,1
Andy Grammer,Global,1,103,2016/12/29,2017/03/16,46997144,2,FALSE,FALSE,11,0
Andy Williams,Global,2,7,2016/12/29,2023/12/28,681021034,8,FALSE,FALSE,41,0
Anne-Marie,Global,7,27,2017/01/05,2021/07/29,781346445,5,FALSE,FALSE,114,4
Ariana Grande,Global,70,1,2016/12/29,2024/06/20,10997378394,9,FALSE,FALSE,935,18
Arizona Zervas,Global,2,2,2019/10/31,2021/03/04,1040456257,3,FALSE,FALSE,74,0
Armani White,Global,1,67,2022/09/01,2022/11/17,101156244,1,FALSE,FALSE,11,0
Artemas,Global,2,1,2024/03/21,2024/06/20,705832468,1,FALSE,FALSE,21,0
Ava Max,Global,7,6,2018/10/04,2023/12/28,1734868303,6,FALSE,FALSE,201,0
Avicii,Global,25,4,2017/08/17,2024/06/20,2290826861,8,FALSE,FALSE,317,11
Avril Lavigne,Global,2,129,2018/09/27,2019/02/21,28113393,2,FALSE,FALSE,5,1
BLACKPINK,Global,23,1,2017/06/29,2023/09/07,2134368322,7,FALSE,TRUE,203,2
BTS,Global,70,2,2017/09/21,2023/07/27,4457227940,7,TRUE,FALSE,442,10
Baby Keem,Global,3,30,2021/05/06,2022/03/03,211540065,2,FALSE,FALSE,27,2
Bad Bunny,Global,99,1,2017/11/09,2024/06/20,20903663474,8,FALSE,FALSE,1629,38
