,main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
0,$,ZA,14,5,2024-02-15,2024-06-20,5378123,1,False,False,38,4
1,21 Savage,ZA,39,12,2018-03-15,2024-06-13,10357783,7,False,False,191,13
2,24kGoldn,ZA,4,1,2019-10-17,2022-04-21,4825815,4,False,False,110,3
3,4batz,ZA,1,51,2024-03-14,2024-04-18,541338,1,False,False,5,1
4,5 Seconds of Summer,ZA,9,3,2018-03-22,2021-08-26,4511837,4,True,False,237,1
5,A$AP Rocky,ZA,16,11,2018-04-05,2024-06-06,1057805,4,False,False,81,10
6,ACRAZE,ZA,1,26,2021-11-11,2022-05-26,1303541,2,False,False,28,1
7,AJR,ZA,1,100,2018-03-22,2018-04-12,10153,1,True,False,3,1
8,ATB,ZA,1,41,2021-02-11,2022-02-10,1645964,2,False,False,50,2
9,AURORA,ZA,1,37,2021-04-08,2021-07-15,481248,1,False,False,14,0
10,Adele,ZA,22,1,2021-10-14,2023-11-16,12514583,3,False,False,221,0
11,Agust D,ZA,1,148,2020-05-28,2020-05-28,13984,1,False,False,0,0
12,Alan Walker,ZA,6,42,2018-03-22,2020-03-05,698720,3,False,False,72,9
13,Alessia Cara,ZA,3,103,2018-04-12,2021-04-22,708720,4,False,False,62,0
14,Alesso,ZA,4,43,2018-09-06,2021-08-26,392335,4,False,False,34,4
15,Ali Gatie,ZA,3,25,2019-06-20,2020-06-25,1019798,2,False,False,63,0
16,Amaarae,ZA,2,41,2021-11-04,2022-02-10,535211,2,False,False,16,3
17,Anderson .Paak,ZA,2,105,2018-10-11,2019-04-18,27636,2,False,False,3,2
18,Andy Grammer,ZA,1,102,2019-05-16,2020-06-11,241581,2,False,False,22,0
19,Andy Williams,ZA,1,16,2018-12-20,2023-12-28,472122,6,False,False,9,0
20,Anne-Marie,ZA,4,23,2018-04-26,2021-07-29,2590704,4,False,False,164,3
21,Ariana Grande,ZA,60,1,2018-04-26,2024-06-20,15344244,7,False,False,573,13
22,Arizona Zervas,ZA,2,3,2019-11-07,2021-02-18,2226341,3,False,False,71,0
23,Armani White,ZA,1,75,2022-06-02,2022-12-01,722601,1,False,False,19,0
24,Artemas,ZA,2,5,2024-03-28,2024-06-20,3477175,1,False,False,16,0
25,Ava Max,ZA,5,8,2018-10-11,2021-05-20,3172387,4,False,False,181,0
26,Avicii,ZA,14,7,2018-03-15,2023-01-12,2064723,6,False,False,196,6
27,Avril Lavigne,ZA,2,53,2018-09-27,2019-03-07,177185,2,False,False,22,1
28,BLACKPINK,ZA,8,30,2019-04-11,2022-10-20,1077688,3,False,True,41,2
29,BTS,ZA,43,3,2018-05-24,2023-06-15,3818187,6,True,False,145,7
30,Baby Keem,ZA,17,15,2021-05-06,2023-07-27,3529882,3,False,False,88,4
31,Bad Bunny,ZA,2,19,2018-10-18,2020-12-03,320682,3,False,False,26,2
32,Bazzi,ZA,8,13,2018-03-15,2020-04-30,2722434,3,False,False,238,2
33,Bebe Rexha,ZA,4,19,2018-03-15,2020-10-22,1472979,3,False,False,163,2
34,Bella Poarch,ZA,1,42,2021-05-20,2021-08-05,396741,1,False,False,11,0
35,Belly,ZA,2,132,2021-07-29,2021-09-02,45242,1,False,False,1,3
36,Benson Boone,ZA,5,4,2021-11-04,2024-06-20,10357982,3,False,False,75,0
37,Beyonc,ZA,36,2,2018-03-22,2024-06-13,10508577,7,False,False,205,11
38,Billie Eilish,ZA,54,1,2018-04-26,2024-06-20,43187922,7,False,False,1244,3
39,Bing Crosby,ZA,1,70,2018-12-27,2022-12-29,119799,5,False,False,4,2
40,Black Eyed Peas,ZA,3,95,2019-10-31,2023-01-05,301267,4,False,False,18,3
41,Blxst,ZA,1,106,2021-08-05,2021-11-18,392397,1,False,False,15,2
42,Bobby Helms,ZA,1,14,2018-12-13,2023-12-28,696833,6,False,False,14,0
43,BoyWithUke,ZA,3,42,2021-10-28,2022-05-12,1113736,2,False,False,34,1
44,Brenda Lee,ZA,1,15,2018-12-13,2023-12-28,776823,6,False,False,14,0
45,Britney Spears,ZA,1,103,2018-12-27,2019-12-26,24358,2,False,False,1,0
46,Bruno Mars,ZA,12,4,2018-03-15,2024-02-29,4857649,5,False,False,137,5
47,Burl Ives,ZA,2,74,2018-12-27,2022-12-29,135050,5,False,False,4,0
48,CJ,ZA,1,7,2020-11-05,2021-07-22,1391609,2,False,False,37,0
49,CKay,ZA,3,14,2021-09-16,2022-06-23,2721264,2,False,False,55,5
50,Calvin Harris,ZA,5,5,2018-04-12,2022-06-09,1796523,4,False,False,131,6
51,Camila Cabello,ZA,15,14,2018-03-15,2022-11-03,3872355,5,False,False,227,6
52,Cardi B,ZA,21,1,2018-03-22,2024-03-21,5624878,7,False,False,249,12
53,Carolina Gaitn - La Gaita,ZA,1,44,2022-01-13,2022-04-21,531239,1,False,False,14,6
54,Central Cee,ZA,3,6,2022-07-28,2024-06-20,4061530,3,False,False,58,1
55,Charli XCX,ZA,1,150,2018-10-25,2018-11-15,23867,1,False,False,3,1
56,Charlie Puth,ZA,7,37,2018-03-22,2022-11-24,1625393,3,False,False,61,3
57,Chle,ZA,3,48,2021-09-16,2023-03-16,519940,3,False,False,12,1
58,Chris Brown,ZA,42,2,2019-01-10,2024-06-20,31135326,6,False,False,535,27
59,Clean Bandit,ZA,4,6,2018-03-15,2020-10-29,927321,3,False,False,109,5
60,Clinton Kane,ZA,1,88,2021-08-26,2021-11-11,332256,1,False,False,11,0
61,Coi Leray,ZA,2,61,2022-03-24,2023-05-04,857400,2,False,False,16,1
62,Coldplay,ZA,5,31,2018-12-27,2022-06-16,1639715,4,False,False,48,2
63,Conan Gray,ZA,2,36,2020-01-09,2021-03-25,928269,2,False,False,42,0
64,DJ Khaled,ZA,43,1,2018-03-15,2024-06-13,8704421,7,False,False,256,50
65,DJ Snake,ZA,5,5,2018-10-04,2021-03-11,817828,3,False,False,59,10
66,DaBaby,ZA,16,1,2019-05-09,2021-12-09,6882836,3,False,False,239,7
67,Dan + Shay,ZA,1,16,2019-10-10,2021-04-22,1126887,3,False,False,57,1
68,Daniel Caesar,ZA,11,83,2018-03-22,2024-06-20,10336509,7,False,False,316,5
69,Dave,ZA,11,4,2021-07-15,2024-06-20,10524633,4,False,False,111,4
70,David Guetta,ZA,12,8,2018-03-15,2024-06-20,8509408,5,False,False,214,12
71,David Kushner,ZA,2,18,2023-04-20,2024-05-23,5211115,2,False,False,58,0
72,Dean Lewis,ZA,3,10,2018-07-26,2023-02-02,3157275,6,False,False,178,0
73,Dean Martin,ZA,3,35,2018-12-27,2023-12-28,362871,6,False,False,8,0
74,Demi Lovato,ZA,6,65,2018-03-22,2021-04-22,392925,4,False,False,58,1
75,Djo,ZA,1,24,2024-02-29,2024-06-20,2312219,1,False,False,16,0
76,Doja Cat,ZA,25,3,2019-08-22,2024-05-23,28699596,6,False,False,544,6
77,Dominic Fike,ZA,2,35,2019-01-17,2022-03-10,1233804,3,False,False,90,1
78,Don Toliver,ZA,21,28,2019-12-05,2024-06-20,3179164,5,False,False,111,12
79,Dove Cameron,ZA,2,35,2022-02-17,2023-02-16,793568,2,False,False,19,1
80,Drake,ZA,150,1,2018-03-15,2024-06-20,103385089,7,False,False,2046,36
81,Dua Lipa,ZA,14,4,2018-03-15,2024-02-22,11891513,7,False,False,446,2
82,Duncan Laurence,ZA,1,48,2021-02-25,2021-08-26,824198,1,False,False,26,0
83,Ed Sheeran,ZA,48,1,2018-03-15,2023-12-28,32315492,6,False,False,1144,28
84,Elley Duh,ZA,1,32,2022-02-03,2022-10-20,1658897,1,False,False,37,0
