trackAppearanceCount,artistAppearanceCount,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen,Artist and Track,rank difference,Position over Time,lower_main_artist,Artist,artist_lower
0,2,125,spotify:track:6NnCWIWV740gP7DQ8kqdIE,(G)I-DLE,Nxde,Cube Entertainment,125,-1,1,8156820,2022-10-27,43,2022,2022-10-27,1666828800.0,2022-10-01,1,(G)I-DLE,0,(G)I-DLE; Nxde,0,0,(g)i-dle,(G)I-dle,(g)i-dle
1,3,129,spotify:track:6NnCWIWV740gP7DQ8kqdIE,(G)I-DLE,Nxde,Cube Entertainment,125,125,2,7911979,2022-11-03,44,2022,2022-11-03,1667433600.0,2022-11-01,1,(G)I-DLE,0,(G)I-DLE; Nxde,4,100,(g)i-dle,(G)I-dle,(g)i-dle
2,4,167,spotify:track:6NnCWIWV740gP7DQ8kqdIE,(G)I-DLE,Nxde,Cube Entertainment,125,129,3,7410026,2022-11-10,45,2022,2022-11-10,1668038400.0,2022-11-01,1,(G)I-DLE,0,(G)I-DLE; Nxde,38,100,(g)i-dle,(G)I-dle,(g)i-dle
3,5,179,spotify:track:6NnCWIWV740gP7DQ8kqdIE,(G)I-DLE,Nxde,Cube Entertainment,125,167,4,6939373,2022-11-17,46,2022,2022-11-17,1668643200.0,2022-11-01,1,(G)I-DLE,0,(G)I-DLE; Nxde,12,100,(g)i-dle,(G)I-dle,(g)i-dle
0,6,117,spotify:track:4uOBL4DDWWVx4RhYKlPbPC,(G)I-DLE,Queencard,Cube Entertainment,117,-1,1,9630897,2023-05-25,21,2023,2023-05-25,1684972800.0,2023-05-01,1,(G)I-DLE,0,(G)I-DLE; Queencard,0,0,(g)i-dle,(G)I-dle,(g)i-dle
1,7,110,spotify:track:4uOBL4DDWWVx4RhYKlPbPC,(G)I-DLE,Queencard,Cube Entertainment,110,117,2,9899933,2023-06-01,22,2023,2023-06-01,1685577600.0,2023-06-01,1,(G)I-DLE,0,(G)I-DLE; Queencard,-7,75,(g)i-dle,(G)I-dle,(g)i-dle
0,0,189,spotify:track:0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,Cube Entertainment,189,-1,1,5484302,2022-03-24,12,2022,2022-03-24,1648080000.0,2022-03-01,1,(G)I-DLE,0,(G)I-DLE; TOMBOY,0,0,(g)i-dle,(G)I-dle,(g)i-dle
1,1,195,spotify:track:0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,Cube Entertainment,189,189,2,5393499,2022-03-31,13,2022,2022-03-31,1648684800.0,2022-03-01,1,(G)I-DLE,0,(G)I-DLE; TOMBOY,6,100,(g)i-dle,(G)I-dle,(g)i-dle
0,0,182,spotify:track:7LJjWqhqK594nN7qJzLVXE,BLACKPINK,As If It's Your Last,YG Entertainment,182,-1,1,3259742,2017-06-29,26,2017,2017-06-29,1498694400.0,2017-06-01,1,BLACKPINK,0,BLACKPINK; As If It's Your Last,0,0,blackpink,Blackpink,blackpink
0,37,32,spotify:track:7qq0EOPW4RRlqdvMBmdd73,BLACKPINK,Crazy Over You,YG Entertainment/Interscope Records,32,-1,1,13417932,2020-10-08,41,2020,2020-10-08,1602115200.0,2020-10-01,1,BLACKPINK,0,BLACKPINK; Crazy Over You,0,0,blackpink,Blackpink,blackpink
