date,name,category,value
2022-03-01,(G)I-DLE,3,10877801
2022-10-01,(G)I-DLE,10,8156820
2022-11-01,(G)I-DLE,11,22261378
2021-01-01,BLACKPINK,1,47480404
2023-01-01,BLACKPINK,1,67610700
2021-02-01,BLACKPINK,2,21445982
2023-02-01,BLACKPINK,2,47041432
2021-03-01,BLACKPINK,3,15185735
2023-03-01,BLACKPINK,3,24164634
2017-06-01,BLACKPINK,6,3259742
2018-06-01,BLACKPINK,6,20810371
2018-07-01,BLACKPINK,7,22342044
2020-07-01,BLACKPINK,7,103747990
2018-08-01,BLACKPINK,8,4827653
2019-08-01,BLACKPINK,8,13758251
2020-08-01,BLACKPINK,8,46242436
2022-08-01,BLACKPINK,8,41286215
2020-09-01,BLACKPINK,9,122405214
2022-09-01,BLACKPINK,9,334680368
2020-10-01,BLACKPINK,10,353878049
2022-10-01,BLACKPINK,10,156971030
2020-11-01,BLACKPINK,11,127537738
2022-11-01,BLACKPINK,11,92387673
2020-12-01,BLACKPINK,12,81186271
2022-12-01,BLACKPINK,12,91509561
2017-01-01,Fifth Harmony,1,22551015
2017-02-01,Fifth Harmony,2,17943911
2017-03-01,Fifth Harmony,3,20333635
2017-04-01,Fifth Harmony,4,15519624
2017-05-01,Fifth Harmony,5,15147747
2017-06-01,Fifth Harmony,6,47936672
2017-07-01,Fifth Harmony,7,36254998
2017-08-01,Fifth Harmony,8,34587252
2017-09-01,Fifth Harmony,9,8879995
2016-12-01,Fifth Harmony,12,5426035
2020-03-01,ITZY,3,13553959
2020-04-01,ITZY,4,14740115
2021-05-01,ITZY,5,27431208
2020-08-01,ITZY,8,7006754
2020-09-01,ITZY,9,11132573
2021-09-01,ITZY,9,7089600
2021-10-01,ITZY,10,24221795
2022-01-01,IVE,1,24194458
2022-02-01,IVE,2,5401496
2022-04-01,IVE,4,26651076
2022-05-01,IVE,5,28519647
2022-06-01,IVE,6,11766555
2022-08-01,IVE,8,7660677
2022-09-01,IVE,9,49742494
2022-10-01,IVE,10,29023773
2021-12-01,IVE,12,26448776
2023-01-01,LE SSERAFIM,1,39039654
2023-02-01,LE SSERAFIM,2,34598316
2023-03-01,LE SSERAFIM,3,7607304
2022-05-01,LE SSERAFIM,5,18820079
2022-06-01,LE SSERAFIM,6,11818913
2022-10-01,LE SSERAFIM,10,9040184
2022-11-01,LE SSERAFIM,11,38977644
2022-12-01,LE SSERAFIM,12,47418846
2017-01-01,Little Mix,1,34550010
2017-02-01,Little Mix,2,38865968
2017-03-01,Little Mix,3,36136500
2017-04-01,Little Mix,4,29862099
2020-04-01,Little Mix,4,4593343
2017-05-01,Little Mix,5,38546080
2017-06-01,Little Mix,6,25387674
2017-07-01,Little Mix,7,6040664
2020-10-01,Little Mix,10,5992663
2020-11-01,Little Mix,11,11341391
2016-12-01,Little Mix,12,4836418
2023-01-01,NewJeans,1,180680234
2023-02-01,NewJeans,2,193872556
2023-03-01,NewJeans,3,189389199
2022-08-01,NewJeans,8,26947941
2022-09-01,NewJeans,9,79410721
2022-10-01,NewJeans,10,39710612
2022-11-01,NewJeans,11,6727206
2022-12-01,NewJeans,12,35825232
2021-01-01,TWICE,1,4504304
2022-01-01,TWICE,1,22554938
2023-01-01,TWICE,1,11010860
2023-02-01,TWICE,2,9425815
2020-06-01,TWICE,6,24405415
2021-06-01,TWICE,6,15013955
2020-07-01,TWICE,7,4592745
2021-07-01,TWICE,7,17396089
2019-09-01,TWICE,9,5077884
2022-09-01,TWICE,9,45369232
2019-10-01,TWICE,10,17795270
2020-10-01,TWICE,10,5559422
2021-10-01,TWICE,10,35043237
2022-10-01,TWICE,10,12705062
2020-11-01,TWICE,11,31079445
2021-11-01,TWICE,11,39822049
2020-12-01,TWICE,12,11415613
2021-12-01,TWICE,12,34669658
