source,streams,count_main_artist,count_track_name
Sound African Recordings,,,
Sowetocool,,,
REVENGE CLUB RECORDS,,,
RUBBERBVNDGVNG,,,
Revenge Club Records,,,
RUBBERBVNDGANG,,,
Platoon,,,
NINETY SEVEN,,,
Universal Music (Pty) Ltd.,,,
Vth Season,,,
Beam Group,,,
Content Connect Africa,,,
Doza Nation Entertainment,,,
Eye 'N See Entertainment,,,
WM South Africa,352318094.0,1.0,2.0
Ziiki Media,,,
Royal Am Entertainment under Exclusive License to Ownit Music,,,
Armada Music Bundles,,,
Ivyson Entertainment,,,
Lyf Styl Entertainment,,,
DJs Production,,,
Bigcitydreams Records,,,
Balcony Mix Africa,,,
Balcony Mix Africa Under Exclusive License to emPawa Africa Limited,,,
Select,,,
Afrotainment,,,
Nkabi Records,,,
Spirit Motion,,,
Ambitiouz Entertainment,,,
Umuthi Othi Thi (Pty) Ltd,,,
OB Wave,,,
Blaqwav Entertainment,,,
Blaqwav ENT.,,,
M4 Entertainment,,,
Majesty Music Entertainment,,,
Thupa Industry,,,
Prime Hold Consult Black is Brown,,,
Ejarden Entertainment,,,
Family Tree,,,
R1+0 CARTEL,,,
R1+O CARTEL,,,
Titch Gang Records,,,
Cyfred Records,,,
D&D Studios,,,
NTS,,,
"UMG Recordings, Inc.",,,
WILL OF STEEL / NEXT MUSIC,,,
Ganyani Entertainment,,,
Maz Entertainment,,,
New Money Gang,,,
New Money Gang Records,,,
Wanitwa Mos Entertainment,,,
RCA Records Label,7421921009.0,27.0,64.0
VS Mobile,,,
Spaceship Records / Geobek Records,,,
Fresh 2 Def Productions,,,
Kiff Records,,,
Born In Soweto,,,
Born In Soweto/House Afrika/De Mthuda & Njelic,,,
Indie,,,
Cycad Wave,,,
Supra Familias,,,
House of Makunene,,,
Distruction boyz records,,,
Distruction Boyz Records,,,
Soulful Horizons Music,,,
Yano World,,,
5K Records Limited,168661751.0,1.0,1.0
Open Mic Productions,74653376.0,1.0,1.0
soul spirit productions,,,
2016098 Records DK,,,
Dlala Records (PTY) Ltd,,,
Side Hustle,,,
Simnandi Records,,,
ESK MUSIQ,,,
EduardoLuzquinos2021,,,
Columbia,37711187917.0,56.0,230.0
eMtee Records,,,
18 Area Holdings,,,
Vth Season/18 Area Holdings,,,
Major League Music,,,
VCK Music,,,
Globe Field,,,
Gaba Cannal Music,,,
Producer Kitchen Concept,,,
Music Aggregator,,,
Rudebouy Major,,,
Dingaans Day Ent,,,
Hooch Entertainment Group/Hooch Events,,,
DrumbossMusik,,,
Early A.M,,,
famifellaz Entertainment Group,,,
1713874 Records DK,,,
Jay Music Production,,,
JazziDisciples ENT,,,
Jeremy Loops,,,
Decca (UMO),18247530.0,1.0,1.0
Feel Good Music,,,
Scatterlings,,,
De Disciple Tradings,,,
De Disciple Records,,,
Rare Breed Entertainment,,,
Rocka Empire,,,
Piano Hub,,,
Piano Hub (PTY) LTD,,,
AMP production record,,,
"NEW MONEY GANG , PIANO HUB & JACQUEL ENTERTAINMENT GROUP",,,
Gentle Soul Records,,,
Matiwane Records (PTY) LTD,,,
Kamo Mphela Entertainment,,,
Waltz Music Group,,,
Kelvin Momo Productions,,,
Piano Hub (Pty) Ltd,,,
Beeskraal Cowpunk,,,
Superstar Studios,,,
Universal Music (Pty) Ltd. Distribution Deals,,,
Soweto Music & Entertainment Academy,,,
MODANA ENTERTAINMENT,,,
King Monada Music,,,
Nazma,,,
TAYO Projects / The T Effect,,,
Dope Dreams Co.,,,
Sundance Music,,,
This Ain't Bristol,,,
Lady Du Entertainment,,,
Wa Wa/EMEXTEE,,,
VILLAIN MUSIQ / Top Tier Music / EMPIRE,,,
Roy Bulkin Music,,,
Otarel Music,,,
Nineleven Music,,,
Luxury SA Entertainment,,,
Columbia/M2V,35210226.0,1.0,1.0
Mawhoo,,,
M2N Services,,,
Major League Music Under Exclusive License to emPawa Africa Limited,,,
Sony Music Latin,12614796142.0,29.0,89.0
Ujuu Records,,,
OuttaThisWorld,,,
Aurora Black,,,
Black Is Brown Ent & Prime Hold Consulting,,,
Black Is Brown Entertainment,,,
ALTBLK (Oneshushuday),,,
Murumba Pitch,,,
Keys Records,,,
Muskat,,,
Matjita Ent/Amana ka! Music,,,
Ville Records,,,
Coke Studio Africa,,,
Milkshake,93068558.0,1.0,1.0
Redbox Entertainment,,,
Groove Natives,,,
LB Recordings,,,
Cooper Entertainment,,,
Ama Roto Entertainment,,,
Luna Rising Music,,,
Pushkin and Springle,,,
Fyve,,,
Cloud9ne Entertainment,,,
Ministry of Sound Recordings,1730556573.0,3.0,7.0
Winnkay Music,,,
Mabala Noise Entertainment,,,
Silver Merci,,,
Jozi Entertainment,,,
Youbuntu,,,
The T Effect,,,
JOZI ENTERTAINMENT,,,
The Oat Records,,,
Boss Entertainment (Pty) Ltd,,,
Eagle Entertainment,,,
Flourish and Multiply,,,
Epic,2886905601.0,16.0,27.0
Sir Trill Music,,,
KOTIN RECORDS,,,
1020 Cartel,,,
Soa Family,,,
Spoegwolf (Pty) Ltd.,,,
Spoegwolf (Pty) Ltd,,,
EL World Music,,,
El World,,,
El-World,,,
Bathathe Wena,,,
Toss Indabakabani,,,
Djs Production Pty Ltd,,,
4374710 Records DK,,,
THEUNS JORDAAN PRODUCTIONS CC,,,
FAX Records/Epic,,,
Kreativekornerr,,,
KO-SIGN PTY LTD.,,,
Vhudie Music,,,
The Plug Entertainment,,,
"Encore Recordings, LLC",,,
Encore Recordings,,,
Rinse,,,
Muthaland Entertainment,,,
CYPHA / MUTHALAND,,,
Island Records,5283621849.0,8.0,34.0
BMG Rights Management (US) LLC,183176207.0,3.0,8.0
Zain's World,,,
Live Rich Entertainment,,,
Steyn Entertainment,,,
Earthquake records,,,
Mguzuguzu Records,,,
