source,streams
Columbia,37711187917
Republic Records,27555882345
Rimas Entertainment LLC,18294105384
Atlantic Records UK,17993141099
Atlantic Records,13445634616
Sony Music Latin,12614796142
Warner Records,11957570688
UMLE - Latino,11428492248
RCA Records Label,7421921009
Olivia Rodrigo PS,7094321632
Kemosabe Records/RCA Records,6539215615
Taylor Swift,6475877038
Darkroom/Interscope Records,6312054845
RBMG/Def Jam,5599838670
Island Records,5283621849
Universal Republic Records,5155414225
Aftermath,4889974665
Kid Ina Korner / Interscope,4734658364
Polydor Records,4596155806
BIGHIT MUSIC,4385970028
Elektra (NEK),4347053675
Parlophone UK,4278978285
Disruptor Records/Columbia,4257378923
EMI,4230036249
OVO,4211198482
Vertigo Berlin,3974247548
Generation Now/Atlantic,3704937434
Interscope Records*,3689602187
Universal Records,3601313894
Sony Music Latin/Duars Entertainment,3283131679
Grade A Productions/Interscope Records,3070805270
Capitol,2954421076
Epic,2886905601
Cash Money/Drake LP6,2773589712
Cash Money Records/Young Money Ent./Universal Rec.,2773403960
Syco Music/Epic,2642775537
WEA Latina,2634195020
Top Dawg Entertainment/RCA Records,2631585860
DALE PLAY Records,2548427321
YG Entertainment/Interscope Records,2517403541
Bad Vibes Forever / EMPIRE,2344379124
Universal-Island Records Ltd.,2339671264
Victor Victor Worldwide,2329949707
"Big Machine Records, LLC",2306547237
Rich Music,2282532112
Domino Recording Co,2270842029
Virgin,2264195570
Epic Amsterdam,2247524644
South Coast Music Group/Interscope Records,2156929038
"Bad Vibes Forever, LLC",2138567655
Cactus Jack / Epic,2134136150
300 Entertainment,2106725429
Capitol Records UK / EMI,2089596349
Alamo,2076649174
Darkroom,2062964965
Interscope,2027818977
Interscope Records,1972618763
Records/Columbia,1917117436
Capitol Records,1894755771
Epic/We The Best,1892714772
Universal Music AB,1852166152
Geffen,1806920234
Kygo,1803640736
Sony Music Latin/La Industria,1782183643
UMGRI Interscope,1772966821
"Right Hand Music Group, LLC/RCA Records",1768659879
Ministry of Sound Recordings,1730556573
Columbia/B1 Recordings,1707389814
Juice WRLD Mixtape / ISR P&D,1672543721
Atlantic/KSR,1565953213
Artist Partner,1533962380
XO / Republic Records,1434008710
Aura Music Corp.,1397901613
Epic/Grand Hustle,1354605199
Def Jam Recordings,1311769546
Som Livre,1303846310
Nice Life/Atlantic,1300663864
88rising Music/Warner Records,1295721228
Epic/Freebandz,1285347342
Lauv,1281697649
Astralwerks,1214798295
ITNO/Columbia,1203492782
El Cartel Records (EC3),1196549292
Sony Music Entertainment,1178029022
VP Records Corp/Dimelo Vi,1160324701
Universal Music Latino / Rimas,1087377346
Aftermath Entertainment/Atlantic,1072452599
Syco Music,1041899288
Arizona Zervas,1040456257
Chris Brown Entertainment/RCA Records,1013258639
TUSA - Karol G & Nicki Minaj,992766430
OVO / Republic Records,986294686
A Star is Born OST,964996785
"Quality Control Music, LLC",960345474
Shady/Aftermath/Interscope Records,941585159
WM Mexico,941002985
Parkwood Entertainment/Columbia,932139492
Arista Records,926466228
Mogul Vision/Interscope Records,922149609
Internet Money Records/ TenThousand Projects,906773225
Walt Disney Records,906168218
143/Reprise,883489456
Mosley / Interscope,871401133
Parlophone (France),858699857
Rock The World/IDJ/Kanye LP7,849920688
N&E Entertainment LLC,849084425
Black Panther (TDE/DMG) PS,846082570
"Sueños Globales, LLC",835384437
Sony Music UK,830275839
Quality Control Music,827698151
ADOR,827448324
Rimas Entertainment LLC.,824770514
Columbia/Legacy,815839376
Selena Gomez PS,813779201
Bad Boy Entertainment/Epic Records,807693545
Epic/Freebandz/A1,801254161
Third Pardee Records,797064513
La Base Music Group/ WK Records,780424235
Atlantic/Arthouse Records,778710435
MCA Nashville,776711787
Universal Music Australia Pty. Ltd.,772946629
Shawn Mendes LP4-5 PS/ Island,767729186
Beluga Heights/Warner Records,765440389
XL Recordings,757784209
Fish People,753614642
Mercury Records/Republic Records,750120888
L-M Records/RCA Records,742100034
Quevedo,739924818
Joytime Collective/RCA Records,717245863
G.O.O.D. Music/Columbia,709306874
F-Stop Records/Atlantic,705125430
Monkey Puzzle Records/RCA Records,703476741
Cactus Jack / Epic / Grand Hustle,695349124
