main_artist,max_rank_Global,min_rank_Global,#_songs_Global,#_dates_Global,IsGirlGroup_Global,IsBoyGroup_Global,IsMixedGroup_Global,Longest_Charting_TimeDays_Global,Shortest_Charting_TimeDays_Global,MinEndDate_Year_Global,MinEndDate_Month_Global,MinEndDate_Day_Global,MaxEndDate_Year_Global,MaxEndDate_Month_Global,MaxEndDate_Day_Global,first_artist_rank_Global,max_rank_ZA,min_rank_ZA,#_songs_ZA,#_dates_ZA,IsGirlGroup_ZA,IsBoyGroup_ZA,IsMixedGroup_ZA,Longest_Charting_TimeDays_ZA,Shortest_Charting_TimeDays_ZA,MinEndDate_Year_ZA,MinEndDate_Month_ZA,MinEndDate_Day_ZA,MaxEndDate_Year_ZA,MaxEndDate_Month_ZA,MaxEndDate_Day_ZA,first_artist_rank_ZA,max_rank_GB,min_rank_GB,#_songs_GB,#_dates_GB,IsGirlGroup_GB,IsBoyGroup_GB,IsMixedGroup_GB,Longest_Charting_TimeDays_GB,Shortest_Charting_TimeDays_GB,MinEndDate_Year_GB,MinEndDate_Month_GB,MinEndDate_Day_GB,MaxEndDate_Year_GB,MaxEndDate_Month_GB,MaxEndDate_Day_GB,first_artist_rank_GB,max_rank_KR,min_rank_KR,#_songs_KR,#_dates_KR,IsGirlGroup_KR,IsBoyGroup_KR,IsMixedGroup_KR,Longest_Charting_TimeDays_KR,Shortest_Charting_TimeDays_KR,MinEndDate_Year_KR,MinEndDate_Month_KR,MinEndDate_Day_KR,MaxEndDate_Year_KR,MaxEndDate_Month_KR,MaxEndDate_Day_KR,first_artist_rank_KR,max_rank_IN,min_rank_IN,#_songs_IN,#_dates_IN,IsGirlGroup_IN,IsBoyGroup_IN,IsMixedGroup_IN,Longest_Charting_TimeDays_IN,Shortest_Charting_TimeDays_IN,MinEndDate_Year_IN,MinEndDate_Month_IN,MinEndDate_Day_IN,MaxEndDate_Year_IN,MaxEndDate_Month_IN,MaxEndDate_Day_IN,first_artist_rank_IN
  Damons year,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,8.0,4.0,144.0,False,False,False,1044.0,1.0,2022.0,1.0,1.0,2025.0,12.0,31.0,181.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#Annyeong,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,1.0,1.0,False,False,False,22.0,22.0,2025.0,6.0,12.0,2025.0,6.0,12.0,145.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$,199.0,2.0,18.0,22.0,False,False,False,505.0,323.0,2024.0,2.0,2.0,2024.0,8.0,30.0,24.0,183.0,5.0,15.0,22.0,False,False,False,505.0,330.0,2024.0,2.0,2.0,2024.0,8.0,30.0,38.0,185.0,5.0,15.0,18.0,False,False,False,505.0,330.0,2024.0,2.0,2.0,2024.0,8.0,30.0,21.0,192.0,31.0,23.0,20.0,False,False,False,505.0,295.0,2024.0,2.0,2.0,2024.0,9.0,29.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$NOT,125.0,125.0,1.0,1.0,False,False,False,1240.0,1240.0,2022.0,2.0,10.0,2022.0,2.0,10.0,125.0,194.0,194.0,1.0,1.0,False,False,False,1240.0,1240.0,2022.0,2.0,10.0,2022.0,2.0,10.0,194.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$uicideboy$,197.0,92.0,1.0,7.0,False,False,False,1380.0,1338.0,2021.0,9.0,4.0,2021.0,11.0,30.0,159.0,182.0,182.0,1.0,1.0,False,False,False,1366.0,1366.0,2021.0,10.0,7.0,2021.0,10.0,7.0,182.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(G)I-DLE,195.0,101.0,3.0,18.0,True,False,False,1198.0,694.0,2022.0,3.0,1.0,2023.0,11.0,31.0,189.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,1.0,25.0,141.0,True,False,False,1597.0,267.0,2021.0,1.0,1.0,2024.0,12.0,31.0,36.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*NSYNC,200.0,10.0,2.0,28.0,False,False,False,2745.0,183.0,2017.0,1.0,1.0,2025.0,12.0,31.0,200.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,16.0,2.0,25.0,False,False,False,2017.0,183.0,2019.0,1.0,1.0,2025.0,12.0,31.0,134.0,172.0,119.0,1.0,4.0,False,False,False,330.0,309.0,2024.0,8.0,8.0,2024.0,8.0,29.0,121.0,193.0,28.0,1.0,9.0,False,False,False,337.0,281.0,2024.0,8.0,1.0,2024.0,9.0,29.0,62.0
-,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,1.0,1.0,False,False,False,1562.0,1562.0,2021.0,3.0,25.0,2021.0,3.0,25.0,182.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015 MusiQ & Van City MusiQ,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,41.0,1.0,16.0,False,False,False,260.0,155.0,2024.0,1.0,2.0,2025.0,12.0,31.0,111.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031CHOPPA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,128.0,2.0,2.0,False,False,False,1030.0,253.0,2022.0,9.0,8.0,2024.0,10.0,24.0,128.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
