main_artist,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
$NOT,23789,23789,23789,23789.0,194,1,0,0,1.0,1.0,2
$uicideboy$,23341,23341,23341,23341.0,182,1,0,0,1.0,1.0,2
2 Chainz,9137,3964,56641,5664.1,78,7,119,5173,2.5256410256410255,2.3049949545913218,4
21 Savage,57808,1349,1508109,15547.515463917525,12,1,188,56459,16.666666666666668,42.8524833209785,0
24kGoldn,102605,9090,4825815,43475.81081081081,1,2,197,93515,198.0,11.287678767876788,11
25K,44418,20259,219490,27436.25,38,1,141,24159,4.7105263157894735,2.1925070339108546,2
347aidan,35298,24618,271505,30167.222222222223,90,14,110,10680,2.2222222222222223,1.4338289056787716,8
5 Seconds of Summer,29776,2119,4488206,18937.57805907173,3,1,197,27657,66.66666666666667,14.051911278905145,6
6LACK,33615,3899,1643989,13365.764227642276,11,2,188,29716,18.09090909090909,8.621441395229546,0
6ix9ine,40004,3195,1088731,15778.710144927536,2,2,198,36809,100.0,12.520813771517997,0
9umba,151207,36738,2336927,116846.35,2,1,77,114469,39.5,4.115820131743699,5
A Boogie Wit da Hoodie,18397,5835,574223,10834.396226415094,36,1,163,12562,5.527777777777778,3.152870608397601,7
A$AP Ferg,24649,2112,52857,8809.5,64,7,134,22537,3.09375,11.670928030303031,7
A$AP Rocky,42780,2649,613185,8175.8,11,1,187,40131,18.0,16.149490373725936,7
A-Reece,66473,5339,2005271,35180.19298245614,6,1,187,61134,32.166666666666664,12.450458887432104,3
AC/DC,2177,2177,2177,2177.0,177,1,0,0,1.0,1.0,4
ACRAZE,67818,24675,1303541,44949.68965517241,26,2,152,43143,6.846153846153846,2.748449848024316,11
AJR,3201,2104,10153,2538.25,100,18,96,1097,1.96,1.5213878326996197,4
AKA,31995,2066,768928,9858.051282051281,20,1,177,29929,9.85,15.486447241045498,7
ANATII,5212,5212,5212,5212.0,178,1,0,0,1.0,1.0,4
