trackAppearanceCount,artistAppearanceCount,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen,Artist and Track,rank difference,lower_main_artist,Position over Time,Hip_Hop_Artist,artist_lower
0,0,184,spotify:track:67G6iaOw8DZqp1z8STR89R,"BIA, Nicki Minaj",WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,Epic,184,-1,1,5186354,2021-07-15,28,2021,2021-07-15,1626307200.0,2021-07-01,2,BIA,0,"BIA, Nicki Minaj; WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix",0,bia,0,BIA,bia
0,0,69,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,69,-1,1,11604542,2023-02-02,5,2023,2023-02-02,1675296000.0,2023-02-01,1,Baby Tate,0,"Baby Tate; Hey, Mickey!",0,baby tate,0,Baby Tate,baby tate
1,1,145,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,69,69,2,8239588,2023-02-09,6,2023,2023-02-09,1675900800.0,2023-02-01,1,Baby Tate,0,"Baby Tate; Hey, Mickey!",76,baby tate,100,Baby Tate,baby tate
2,2,180,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",Yung Baby Tate,69,145,3,7575651,2023-02-16,7,2023,2023-02-16,1676505600.0,2023-02-01,1,Baby Tate,0,"Baby Tate; Hey, Mickey!",35,baby tate,100,Baby Tate,baby tate
0,19,54,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,54,-1,1,8885727,2017-12-28,52,2017,2017-12-28,1514419200.0,2017-12-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",0,cardi b,0,Cardi B,cardi b
1,21,28,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,28,54,2,11285907,2018-01-04,1,2018,2018-01-04,1515024000.0,2018-01-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",-26,cardi b,75,Cardi B,cardi b
2,23,22,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,28,3,13417677,2018-01-11,2,2018,2018-01-11,1515628800.0,2018-01-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",-6,cardi b,75,Cardi B,cardi b
3,25,26,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,22,4,12397391,2018-01-18,3,2018,2018-01-18,1516233600.0,2018-01-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",4,cardi b,100,Cardi B,cardi b
4,27,36,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,26,5,10816600,2018-01-25,4,2018,2018-01-25,1516838400.0,2018-01-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",10,cardi b,100,Cardi B,cardi b
5,29,42,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,36,6,10205200,2018-02-01,5,2018,2018-02-01,1517443200.0,2018-02-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",6,cardi b,100,Cardi B,cardi b
6,31,39,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,42,7,10235139,2018-02-08,6,2018,2018-02-08,1518048000.0,2018-02-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",-3,cardi b,75,Cardi B,cardi b
7,33,59,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,39,8,8315747,2018-02-15,7,2018,2018-02-15,1518652800.0,2018-02-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",20,cardi b,100,Cardi B,cardi b
8,35,68,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,59,9,7244062,2018-02-22,8,2018,2018-02-22,1519257600.0,2018-02-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",9,cardi b,100,Cardi B,cardi b
9,37,75,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,68,10,6956336,2018-03-01,9,2018,2018-03-01,1519862400.0,2018-03-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",7,cardi b,100,Cardi B,cardi b
10,39,100,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,75,11,5709627,2018-03-08,10,2018,2018-03-08,1520467200.0,2018-03-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",25,cardi b,100,Cardi B,cardi b
11,41,127,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,100,12,5031425,2018-03-15,11,2018,2018-03-15,1521072000.0,2018-03-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",27,cardi b,100,Cardi B,cardi b
12,43,150,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,127,13,4583179,2018-03-22,12,2018,2018-03-22,1521676800.0,2018-03-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",23,cardi b,100,Cardi B,cardi b
13,45,155,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,150,14,4399188,2018-03-29,13,2018,2018-03-29,1522281600.0,2018-03-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",5,cardi b,100,Cardi B,cardi b
14,48,158,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,22,155,15,4115400,2018-04-05,14,2018,2018-04-05,1522886400.0,2018-04-01,2,Cardi B,0,"Cardi B, 21 Savage; Bartier Cardi (feat. 21 Savage)",3,cardi b,100,Cardi B,cardi b
