main_artist,track_name,streams
K.O,SETE (feat. Young Stunna & Blxckie),5264640
Glass Animals,Heat Waves,4467662
Q-Mark,Paris,4402552
Burna Boy,Last Last,4167431
Harry Styles,As It Was,4010954
Wanitwa Mos,Dali Nguwe,3980142
Future,WAIT FOR U (feat. Drake & Tems),3911354
Chris Brown,Under The Influence,3882374
9umba,uMlando,3629979
Lost Frequencies,Where Are You Now,3428628
Mas Musiq,Sengizwile (feat. Aymos & Young Stunna),3348804
Kabza De Small,Asibe Happy,3332676
The Kid LAROI,STAY (with Justin Bieber),3311915
Ed Sheeran,Shivers,3262836
Kabza De Small,Abalele,3140357
Daliwonga,Abo Mvelo (feat. Mellow & Sleazy & M.J),3127622
Elton John,Cold Heart - PNAU Remix,3125756
Ed Sheeran,Bad Habits,3124805
Wanitwa Mos,Sofa Silahlane,3085446
Adele,Easy On Me,3082580
Senior Oat,All In You,2993304
Uncle Waffles,Tanzania,2955379
Nomfundo Moh,Phakade Lami,2932090
Justin Bieber,Ghost,2831109
Tisto,The Motto,2747543
Musa Keys,Selema (Po Po),2735282
Young Stunna,Adiwele (feat. Kabza De Small & DJ Maphorisa),2683079
Busta 929,Ngixolele,2672344
Kabza De Small,Khusela (feat. Msaki),2545263
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,2423423
Kabza De Small,"Xola (feat. Nobuhle, Ze2 & Young Stunna)",2415048
J. Cole,No Role Modelz,2348732
Drake,Jimmy Cooks (feat. 21 Savage),2336119
The Weeknd,Blinding Lights,2262994
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2244603
Fantasia,When I See U,2100698
OneRepublic,I Ain't Worried,2096098
Felo Le Tee,Dipatje Tsa Felo (feat. Daliwonga),2092842
Jack Harlow,First Class,2058638
Sam Smith,Unholy (feat. Kim Petras),2055256
Billie Eilish,lovely (with Khalid),2030828
Gaba Cannal,Healer Ntliziyo Yam,2013701
Deep London,Hamba Wena,2009670
Burna Boy,For My Hand (feat. Ed Sheeran),1978966
Konke,Kancane,1967222
Lewis Capaldi,Someone You Loved,1965771
Miguel,Sure Thing,1920321
Ruth B.,Dandelions,1916927
Felo Le Tee,Manca,1911435
Kizz Daniel,Buga (Lo Lo Lo),1900169
Venom,"Sondela (feat. Yumbs, Raspy, Blxckie, Riky Rick & Tshego)",1880151
The Neighbourhood,Sweater Weather,1862904
Major League Djz,BAKWA LAH,1860205
Riaan Benad,Rowwe Bliksem,1823553
Beyonc,CUFF IT,1811035
Doja Cat,Woman,1767208
David Guetta,I'm Good (Blue),1708548
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),1690610
DBN Gogo,Bells,1689612
Giveon,Heartbreak Anniversary,1682083
Nomfundo Moh,Soft Life,1678398
Sam Deep,Kusezo Khanya,1672144
Drake,Fair Trade (with Travis Scott),1659196
Elley Duh,MIDDLE OF THE NIGHT,1658897
Giveon,For Tonight,1658004
Drake,Chicago Freestyle (feat. Giveon),1651596
Riaan Benad,Vat 'n Bietjie,1645159
Lloyiso,Seasons,1643896
Bryson Tiller,Don't,1642505
Oxlade,KU LO SA - A COLORS SHOW,1626367
Mr JazziQ,Halala (feat. Mellow & Sleazy),1624197
Harry Styles,Watermelon Sugar,1616440
Kate Bush,Running Up That Hill (A Deal With God),1615056
Joji,Glimpse of Us,1603431
Tom Odell,Another Love,1603291
Samthing Soweto,Amagents,1597713
Tisto,The Business,1561670
Steve Lacy,Bad Habit,1551371
James Arthur,Say You Won't Let Go,1538866
Drake,Rich Flex,1523502
The Weeknd,Die For You,1523468
AKA,Lemons (Lemonade),1519847
Big Zulu,Voicemail,1494851
Lil Nas X,THATS WHAT I WANT,1492839
Ch'cco,Nkao Tempela,1481963
Luxury SA,Crazy Vibez,1473290
Kendrick Lamar,N95,1463879
Drake,Teenage Fever,1454819
Drake,Knife Talk (with 21 Savage ft. Project Pat),1445677
Post Malone,I Like You (A Happier Song) (with Doja Cat),1443628
Irene-Louise Van Wyk,Tekkies Brand,1438263
Drake,Wants and Needs (feat. Lil Baby),1436014
Drake,Sticky,1414181
Lizzo,About Damn Time,1409669
Reece Madlisa,Iyntsimbi zase envy,1405175
Nicky Youre,Sunroof,1398112
Mario,Let Me Love You,1379312
GAYLE,abcdefu,1374086
Gunna,pushin P (feat. Young Thug),1369186
Camila Cabello,Bam Bam (feat. Ed Sheeran),1365050
Mariah Carey,We Belong Together,1356830
Tems,Free Mind,1347542
Chris Brown,No Guidance (feat. Drake),1338955
Muni Long,Hrs & Hrs,1337261
MacG,Nkantin,1327862
Bryson Tiller,Exchange,1318744
XXXTENTACION,Hope,1289978
Drake,Yebbas Heartbreak,1282439
Summer Walker,Girls Need Love (with Drake) - Remix,1275906
Kendrick Lamar,Rich Spirit,1269326
Mellow & Sleazy,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",1266360
Rema,Calm Down (with Selena Gomez),1265399
Olivia Rodrigo,good 4 u,1261060
Kabza De Small,"Eningi (feat. Njelic, Simmy & Mhaw Keys)",1255837
DJ Maphorisa,"Ba Straata (feat. 2woshortrsa, Stompiiey, Shaunmusiq, Ftears & Madumane)",1248976
Drake,One Dance,1246283
Soa mattrix,Mina Nawe,1243118
Riaan Benad,Spontaan,1235148
Nicki Minaj,Super Freaky Girl,1229387
Olivia Rodrigo,drivers license,1225156
DBN Gogo,Bambelela,1213459
The Weeknd,Save Your Tears,1208527
Mellow & Sleazy,Chipi ke Chipi,1206368
Juice WRLD,Lucid Dreams,1200900
DJ Khaled,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",1195840
Marshmello,Numb,1190189
Central Cee,Doja,1188395
Dj Karri,"Trigger (feat. BL Zero, Lebzito & Prime De 1st)",1181389
Pabi Cooper,Banyana Ke Bafana,1178557
Kendrick Lamar,Die Hard,1170063
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),1164026
Post Malone,Circles,1156481
J. Cole,Wet Dreamz,1155745
Marshmello,Leave Before You Love Me (with Jonas Brothers),1153109
Tate McRae,you broke me first,1149780
Fireboy DML,Peru,1143607
Drake,Girls Want Girls (with Lil Baby),1142365
Doja Cat,Kiss Me More (feat. SZA),1138962
Jack Harlow,Churchill Downs (feat. Drake),1130285
Reece Madlisa,Megalo,1124101
SZA,I Hate U,1121410
6LACK,Pretty Little Fears (feat. J. Cole),1099362
Post Malone,Cooped Up (with Roddy Ricch),1098650
Pheelz,Finesse,1096087
Sam Deep,Thokoza,1095326
Beyonc,BREAK MY SOUL,1093732
Swedish House Mafia,Moth To A Flame (with The Weeknd),1091574
Lewis Capaldi,Before You Go,1067572
Kendrick Lamar,Money Trees,1064110
Burna Boy,It's Plenty,1062565
Lloyiso,Dream About You,1047477
Felo Le Tee,66,1041841
