,main_artist,count_track_name
30,Makhadzi,8
29,Mellow & Sleazy,8
28,Doja Cat,8
27,Juice WRLD,8
28,Doja Cat,8
29,Mellow & Sleazy,8
30,Makhadzi,8
26,Ed Sheeran,9
24,Pusha T,10
25,Mr JazziQ,10
22,Nasty C,12
23,Post Malone,12
19,Jack Harlow,14
20,Harry Styles,14
21,DJ Khaled,14
18,Metro Boomin,15
15,Burna Boy,16
16,Lil Baby,16
17,Blxckie,16
12,Giveon,17
13,Future,17
14,Beyonc,17
10,Gunna,18
11,A-Reece,18
7,Brent Faiyaz,20
8,Chris Brown,20
9,Taylor Swift,20
6,Kabza De Small,23
5,SZA,24
4,Kendrick Lamar,25
3,The Weeknd,26
2,Kelvin Momo,31
1,Drake,39
