source,streams
Columbia,94537287
Republic Records,64181333
Universal Music (Pty) Ltd.,50204548
Atlantic Records UK,40200144
OVO,38588701
Piano Hub,29673186
Atlantic Records,27817506
Sound African Recordings,27215404
New Money Gang Records,24005846
Kemosabe Records/RCA Records,18829241
Warner Records,16514944
Darkroom/Interscope Records,15971655
RBMG/Def Jam,15680710
New Money Gang,14302010
Grade A Productions/Interscope Records,13760501
Vertigo Berlin,13133885
Olivia Rodrigo PS,12918218
RCA Records Label,12903399
Polydor Records,11974980
Victor Victor Worldwide,11733955
Capitol,11695757
Chris Brown Entertainment/RCA Records,11180984
WM South Africa,11067683
Thupa Industry,10439795
Taylor Swift,10067472
pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,9656547
Epic,9593009
Wanitwa Mos Entertainment,9552286
Generation Now/Atlantic,9491900
"Right Hand Music Group, LLC/RCA Records",9421871
Elektra (NEK),9389608
Disruptor Records/Columbia,9290406
Open Mic Productions,9289094
Interscope Records*,9044977
Epic/Freebandz,8739217
EMI,8677631
OVO / Republic Records,8186791
Spaceship Entertainment Ltd.,8004191
Cactus Jack / Epic,7705111
J Records,7634036
Virgin,7530598
Columbia/B1 Recordings,7407721
Island Records,7398315
Rock The World/IDJ/Kanye LP7,7151640
Epic Amsterdam,6962548
Darkroom,6919963
300 Entertainment,6874340
South Coast Music Group/Interscope Records,6834640
Juice WRLD Mixtape / ISR P&D,6690224
Capitol Records,6604364
Parkwood Entertainment/Columbia,6541025
"Dreamville, Inc., Under exclusive license to Roc Nation Records",6373021
"Bad Vibes Forever, LLC",6256292
LVRN/Interscope Records,6143910
Keys Records,6088611
Astralwerks,5995349
Epic/Not So Fast,5953380
Interscope Records,5758288
Top Dawg Entertainment/RCA Records,5550759
Records/Columbia,5514558
Parlophone UK,5435381
Universal Republic Records,5420938
Kygo,5382721
Lauv,5303678
Alamo,5171199
Bad Vibes Forever / EMPIRE,5149627
Kid Ina Korner / Interscope,5146667
Roc Nation Records LLC,4977458
Epic/We The Best,4966324
Ministry of Sound Recordings,4888386
M4 Entertainment,4820849
Black Is Brown Ent & Prime Hold Consulting,4669085
Ambitiouz Entertainment,4587838
Nkabi Records,4575454
Cloud9ne Entertainment,4532840
Ama Roto Entertainment,4508145
Quality Control Music/Motown Records,4482046
Aftermath,4443872
UMGRI Interscope,4417072
A Star is Born OST,4348108
Internet Money Records/ TenThousand Projects,4326676
Cash Money/Drake LP6,4220424
Universal-Island Records Ltd.,4090880
Prime Hold Consult Black is Brown,4086670
BIGHIT MUSIC,3953025
Atlantic/KSR,3903317
Select,3883291
MBK Entertainment/RCA Records,3827340
Aftermath Entertainment/Atlantic,3769610
Def Jam Recordings,3769433
Kelvin Momo Productions,3712106
Gaba Cannal Music,3673349
Sowetocool,3666717
XO / Republic Records,3564674
Universal Records,3540340
TrapSoul/RCA Records,3474020
The Oat Records,3452560
Arista Records,3426074
Friends Keep Secrets/Interscope Records,3411115
Jive,3403596
Cactus Jack / Epic / Grand Hustle,3358459
R1+0 CARTEL,3301519
D&D Studios,3080380
Piano Hub (PTY) LTD,3080041
OVO/We The Best/Epic,3077780
Cash Money Records/Young Money Ent./Universal Rec.,3076897
Content Connect Africa,3075580
Nice Life/Atlantic,3059262
Kreativekornerr,3015639
Universal Music Australia Pty. Ltd.,2989501
Mercury Records/Republic Records,2970228
Shady/Aftermath/Interscope Records,2865900
Victor Victor Worldwide/Republic Records,2778223
G.O.O.D. Music/Columbia,2717585
iamcosmic,2709175
Rhino/Elektra,2671798
OVO Sound/Warner Records,2670483
Black Is Brown Entertainment,2645507
Mogul Vision/Interscope Records,2631106
LVRN Records,2546746
18 Area Holdings,2512756
Mosley Music/Interscope Records,2481814
Chris Brown Entertainment/300 Entertainment/RCA Records,2475145
Winners Circle/RCA Records,2443400
Platoon,2428795
BMG Rights Management (US) LLC,2417313
Syco Music/Epic,2385207
Universal Music AB,2337966
Cycad Wave,2322335
KIDinaKORNER/Interscope Records,2316206
Arizona Zervas,2226341
Jonas Brothers Recording,2201005
Chocolate City Music,2132219
Shawn Mendes LP4-5 PS/ Island,2122699
300 Entertainment/Atl,2117685
"Lost Kids LLC., Marketed by Venice / Stem",2000695
Nazma,1967222
Waltz Music Group,1966298
EL World Music,1942851
Cooper Entertainment,1924362
FlyBoy INC / EMPIRE,1900169
L-M Records/RCA Records,1874851
88rising Music/Warner Records,1874215
Major League Music Under Exclusive License to emPawa Africa Limited,1860205
Atlantic/Arthouse Records,1856783
Simnandi Records,1755179
Youbuntu,1737185
DCD2 / Fueled By Ramen,1736683
"Getting Out Our Dreams, Inc./Def Jam Recordings",1727639
Joytime Collective/RCA Records,1720106
Leading Vibe Ltd,1674031
10 Summers Records/Interscope Records,1668446
Epic/Grand Hustle,1664054
Not Fit For Society/RCA Records,1658897
"Universal Music, a division of Universal International Music BV",1640690
We Run It Ent./Cactus Jack/Atlantic,1621460
ITNO/Columbia,1603291
YG Entertainment/Interscope Records,1597006
YBNL Nation / EMPIRE,1583427
Positiva,1569692
Starboy/RCA Records,1502809
Armada Music,1497581
Luxury SA Entertainment,1473290
REVENGE CLUB RECORDS,1426187
Thirty Knots/Columbia,1398112
Sundance Music,1374216
"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1372995
Big Beat Records,1359476
Interscope,1341295
"Supergiant Records, LLC / Def Jam Recordings",1337261
Superstar Studios,1336642
NTS,1336196
"MSFTSMusic / Roc Nation Records, LLC",1333087
M2N Services,1327862
MMG/Atlantic,1320147
"Thrive Music, LLC",1303541
Mavin Records / Jonzing World,1265399
Spinnin' Remixes,1257465
Soa Family,1243118
JOZI ENTERTAINMENT,1221449
Keep Cool/RCA Records,1215609
NF Real Music,1213511
Central Cee,1188395
Warner Bros.,1186947
5K Records Limited,1181389
"Surfaces, LLC / TenThousand Projects, LLC",1168450
