source,streams,count_main_artist,count_track_name
Columbia,94537287,54,200
Republic Records,64181333,25,178
Universal Music (Pty) Ltd.,50204548,45,192
Atlantic Records UK,40200144,14,65
OVO,38588701,2,65
Piano Hub,29673186,4,39
Atlantic Records,27817506,29,59
Sound African Recordings,27215404,27,104
New Money Gang Records,24005846,8,23
Kemosabe Records/RCA Records,18829241,1,19
Warner Records,16514944,20,63
Darkroom/Interscope Records,15971655,2,37
RBMG/Def Jam,15680710,1,31
New Money Gang,14302010,5,21
Grade A Productions/Interscope Records,13760501,1,45
Vertigo Berlin,13133885,1,5
Olivia Rodrigo PS,12918218,1,11
RCA Records Label,12903399,29,56
Polydor Records,11974980,11,20
Victor Victor Worldwide,11733955,1,33
Capitol,11695757,5,22
Chris Brown Entertainment/RCA Records,11180984,1,27
WM South Africa,11067683,13,20
Thupa Industry,10439795,1,14
Taylor Swift,10067472,1,78
pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,9656547,1,19
Epic,9593009,13,38
Wanitwa Mos Entertainment,9552286,3,5
Generation Now/Atlantic,9491900,3,43
"Right Hand Music Group, LLC/RCA Records",9421871,2,36
Elektra (NEK),9389608,5,8
Disruptor Records/Columbia,9290406,2,21
Open Mic Productions,9289094,11,38
Interscope Records*,9044977,1,7
Epic/Freebandz,8739217,1,29
EMI,8677631,6,15
OVO / Republic Records,8186791,2,16
Spaceship Entertainment Ltd.,8004191,1,29
Cactus Jack / Epic,7705111,3,12
J Records,7634036,2,2
Virgin,7530598,6,7
Columbia/B1 Recordings,7407721,5,5
Island Records,7398315,7,22
Rock The World/IDJ/Kanye LP7,7151640,1,29
Epic Amsterdam,6962548,2,15
Darkroom,6919963,2,8
300 Entertainment,6874340,7,49
South Coast Music Group/Interscope Records,6834640,1,15
Juice WRLD Mixtape / ISR P&D,6690224,1,5
Capitol Records,6604364,6,18
Parkwood Entertainment/Columbia,6541025,9,34
"Dreamville, Inc., Under exclusive license to Roc Nation Records",6373021,1,15
"Bad Vibes Forever, LLC",6256292,1,13
LVRN/Interscope Records,6143910,2,46
Keys Records,6088611,1,4
Astralwerks,5995349,2,4
Epic/Not So Fast,5953380,1,8
Interscope Records,5758288,8,24
Top Dawg Entertainment/RCA Records,5550759,2,26
Records/Columbia,5514558,4,10
Parlophone UK,5435381,6,10
Universal Republic Records,5420938,1,10
Kygo,5382721,1,13
Lauv,5303678,1,14
Alamo,5171199,5,13
Bad Vibes Forever / EMPIRE,5149627,1,18
Kid Ina Korner / Interscope,5146667,1,10
Roc Nation Records LLC,4977458,1,2
Epic/We The Best,4966324,2,43
Ministry of Sound Recordings,4888386,3,8
M4 Entertainment,4820849,1,27
Black Is Brown Ent & Prime Hold Consulting,4669085,2,6
Ambitiouz Entertainment,4587838,6,10
Nkabi Records,4575454,4,8
Cloud9ne Entertainment,4532840,1,1
Ama Roto Entertainment,4508145,2,3
Quality Control Music/Motown Records,4482046,6,53
Aftermath,4443872,5,26
UMGRI Interscope,4417072,6,9
A Star is Born OST,4348108,1,2
Internet Money Records/ TenThousand Projects,4326676,1,5
Cash Money/Drake LP6,4220424,1,25
Universal-Island Records Ltd.,4090880,8,11
Prime Hold Consult Black is Brown,4086670,2,2
BIGHIT MUSIC,3953025,6,47
Atlantic/KSR,3903317,1,17
Select,3883291,8,13
MBK Entertainment/RCA Records,3827340,2,6
Aftermath Entertainment/Atlantic,3769610,1,7
Def Jam Recordings,3769433,9,54
Kelvin Momo Productions,3712106,1,35
Gaba Cannal Music,3673349,2,5
Sowetocool,3666717,1,2
XO / Republic Records,3564674,1,18
Universal Records,3540340,4,11
TrapSoul/RCA Records,3474020,1,12
The Oat Records,3452560,1,3
Arista Records,3426074,5,5
