track_name,firstweekperc
...Ready For It?,13.500130320041336
22 (Taylor's Version),27.613887035078573
Afterglow,32.886040749564884
All Of The Girls You Loved Before,17.068177273345025
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),11.708146306412052
All Too Well (Taylor's Version),27.00061542617495
Anti-Hero,6.771671077841515
Babe (Taylor's Version) (From The Vault),
Bad Blood,
Begin Again (Taylor's Version),
Bejeweled,17.510211255472512
Better Man (Taylor's Version) (From The Vault),
Bigger Than The Whole Sky,24.706792875250724
Blank Space,0.917176535857318
Breathe (feat. Colbie Caillat) (Taylors Version),
Call It What You Want,31.47839717735954
Carolina - From The Motion Picture Where The Crawdads Sing,
Christmas Tree Farm,39.43571351182485
Come Back...Be Here (Taylor's Version),
Cornelia Street,32.57128513922174
Cruel Summer,5.618484829919257
Daylight,
Dear Reader,37.02558292065742
Death By A Thousand Cuts,32.460923745279324
Delicate,2.91987206563659
Dont Blame Me,2.1849667657183183
Dont You (Taylors Version) (From The Vault),
Enchanted,5.945424055495547
End Game,6.127393136889063
Everything Has Changed (feat. Ed Sheeran) (Taylors Version),
False God,31.758253945509196
Fearless (Taylors Version),
Fifteen (Taylors Version),
Forever & Always (Taylors Version),
Forever Winter (Taylor's Version) (From The Vault),
Girl At Home (Taylor's Version),
Glitch,37.159192864178166
Gorgeous,16.773724357637132
Hey Stephen (Taylors Version),
High Infidelity,29.08433844442126
Hits Different,
Holy Ground (Taylor's Version),
I Almost Do (Taylor's Version),
I Bet You Think About Me (feat. Chris Stapleton) (Taylors Version) (From The Vault),37.46669804021986
I Did Something Bad,
I Forgot That You Existed,23.186717704299777
I Knew You Were Trouble (Taylor's Version),28.952621306339438
I Think He Knows,32.16974784660374
Its Nice To Have A Friend,
Karma,12.86201954129501
Karma (feat. Ice Spice),
Labyrinth,21.20367764377848
Lavender Haze,7.858275221805765
London Boy,32.66387425719834
Look What You Made Me Do,11.457992307641787
Love Story (Taylors Version),15.807296788920883
Lover,16.28938718637263
Lover (Remix) [feat. Shawn Mendes],20.575225869115098
ME! (feat. Brendon Urie of Panic! At The Disco),
Maroon,17.49490686031697
Mastermind,19.784579451614213
Message In A Bottle (Taylor's Version) (From The Vault),32.00800137724264
Midnight Rain,10.449605955875416
Miss Americana & The Heartbreak Prince,32.08896171145021
Mr. Perfectly Fine (Taylors Version) (From The Vault),38.1697808487503
Nothing New (feat. Phoebe Bridgers) (Taylors Version) (From The Vault),34.22069393028229
Only The Young - Featured in Miss Americana,35.033691075200245
Paper Rings,26.985968314956864
Paris,24.63308602486773
Question...?,19.971450329854687
Red (Taylor's Version),26.964243534463083
Ronan (Taylor's Version),
Run (feat. Ed Sheeran) (Taylors Version) (From The Vault),30.255956889023995
Sad Beautiful Tragic (Taylor's Version),
Shake It Off,28.093162359359532
Snow On The Beach (feat. Lana Del Rey),17.59306029934844
Snow On The Beach (feat. More Lana Del Rey),
Soon Youll Get Better (feat. The Chicks),
Starlight (Taylor's Version),
State Of Grace (Acoustic Version) (Taylor's Version),
State Of Grace (Taylor's Version),27.954610176901433
Stay Stay Stay (Taylor's Version),
Style,8.48638054462528
Sweet Nothing,21.19954714405784
Tell Me Why (Taylors Version),
Thats When (feat. Keith Urban) (Taylors Version) (From The Vault),
The Archer,
The Great War,25.205522140425842
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylors Version),
The Lucky One (Taylor's Version),
The Man,23.249481014885003
The Moment I Knew (Taylor's Version),
The Very First Night (Taylor's Version) (From The Vault),
The Way I Loved You (Taylors Version),
This Love (Taylors Version),33.26803215348715
Treacherous (Taylor's Version),
Vigilante Shit,20.484933035873983
We Are Never Ever Getting Back Together (Taylor's Version),
We Were Happy (Taylors Version) (From The Vault),
White Horse (Taylors Version),
Wildest Dreams,47.56759283094713
Wildest Dreams (Taylor's Version),13.476885043734102
"Would've, Could've, Should've",22.069298348413856
You All Over Me (feat. Maren Morris) (Taylors Version) (From The Vault),24.664757817455545
You Belong With Me (Taylors Version),
You Need To Calm Down,
"You're On Your Own, Kid",15.315169187272307
Youre Not Sorry (Taylors Version),
august,7.198131899897644
betty,26.03828901189641
cardigan,8.351130440569845
champagne problems,16.50104189073721
closure,
coney island (feat. The National),
cowboy like me,
dorothea,
epiphany,29.5015690240414
evermore (feat. Bon Iver),
exile (feat. Bon Iver),16.657206143129592
gold rush,28.50529215048662
happiness,
hoax,30.03408759195451
illicit affairs,25.72188311841485
invisible string,23.203944829559195
ivy,
long story short,
mad woman,30.155010941066614
marjorie,
mirrorball,25.418755150954368
my tears ricochet,23.157770157790633
"no body, no crime (feat. HAIM)",22.31725256959545
peace,30.072696393442488
seven,25.929194188550998
the 1,18.288393736884156
the last great american dynasty,21.264130292262724
this is me trying,25.556186498108303
tis the damn season,29.68064719048525
tolerate it,27.573190970736576
willow,8.946396155571781
