track_name,streams
...Ready For It?,13.36299636751504
22 (Taylor's Version),72.38611296492142
Afterglow,67.11395925043512
All Of The Girls You Loved Before,31.14479523272419
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),15.68598557680466
All Too Well (Taylor's Version),55.430300342298835
Anti-Hero,11.188059507621537
Babe (Taylor's Version) (From The Vault),100.0
Bad Blood,100.0
Begin Again (Taylor's Version),100.0
Bejeweled,29.425403870319606
Better Man (Taylor's Version) (From The Vault),100.0
Bigger Than The Whole Sky,42.1061447072806
Blank Space,0.7885011354078532
Breathe (feat. Colbie Caillat) (Taylors Version),100.0
Call It What You Want,47.21252013214502
Carolina - From The Motion Picture Where The Crawdads Sing,100.0
Christmas Tree Farm,27.718510079296742
Come Back...Be Here (Taylor's Version),100.0
Cornelia Street,67.42871486077824
Cruel Summer,20.902684876798943
Daylight,100.0
Dear Reader,62.97441707934258
Death By A Thousand Cuts,67.53907625472067
Delicate,3.3138598701401567
Dont Blame Me,1.5527905675078482
Dont You (Taylors Version) (From The Vault),100.0
Enchanted,5.325294611003082
End Game,7.2421620357507095
Everything Has Changed (feat. Ed Sheeran) (Taylors Version),100.0
False God,68.2417460544908
Fearless (Taylors Version),100.0
Fifteen (Taylors Version),100.0
Forever & Always (Taylors Version),100.0
Forever Winter (Taylor's Version) (From The Vault),100.0
Girl At Home (Taylor's Version),100.0
Glitch,62.84080713582184
Gorgeous,31.405283568027038
Hey Stephen (Taylors Version),100.0
High Infidelity,49.07459812769923
Holy Ground (Taylor's Version),100.0
I Almost Do (Taylor's Version),100.0
I Bet You Think About Me (feat. Chris Stapleton) (Taylors Version) (From The Vault),62.53330195978014
I Did Something Bad,100.0
I Forgot That You Existed,47.49890344829254
I Knew You Were Trouble (Taylor's Version),71.04737869366056
I Think He Knows,67.83025215339626
Its Nice To Have A Friend,100.0
Karma,30.76773213109105
Labyrinth,41.925221869727935
Lavender Haze,16.59446671652894
London Boy,67.33612574280166
Look What You Made Me Do,14.476082573836429
Love Story (Taylors Version),36.705408257080855
Lover,11.152255316777458
Lover (Remix) [feat. Shawn Mendes],26.854486520528308
ME! (feat. Brendon Urie of Panic! At The Disco),
Maroon,32.60383940823817
Mastermind,37.31524195882081
Message In A Bottle (Taylor's Version) (From The Vault),67.99199862275736
Midnight Rain,19.01344291134719
Miss Americana & The Heartbreak Prince,67.91103828854979
Mr. Perfectly Fine (Taylors Version) (From The Vault),12.260540566130382
Nothing New (feat. Phoebe Bridgers) (Taylors Version) (From The Vault),65.77930606971772
Only The Young - Featured in Miss Americana,41.241453061477614
Paper Rings,54.80099948371243
Paris,40.97596834193229
Question...?,38.710676426954386
Red (Taylor's Version),56.61642662941874
Ronan (Taylor's Version),100.0
Run (feat. Ed Sheeran) (Taylors Version) (From The Vault),69.74404311097601
Sad Beautiful Tragic (Taylor's Version),100.0
Shake It Off,100.0
Snow On The Beach (feat. Lana Del Rey),33.68990762856908
Soon Youll Get Better (feat. The Chicks),100.0
Starlight (Taylor's Version),100.0
State Of Grace (Acoustic Version) (Taylor's Version),100.0
State Of Grace (Taylor's Version),72.04538982309857
Stay Stay Stay (Taylor's Version),100.0
Style,25.296074440696824
Sweet Nothing,42.16049189350358
Tell Me Why (Taylors Version),100.0
Thats When (feat. Keith Urban) (Taylors Version) (From The Vault),100.0
The Archer,
The Great War,40.45249400782096
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylors Version),100.0
The Lucky One (Taylor's Version),100.0
The Man,39.21022112265667
The Moment I Knew (Taylor's Version),100.0
The Very First Night (Taylor's Version) (From The Vault),100.0
The Way I Loved You (Taylors Version),100.0
This Love (Taylors Version),66.73196784651284
Treacherous (Taylor's Version),100.0
Vigilante Shit,38.02448377326657
We Are Never Ever Getting Back Together (Taylor's Version),100.0
We Were Happy (Taylors Version) (From The Vault),100.0
White Horse (Taylors Version),100.0
Wildest Dreams,52.43240716905287
Wildest Dreams (Taylor's Version),17.15425368239955
"Would've, Could've, Should've",33.620463879440805
You All Over Me (feat. Maren Morris) (Taylors Version) (From The Vault),43.09986702362751
You Belong With Me (Taylors Version),100.0
You Need To Calm Down,
"You're On Your Own, Kid",27.87721872109857
Youre Not Sorry (Taylors Version),100.0
august,14.498222425322767
betty,56.310432653438916
cardigan,20.19146763290157
champagne problems,36.28929637719711
closure,100.0
coney island (feat. The National),100.0
cowboy like me,100.0
dorothea,100.0
epiphany,70.4984309759586
evermore (feat. Bon Iver),100.0
exile (feat. Bon Iver),28.350695442625558
gold rush,71.49470784951339
happiness,100.0
hoax,69.96591240804548
illicit affairs,57.60548815359915
invisible string,49.427172275642576
ivy,100.0
long story short,100.0
mad woman,69.8449890589334
marjorie,100.0
mirrorball,58.307396613995344
my tears ricochet,50.92154371380623
"no body, no crime (feat. HAIM)",50.95124920294476
peace,69.92730360655752
seven,57.667797301924686
the 1,38.63322210803679
the last great american dynasty,46.1423180199905
this is me trying,58.02247582882348
tis the damn season,70.31935280951475
tolerate it,72.42680902926342
willow,15.925970163739475
