date,name,category,value
2018-10-01,Holding Hands,2018,5676
2018-10-01,Karma,2018,5770
2018-10-01,Take Care of Your Heart,2018,5339
2020-08-01,Re$idual $Elf Image,2020,41776
2020-09-01,Re$idual $Elf Image,2020,14589
2021-01-01,THE 5 YEAR PLAN,2021,64960
2021-02-01,THE 5 YEAR PLAN,2021,69025
2021-03-01,MORNING PEACE,2021,30783
2021-03-01,THE 5 YEAR PLAN,2021,17899
2021-04-01,BRAVO,2021,50778
2021-04-01,DICHOTOMY,2021,49304
2021-04-01,DOTTED LINEZ,2021,43178
2021-04-01,HIBACHI,2021,86949
2021-04-01,JIMMY'S INTERLUDE,2021,73905
2021-04-01,MARK 15:35,2021,84773
2021-04-01,MORNING PEACE,2021,45217
2021-04-01,NIGHTMARE ON BRYANSTON DR - Freestyle,2021,51553
2021-04-01,NO MAN'S LAND,2021,53037
2021-04-01,OVER ME,2021,42762
2021-04-01,RE$IDUAL SELF-IMAGE,2021,43939
2021-04-01,THE 5 YEAR PLAN,2021,113076
2021-04-01,THE SAME THING,2021,81048
2021-09-01,ridiculouS,2021,37498
2021-12-01,automatiC,2021,31767
2021-12-01,bilL russelL,2021,36863
2021-12-01,blvcK kidZ,2021,37098
2021-12-01,drivE sloW,2021,36089
2021-12-01,indooR interludE,2021,28755
2021-12-01,morE thaN a nighT,2021,35215
2021-12-01,ouT oF reacH,2021,35600
2021-12-01,ridiculouS,2021,32819
2021-12-01,thE confrontatioN,2021,43800
2021-12-01,thE whitE lighT,2021,46843
2021-12-01,tufF lucK,2021,35534
2022-04-01,Bellator,2022,36184
2022-04-01,Can't Open My Eyez,2022,39793
2022-04-01,"Couldn't Have Said It Better, Pt. 3",2022,26739
2022-04-01,FRIEDay The 13th,2022,31571
2022-04-01,First Time 4 Everything,2022,29556
2022-04-01,For My Sanity,2022,52826
2022-04-01,Intentions Interlude,2022,31959
2022-04-01,Live Once Interlude,2022,33550
2022-04-01,More Than Enough,2022,38636
2022-04-01,Red Dragon,2022,49917
2022-05-01,Can't Open My Eyez,2022,25229
2022-05-01,For My Sanity,2022,65641
2022-05-01,Red Dragon,2022,30453
