date,name,category,value
2018-03-01,StarSigns,2018,4270
2018-04-01,StarSigns,2018,4864
2018-06-01,Amen,2018,22989
2018-06-01,Beyonce,2018,21841
2018-06-01,Daddy Issues ll,2018,4261
2018-06-01,Fela In Versace,2018,6127
2018-06-01,Fully In,2018,8268
2018-06-01,Jika,2018,5947
2018-06-01,Magriza,2018,6127
2018-06-01,Me and You,2018,4378
2018-06-01,Reset,2018,7060
2018-06-01,Starsigns,2018,4421
2018-06-01,Sweet Fire,2018,4997
2018-06-01,The World Is Yours,2018,4081
2018-06-01,Touch My Blood,2018,7465
2018-06-01,Zone,2018,4345
2018-08-01,Fela In Versace,2018,27799
2018-09-01,Fela In Versace,2018,33961
2018-10-01,Fela In Versace,2018,45741
2018-11-01,Fela In Versace,2018,54774
2018-12-01,Fela In Versace,2018,53333
2019-01-01,Fela In Versace,2019,59962
2019-02-01,Fela In Versace,2019,39781
2019-03-01,Fela In Versace,2019,40110
2019-04-01,Fela In Versace,2019,28937
2019-04-01,Jika,2019,22236
2019-05-01,Jika,2019,8151
2019-10-01,F.R.E.E (feat. Riky Rick & DJ Tira),2019,10052
2019-10-01,Main Ou's,2019,32019
2020-05-01,Cross my Heart,2020,13772
2020-05-01,Energy (feat. Gemini Major),2020,16628
2020-10-01,Casino,2020,31995
2020-10-01,Energy (feat. Gemini Major),2020,15543
2020-11-01,Casino,2020,24961
2020-11-01,Energy (feat. Gemini Major),2020,39151
2020-11-01,Finessin',2020,19963
2020-11-01,Heavy Drank (feat. K.O),2020,23965
2020-11-01,Mufasa,2020,16450
2022-09-01,Lemons (Lemonade),2022,354899
2022-10-01,Lemons (Lemonade),2022,506668
2022-11-01,Lemons (Lemonade),2022,393864
2022-12-01,Lemons (Lemonade),2022,433779
2023-01-01,Lemons (Lemonade),2023,280456
2023-01-01,Prada,2023,80303
2023-02-01,10 Fingers,2023,96769
2023-02-01,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",2023,228568
2023-02-01,"Baddest (feat. Burna Boy, Khuli Chana & Yanga)",2023,83657
2023-02-01,Caiphus Song,2023,90708
2023-02-01,Company,2023,278948
2023-02-01,Composure,2023,97275
2023-02-01,Congratulate,2023,133771
2023-02-01,Don't Forget To Pray,2023,168585
2023-02-01,Energy (feat. Gemini Major),2023,136968
2023-02-01,Fela In Versace,2023,251345
2023-02-01,Jika,2023,267252
2023-02-01,Lemons (Lemonade),2023,533510
2023-02-01,Paradise,2023,91705
2023-02-01,Prada,2023,272231
2023-02-01,Run Jozi (Godly) (feat. K.O),2023,101729
2023-02-01,Sim Dope,2023,83253
2023-02-01,The World Is Yours,2023,134580
2023-03-01,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",2023,174420
2023-03-01,Amapiano (feat. Laylizzy & Weathrd),2023,187026
2023-03-01,Army (Bonus),2023,127271
2023-03-01,Company,2023,1221868
2023-03-01,Crown (feat. Manana),2023,409285
2023-03-01,Dangerous,2023,681367
2023-03-01,Diary (Anxiety),2023,222341
2023-03-01,Don't Forget To Pray,2023,76094
2023-03-01,Ease,2023,214596
2023-03-01,Everest,2023,141519
2023-03-01,Fela In Versace,2023,120629
2023-03-01,Jika,2023,268310
2023-03-01,Last Time,2023,278996
2023-03-01,Lemons (Lemonade),2023,930069
2023-03-01,Mbuzi (Freestyle) (feat. Thato Saul),2023,419710
2023-03-01,Paradise,2023,312339
2023-03-01,Prada,2023,566726
2023-03-01,Sponono (feat. Baby S.O.N & 031 Choppa),2023,447609
2023-04-01,Company,2023,571966
2023-04-01,Dangerous,2023,221925
2023-04-01,Lemons (Lemonade),2023,447224
2023-04-01,Prada,2023,147667
2023-05-01,Company,2023,468278
2023-05-01,Dangerous,2023,139872
2023-05-01,Lemons (Lemonade),2023,376079
2023-06-01,Company,2023,486240
2023-06-01,Lemons (Lemonade),2023,406056
2023-07-01,Company,2023,331237
2023-07-01,Lemons (Lemonade),2023,293413
2023-08-01,Company,2023,367868
2023-08-01,Lemons (Lemonade),2023,339937
2023-09-01,Company,2023,110099
2023-09-01,Lemons (Lemonade),2023,178727
2023-10-01,Lemons (Lemonade),2023,56621
2023-12-01,Company (Remix),2023,71624
