date,name,category,value
2021-06-01,Jemeni,2021,71958
2021-08-01,Ababuyanga,2021,82464
2021-09-01,Ababuyanga,2021,62330
2021-09-01,Rata,2021,37303
2021-11-01,Lyf Styl,2021,23352
2021-12-01,Lyf Styl,2021,178779
2022-01-01,Lyf Styl,2022,120173
2022-02-01,Lyf Styl,2022,112696
2022-03-01,Lyf Styl,2022,138420
2022-04-01,Lyf Styl,2022,73413
2022-11-01,Fatela,2022,41044
2022-11-01,Mama,2022,76419
2022-12-01,Fatela,2022,749184
2022-12-01,Mama,2022,290859
2023-01-01,Fatela,2023,759256
2023-01-01,Mama,2023,230415
2023-02-01,Fatela,2023,830933
2023-02-01,Mama,2023,228126
2023-03-01,Fatela,2023,1123913
2023-03-01,Mama,2023,340302
2023-04-01,Fatela,2023,775990
2023-04-01,Mama,2023,278681
2023-05-01,Fatela,2023,668992
2023-05-01,Mama,2023,248605
2023-06-01,Amandla,2023,162719
2023-06-01,Fatela,2023,723915
2023-06-01,Mama,2023,292580
2023-07-01,Fatela,2023,475749
2023-08-01,Amandla,2023,114030
2023-08-01,Fatela,2023,589619
2023-09-01,Amandla,2023,254195
2023-09-01,Fatela,2023,358835
2023-10-01,Amandla,2023,232710
2023-10-01,Fatela,2023,298347
2023-11-01,Amandla,2023,170420
2023-11-01,Fatela,2023,331869
2023-12-01,Fatela,2023,369147
2024-01-01,Fatela,2024,158186
2024-03-01,Esgela,2024,78096
2024-04-01,Esgela,2024,69550
