date,name,category,value
2024-01-01,Nguwe,2024,122658
2024-02-01,Nguwe,2024,426911
2024-03-01,Nguwe,2024,381208
2024-04-01,Nguwe,2024,445692
2024-04-01,Uhambe Wrongo (feat. Mr. Maker),2024,1136000
2024-05-01,Nguwe,2024,606128
2024-05-01,Uhambe Wrongo (feat. Mr. Maker),2024,1391737
2024-06-01,Nguwe,2024,463952
2024-06-01,Uhambe Wrongo (feat. Mr. Maker),2024,903390
2024-07-01,Nguwe,2024,399980
2024-07-01,Uhambe Wrongo (feat. Mr. Maker),2024,771087
2024-08-01,Nguwe,2024,365323
2024-08-01,Uhambe Wrongo (feat. Mr. Maker),2024,983183
2024-09-01,Nguwe,2024,86601
2024-09-01,Uhambe Wrongo (feat. Mr. Maker),2024,617532
2024-10-01,Nguwe,2024,87380
2024-10-01,Uhambe Wrongo (feat. Mr. Maker),2024,520638
