date,name,category,value
2022-11-01,H2O,2022,107475
2022-12-01,H2O,2022,231503
2022-12-01,Impulsief,2022,129068
2023-01-01,H2O,2023,176936
2023-01-01,Impulsief,2023,188263
2023-02-01,H2O,2023,119373
2023-02-01,Impulsief,2023,181973
2023-03-01,H2O,2023,41763
2023-03-01,Impulsief,2023,231213
2023-04-01,H2O,2023,177426
2023-04-01,Impulsief,2023,209595
2023-05-01,H2O,2023,86270
2023-05-01,Impulsief,2023,198309
2023-06-01,H2O,2023,47009
2023-06-01,Impulsief,2023,200264
2023-07-01,H2O,2023,183164
2023-07-01,Impulsief,2023,201592
2023-08-01,H2O,2023,256100
2023-08-01,Impulsief,2023,281127
2023-09-01,H2O,2023,218229
2023-09-01,Impulsief,2023,242330
2023-10-01,H2O,2023,176494
2023-10-01,Impulsief,2023,255590
2023-11-01,H2O,2023,56048
2023-11-01,Impulsief,2023,177335
2023-12-01,H2O,2023,224631
2023-12-01,Impulsief,2023,299127
2024-01-01,H2O,2024,275361
2024-01-01,Impulsief,2024,149388
2024-02-01,H2O,2024,65930
