date,name,category,value
2023-08-01,Izenzo,2023,69550
2023-09-01,Izenzo,2023,408956
2023-10-01,Izenzo,2023,1005525
2023-11-01,Izenzo,2023,1774411
2023-12-01,Izenzo,2023,2188355
2024-01-01,Izenzo,2024,1686929
2024-02-01,Izenzo,2024,1589714
2024-03-01,Izenzo,2024,1074454
2024-04-01,Izenzo,2024,854410
2024-05-01,Izenzo,2024,988380
2024-06-01,Izenzo,2024,631517
2024-06-01,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),2024,582988
2024-07-01,Izenzo,2024,547822
2024-07-01,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),2024,1229032
2024-08-01,Izenzo,2024,617696
2024-08-01,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),2024,1849706
2024-09-01,Izenzo,2024,467023
2024-09-01,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),2024,1561435
2024-10-01,Izenzo,2024,293380
2024-10-01,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),2024,1134672
