date,name,category,value
2020-09-01,Sonop-Blom,2020,17437
2020-10-01,Sonop-Blom,2020,90572
2020-11-01,Sonop-Blom,2020,75865
2020-12-01,Sonop-Blom,2020,116251
2021-01-01,Sonop-Blom,2021,75908
2021-02-01,Sonop-Blom,2021,77902
2021-03-01,Sonop-Blom,2021,85363
2021-04-01,Sonop-Blom,2021,103169
2021-05-01,Sonop-Blom,2021,59144
2021-06-01,Sonop-Blom,2021,79233
2021-07-01,Sonop-Blom,2021,20280
2022-08-01,Sonop-Blom,2022,29162
2022-09-01,Sonop-Blom,2022,62183
2022-11-01,Lyfie,2022,113248
2022-12-01,Lyfie,2022,160790
2023-01-01,Lyfie,2023,37215
