date,name,category,value
2018-08-01,Drive - Club Mix,2018,4750
2018-08-01,Drive - Radio Edit,2018,16714
2018-09-01,Drive - Radio Edit,2018,63375
2018-10-01,Drive - Radio Edit,2018,49105
2018-11-01,Any Other Way,2018,5749
2018-11-01,Drive - Radio Edit,2018,92456
2018-11-01,Ilala,2018,6007
2018-11-01,Ndod'emnyama,2018,6909
2018-11-01,Wish You Were Here,2018,11033
2018-12-01,Drive - Radio Edit,2018,95523
2019-01-01,Drive - Radio Edit,2019,122039
2019-02-01,Drive - Radio Edit,2019,90126
2019-03-01,Drive - Radio Edit,2019,82442
2019-04-01,Drive - Radio Edit,2019,73100
2019-05-01,Drive - Radio Edit,2019,80655
2019-06-01,Drive - Radio Edit,2019,42511
2019-07-01,Drive - Radio Edit,2019,37847
2019-08-01,Drive - Radio Edit,2019,50892
2019-09-01,Drive - Radio Edit,2019,42864
2019-09-01,LaLaLa,2019,47830
2019-10-01,Drive - Radio Edit,2019,52480
2019-10-01,LaLaLa,2019,51926
2019-11-01,Drive - Radio Edit,2019,40150
2019-11-01,LaLaLa,2019,11007
2019-12-01,Drive - Radio Edit,2019,54422
2019-12-01,LaLaLa,2019,9990
2020-01-01,Drive - Radio Edit,2020,37656
2020-04-01,SBCNCSLY,2020,29032
2020-05-01,SBCNCSLY,2020,29620
2020-09-01,Ready For You,2020,31059
2020-10-01,Ready For You,2020,17022
2020-11-01,10 Missed Calls,2020,21535
2020-11-01,I'm Fallin',2020,20054
2021-01-01,Never Gonna Forget,2021,50503
2021-01-01,You Need Me,2021,36171
2021-02-01,Drive - Radio Edit,2021,19347
2021-02-01,Flava (feat. Una Rams & Tellaman),2021,25309
2021-02-01,I'm Fallin' (feat. RY X),2021,18703
2021-02-01,Lost (with DJ Angelo feat. Jinadu),2021,25946
2021-02-01,Never Gonna Forget (with Diplo feat. Elderbrook),2021,39404
2021-02-01,Ready For You (feat. Celeste),2021,21130
2021-02-01,SBCNCSLY,2021,21387
2021-02-01,You Need Me (feat. Maxine Ashley & Sun-El Musician),2021,61620
