date,name,category,value
2019-09-01,Ibhanoyi,2019,31490
2019-10-01,Ibhanoyi,2019,64343
2019-11-01,Ibhanoyi,2019,49346
2019-12-01,Ibhanoyi,2019,54053
2020-01-01,Ibhanoyi,2020,11981
2020-02-01,Love Letter,2020,24066
2020-03-01,Love Letter,2020,40373
2020-11-01,Summer YoMuthi,2020,16488
2020-12-01,Summer YoMuthi,2020,232736
2021-01-01,Summer YoMuthi,2021,215868
2021-02-01,Summer YoMuthi,2021,220526
2021-03-01,Summer YoMuthi,2021,217295
2021-04-01,Summer YoMuthi,2021,231981
2021-05-01,Summer YoMuthi,2021,139647
2021-06-01,Summer YoMuthi,2021,120150
2021-07-01,Messiah,2021,86233
2021-07-01,Summer YoMuthi,2021,119899
2021-08-01,Messiah,2021,70044
2021-08-01,Summer YoMuthi,2021,98334
2021-09-01,Summer YoMuthi,2021,68299
2022-09-01,Qoma,2022,84493
2022-10-01,Qoma,2022,174100
2022-11-01,Qoma,2022,213194
2022-12-01,Qoma,2022,286293
2023-01-01,Qoma,2023,200893
2023-02-01,Qoma,2023,207721
2023-03-01,Qoma,2023,304027
2023-04-01,Qoma,2023,291024
2023-05-01,Qoma,2023,219749
2023-06-01,Qoma,2023,95639
