date,name,category,value
2021-05-01,Big Time Sh'lappa,2021,36569
2021-05-01,David,2021,41497
2021-05-01,Gas,2021,26603
2021-05-01,Hold,2021,41334
2021-05-01,Hut,2021,22767
2021-05-01,Mama It's Bad,2021,37808
2021-05-01,Sika,2021,43819
2021-05-01,Steppin,2021,21059
2021-05-01,Stripes,2021,29124
2021-05-01,Tall,2021,20361
2021-05-01,Uppity,2021,27681
2021-05-01,Ye x4,2021,137511
2021-06-01,Big Time Sh'lappa,2021,19208
2021-06-01,Hold,2021,63184
2021-06-01,Sika,2021,20597
2021-06-01,Ye x4,2021,141918
2021-07-01,Hold,2021,127218
2021-07-01,Ye x4,2021,164881
2021-08-01,Hold,2021,101534
2021-08-01,Ye x4,2021,105539
2021-09-01,Hold,2021,101097
2021-09-01,Kwenzekile,2021,134586
2021-09-01,Ye x4,2021,23515
2021-10-01,Kwenzekile,2021,148395
2021-11-01,Kwenzekile,2021,113353
2021-12-01,Kwenzekile,2021,76657
2022-01-01,Hold,2022,23953
2022-01-01,Kwenzekile,2022,80015
2022-02-01,Hold,2022,82822
2022-02-01,Kwenzekile,2022,137499
2022-02-01,cold,2022,150026
2022-02-01,cry,2022,32926
2022-02-01,fortune teller,2022,31478
2022-02-01,umoya,2022,76528
2022-02-01,weep,2022,29130
2022-02-01,your all,2022,28301
2022-03-01,Hold,2022,50561
2022-03-01,Kwenzekile,2022,191319
2022-03-01,cold,2022,171324
2022-03-01,umoya,2022,231520
2022-04-01,Hold,2022,22727
2022-04-01,Kwenzekile,2022,137227
2022-04-01,cold,2022,106105
2022-04-01,umoya,2022,148525
2022-05-01,Kwenzekile,2022,115171
2022-05-01,cold,2022,53338
2022-05-01,umoya,2022,119481
2022-06-01,Khuphuka,2022,83863
2022-06-01,Kwenzekile,2022,27222
2022-06-01,umoya,2022,54311
2022-07-01,sneaky,2022,116607
2022-08-01,sneaky,2022,188680
2022-09-01,sneaky,2022,173041
2022-10-01,sneaky,2022,30947
2022-11-01,Kwenzekile,2022,44701
2022-11-01,investigate,2022,36409
2022-11-01,plug call [freestyle],2022,42236
2022-11-01,ronda,2022,40170
2022-11-01,sss,2022,39412
2022-11-01,together,2022,34187
2022-11-01,werrkk,2022,61272
