date,name,category,value
2022-12-01,Toer Om Die Vloer,2022,162863
2023-01-01,Toer Om Die Vloer,2023,161323
2023-02-01,Toer Om Die Vloer,2023,116837
2023-03-01,Toer Om Die Vloer,2023,41591
2023-04-01,Toer Om Die Vloer,2023,90293
2023-05-01,Toer Om Die Vloer,2023,84143
2023-06-01,Toer Om Die Vloer,2023,93658
2023-07-01,Toer Om Die Vloer,2023,181800
2023-08-01,Toer Om Die Vloer,2023,273800
2023-09-01,Moegdans,2023,71669
2023-09-01,Toer Om Die Vloer,2023,234634
2023-10-01,Moegdans,2023,236558
2023-10-01,Toer Om Die Vloer,2023,229746
2023-12-01,Moegdans,2023,283880
2023-12-01,Toer Om Die Vloer,2023,149416
2024-01-01,Moegdans,2024,138172
2024-01-01,Toer Om Die Vloer,2024,140763
2024-02-01,Soen Soos Wat Jy Dans,2024,207354
2024-04-01,Madelein,2024,258857
2024-05-01,Madelein,2024,74669
