date,name,category,value
2021-01-01,Umsebenzi Wethu,2021,147847
2021-02-01,Umsebenzi Wethu,2021,292960
2021-03-01,Paradise,2021,85510
2021-03-01,SDUDLA No Slenda,2021,21501
2021-03-01,Umsebenzi Wethu,2021,326640
2021-04-01,Ekseni,2021,117644
2021-04-01,Paradise,2021,245503
2021-04-01,SDUDLA No Slenda,2021,151478
2021-04-01,Umsebenzi Wethu,2021,424066
2021-05-01,Ekseni,2021,124742
2021-05-01,Paradise,2021,142686
2021-05-01,SDUDLA No Slenda,2021,117036
2021-05-01,Umsebenzi Wethu,2021,292910
2021-06-01,Ekseni,2021,119117
2021-06-01,Paradise,2021,105110
2021-06-01,SDUDLA No Slenda,2021,99545
2021-06-01,Umsebenzi Wethu,2021,257603
2021-07-01,Ekseni,2021,135964
2021-07-01,Paradise,2021,20403
2021-07-01,Umsebenzi Wethu,2021,224241
2021-08-01,Beke Le Beke,2021,237077
2021-08-01,Ekseni,2021,97855
2021-08-01,Mmapula,2021,173681
2021-08-01,Mswipeni,2021,68754
2021-08-01,Thixo Somandla,2021,47946
2021-08-01,Umsebenzi Wethu,2021,216511
2021-09-01,Beke Le Beke,2021,263412
2021-09-01,Ekseni,2021,22930
2021-09-01,Mmapula,2021,776525
2021-09-01,Thixo Somandla,2021,25690
2021-09-01,Umsebenzi Wethu,2021,284941
2021-10-01,Beke Le Beke,2021,111999
2021-10-01,Mmapula,2021,451208
2021-10-01,Umsebenzi Wethu,2021,182783
2021-11-01,Beke Le Beke,2021,27028
2021-11-01,Mamaye,2021,23807
2021-11-01,Mmapula,2021,415870
2021-11-01,Ngixolele,2021,919976
2021-11-01,Nompumelelo,2021,27477
2021-11-01,Umsebenzi Wethu,2021,159161
2021-11-01,Umsebenzi Wethu - Interlude,2021,22920
2021-11-01,Umsebenzi Wethu 2.0,2021,33222
2021-11-01,Usizo,2021,26828
2021-12-01,Beke Le Beke,2021,26781
2021-12-01,Gqoz Gqoz,2021,109425
2021-12-01,Mmapula,2021,463944
2021-12-01,Ngixolele,2021,1023918
2021-12-01,Umsebenzi Wethu,2021,218772
2022-01-01,Gqoz Gqoz,2022,56099
2022-01-01,Mmapula,2022,261228
2022-01-01,Ngixolele,2022,551486
2022-01-01,Umsebenzi Wethu,2022,122622
2022-02-01,Gqoz Gqoz,2022,24269
2022-02-01,Mmapula,2022,193218
2022-02-01,Ngixolele,2022,437583
2022-02-01,Umsebenzi Wethu,2022,51066
2022-03-01,Mmapula,2022,203972
2022-03-01,Ngixolele,2022,472228
2022-04-01,Mmapula,2022,114783
2022-04-01,Ngixolele,2022,287726
2022-05-01,Mmapula,2022,29370
2022-05-01,Ngixolele,2022,246356
2022-06-01,Ngixolele,2022,240137
2022-07-01,Ngixolele,2022,163747
2022-08-01,Ngixolele,2022,148450
2022-09-01,Ngixolele,2022,124631
