date,name,category,value
2018-03-01,Ksazobalit,2018,4110
2018-04-01,Ksazobalit,2018,2515
2018-08-01,Gets Getsa,2018,8818
2018-09-01,Gets Getsa 2.0,2018,4239
2018-12-01,Gets Getsa,2018,6206
2018-12-01,Who Got The Block Hot?,2018,7495
2020-02-01,Good For That,2020,12066
2020-04-01,Amademoni,2020,20241
2020-08-01,Bonginkosi,2020,25126
2020-09-01,1 of 1,2020,46060
2020-09-01,AMN Skit,2020,27317
2020-09-01,Amademoni,2020,35455
2020-09-01,Bonginkosi,2020,35638
2020-09-01,Celebrate,2020,24616
2020-09-01,Egyptian Cotton,2020,44673
2020-09-01,Friday Night,2020,77749
2020-09-01,Good For That,2020,23838
2020-09-01,Hlengiwe,2020,49361
2020-09-01,How Does It Feel,2020,38291
2020-09-01,Hypnotize,2020,29496
2020-09-01,Indoda,2020,38786
2020-09-01,Isinkwa,2020,29882
2020-09-01,Loco,2020,41519
2020-09-01,Ngwanesu,2020,35562
2020-09-01,Nobody Knows,2020,37773
2020-09-01,Nokuthula,2020,42541
2020-09-01,Nyuku - Remix,2020,22875
2020-09-01,Ses'fikile,2020,26626
2020-09-01,Thoughts,2020,67272
2020-09-01,To Whom it May Concern,2020,88373
2020-10-01,To Whom it May Concern,2020,14426
2021-04-01,Ama Number Ayi '10,2021,97826
2021-06-01,Siyathandana,2021,419287
2021-07-01,Siyathandana,2021,489630
2021-08-01,Siyathandana,2021,321093
2021-09-01,Siyathandana,2021,272158
2021-10-01,Siyathandana,2021,171834
2021-11-01,Siyathandana,2021,156639
2021-11-01,The Pressure,2021,23038
2021-12-01,Siyathandana,2021,207514
2021-12-01,Summer Love - Edit,2021,58737
2022-01-01,Siyathandana,2022,109653
2022-01-01,Summer Love - Edit,2022,24398
2022-02-01,Siyathandana,2022,100086
2022-03-01,Siyathandana,2022,25727
