date,name,category,value
2021-11-01,Nkao Tempela,2021,340757
2021-12-01,Nkao Tempela,2021,873235
2022-01-01,Nkao Tempela,2022,470464
2022-02-01,Nkao Tempela,2022,334962
2022-03-01,Nkao Tempela,2022,335833
2022-04-01,Nkao Tempela,2022,177343
2022-05-01,Nkao Tempela,2022,133514
2022-06-01,Nkao Tempela,2022,29847
2022-11-01,Pele Pele,2022,195556
2022-12-01,Pele Pele,2022,719403
2023-01-01,Pele Pele,2023,345704
2023-02-01,Pele Pele,2023,276551
2023-03-01,Pele Pele,2023,324062
2023-04-01,Pele Pele,2023,203398
2023-05-01,Pele Pele,2023,45004
