date,name,category,value
2020-10-01,French Kiss,2020,15491
2020-11-01,French Kiss,2020,73490
2020-12-01,French Kiss,2020,135400
2021-01-01,French Kiss,2021,83679
2021-02-01,French Kiss,2021,76991
2021-03-01,French Kiss,2021,93215
2021-04-01,French Kiss,2021,135137
2021-04-01,Khuza Gogo,2021,454571
2021-05-01,French Kiss,2021,60998
2021-05-01,Khuza Gogo,2021,332071
2021-06-01,Khuza Gogo,2021,237153
2021-07-01,Khuza Gogo,2021,227705
2021-07-01,Possible,2021,103064
2021-08-01,Khuza Gogo,2021,142196
2021-08-01,Possible,2021,118080
2021-09-01,Khuza Gogo,2021,150843
2021-09-01,Possible,2021,282747
2021-10-01,Khuza Gogo,2021,26332
2021-10-01,Possible,2021,231509
2021-11-01,Possible,2021,198118
2021-12-01,Possible,2021,217276
2022-01-01,Possible,2022,117187
2022-02-01,Bambelela,2022,65878
2022-02-01,Possible,2022,48381
2022-03-01,Bambelela,2022,424271
2022-03-01,Bells,2022,497557
2022-04-01,Bambelela,2022,274563
2022-04-01,Bells,2022,382515
2022-05-01,Bambelela,2022,210724
2022-05-01,Bells,2022,269748
2022-06-01,Bambelela,2022,182475
2022-06-01,Bells,2022,280335
2022-07-01,Bambelela,2022,55548
2022-07-01,Bells,2022,160567
2022-08-01,Bells,2022,98890
