date,name,category,value
2018-04-01,"Midnight Starring (feat. DJ Tira, Busiswa & Moonchild Sanelly)",2018,9811
2018-07-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,3898
2018-08-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,25107
2018-09-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,28805
2018-10-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,19750
2018-11-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,16408
2018-12-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2018,30894
2019-01-01,"iWalk Ye Phara (feat. Moonchild Sanelly, K.O & Zulu Mkhathini)",2019,8370
2019-07-01,Amantombazane,2019,40323
2019-07-01,Vula Vala,2019,24221
2019-08-01,Amantombazane,2019,116849
2019-08-01,Koko,2019,56581
2019-08-01,Vula Vala,2019,102641
2019-09-01,Amantombazane,2019,107720
2019-09-01,Dubai,2019,8698
2019-09-01,Koko,2019,53190
2019-09-01,Vula Vala,2019,97118
2019-10-01,Amantombazane,2019,141975
2019-10-01,Dubai,2019,9258
2019-10-01,Koko,2019,71010
2019-10-01,Vula Vala,2019,138599
2019-11-01,Amantombazane,2019,96382
2019-11-01,Koko,2019,50854
2019-11-01,Vula Vala,2019,98404
2019-12-01,Amantombazane,2019,107805
2019-12-01,Koko,2019,63147
2019-12-01,Vula Vala,2019,135970
2020-01-01,Amantombazane,2020,83653
2020-01-01,Koko,2020,15924
2020-01-01,Vula Vala,2020,97245
2020-02-01,Amantombazane,2020,55148
2020-02-01,Vula Vala,2020,54684
2020-03-01,Amantombazane,2020,52915
2020-03-01,Vula Vala,2020,54401
2020-04-01,iThemba'lam (feat. ShaSha),2020,27036
2020-05-01,iThemba'lam (feat. ShaSha),2020,12982
2020-06-01,Amantombazane,2020,25027
2020-06-01,Vula Vala,2020,12159
2020-07-01,Amantombazane,2020,13734
2021-04-01,Banyana,2021,63397
2021-05-01,Banyana,2021,456726
2021-05-01,Izolo,2021,20137
2021-06-01,Banyana,2021,426914
2021-06-01,Izolo,2021,99504
2021-07-01,Banyana,2021,387619
2021-07-01,Izolo,2021,333038
2021-08-01,Banyana,2021,247942
2021-08-01,Izolo,2021,530675
2021-09-01,Banyana,2021,274682
2021-09-01,Izolo,2021,697607
2021-10-01,Banyana,2021,177215
2021-10-01,Izolo,2021,382124
2021-11-01,Banyana,2021,156005
2021-11-01,Izolo,2021,331514
2021-12-01,Banyana,2021,237084
2021-12-01,Izolo,2021,448908
2022-01-01,Banyana,2022,140570
2022-01-01,Izolo,2022,255895
2022-02-01,Banyana,2022,55436
2022-02-01,Izolo,2022,201727
2022-03-01,Izolo,2022,227652
2022-04-01,Izolo,2022,127725
2022-05-01,Izolo,2022,63537
2022-06-01,"Trust Fund (feat. Focalistic, Mpura, Madumane & Mellow & Sleazy) - Live",2022,77198
2022-07-01,"Trust Fund (feat. Focalistic, Mpura, Madumane & Mellow & Sleazy) - Live",2022,257800
2022-08-01,"Trust Fund (feat. Focalistic, Mpura, Madumane & Mellow & Sleazy) - Live",2022,163126
2022-09-01,"Trust Fund (feat. Focalistic, Mpura, Madumane & Mellow & Sleazy) - Live",2022,34012
