date,name,category,value
2020-12-01,Ngaphandle Kwakho,2020,19247
2020-12-01,Superman,2020,19527
2020-12-01,Ubsuku Bonke,2020,64623
2021-01-01,Superman,2021,43454
2021-02-01,Superman,2021,147622
2021-03-01,Superman,2021,167528
2021-04-01,Superman,2021,191767
2021-05-01,Superman,2021,130148
2021-06-01,Superman,2021,115314
2021-07-01,Ipiano e'Soweto - Edit,2021,44132
2021-07-01,Superman,2021,130519
2021-08-01,Superman,2021,99925
2021-09-01,Superman,2021,21801
2021-12-01,Soke S'bone,2021,113939
2022-12-01,Aw'ufani Nabanye,2022,91831
2023-01-01,Aw'ufani Nabanye,2023,71285
2023-04-01,Awukhuzeki,2023,46222
2023-04-01,Waze wamuhle,2023,55364
2023-06-01,Awukhuzeki,2023,50862
2023-07-01,Awukhuzeki,2023,877021
2023-08-01,Awukhuzeki,2023,2248250
2023-09-01,Awukhuzeki,2023,1773981
2023-10-01,Awukhuzeki,2023,1619212
2023-10-01,Masithokoze,2023,132772
2023-11-01,Awukhuzeki,2023,1488042
2023-11-01,Masithokoze,2023,1132684
2023-12-01,Awukhuzeki,2023,1432075
2023-12-01,Masithokoze,2023,2434413
2024-01-01,Awukhuzeki,2024,961908
2024-01-01,Masithokoze,2024,2088486
2024-02-01,Awukhuzeki,2024,849771
2024-02-01,Masithokoze,2024,1867326
2024-03-01,Awukhuzeki,2024,676129
2024-03-01,Mali,2024,164200
2024-03-01,Masithokoze,2024,1292526
2024-04-01,Awukhuzeki,2024,611584
2024-04-01,Mali,2024,85611
2024-04-01,Masithokoze,2024,1105470
2024-05-01,Awukhuzeki,2024,741119
2024-05-01,Masithokoze,2024,1248051
2024-06-01,Awukhuzeki,2024,494064
2024-06-01,Mali,2024,79391
2024-06-01,Masithokoze,2024,823816
