date,name,category,value
2018-09-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2018,4647
2018-10-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2018,9884
2018-11-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2018,18347
2018-12-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2018,47552
2019-01-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2019,42455
2019-02-01,"Monate Mpolaye (feat. Cassper Nyovest, Thebe & Vettys)",2019,6668
2019-12-01,Suk'emabhozeni (Radio edit) (feat. Londie London & Leehleza),2019,22637
2021-06-01,Iyamemeza,2021,56690
2021-07-01,Iyamemeza,2021,280254
2021-08-01,Iyamemeza,2021,181355
2021-09-01,Iyamemeza,2021,233843
2021-10-01,Iyamemeza,2021,86092
2021-11-01,Iyamemeza,2021,23877
