date,name,category,value
2023-11-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2023,1150315
2023-12-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2023,1164198
2024-01-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2024,765287
2024-02-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2024,584772
2024-03-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2024,378014
2024-04-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2024,296357
2024-05-01,"Chengu Shesha (feat. Al xapo, Vyno Keys and QuayR Musiq)",2024,202991
2024-05-01,Tiya Mfana (Mzokwana) [feat. Sims Noreng],2024,75865
2024-06-01,"Chengu Shesha (feat. Al xapo, Vyno Keys and QuayR Musiq)",2024,497681
2024-07-01,"Chengu Shesha (feat. Al xapo, Vyno Keys and QuayR Musiq)",2024,498181
2024-08-01,"Chengu Shesha (feat. Al xapo, Vyno Keys and QuayR Musiq)",2024,642873
2024-09-01,"Chengu Shesha (feat. Al xapo, Vyno Keys and QuayR Musiq)",2024,201728
