date,name,category,value
2022-03-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,341688
2022-04-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,609931
2022-05-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,473490
2022-06-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,486190
2022-07-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,314155
2022-08-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,235681
2022-09-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,261356
2022-10-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,176907
2022-11-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,147922
2022-12-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022,168350
2023-01-01,Abo Mvelo (feat. Mellow & Sleazy & M.J),2023,39848
2023-09-01,Seduce Me (feat. Nkosazana Daughter),2023,114751
2023-10-01,Moratata (feat. Leemckrazy & TitoM),2023,78054
2023-10-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2023,282924
2023-11-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2023,65619
2023-12-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2023,287883
2024-01-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,287737
2024-02-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,889960
2024-03-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,617890
2024-04-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,442948
2024-05-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,483807
2024-06-01,Seduce Me (feat. Nkosazana Daughter & Happy JazzMan),2024,334385
