date,name,category,value
2019-05-01,Shesha,2019,26904
2019-06-01,Shesha,2019,62670
2019-07-01,Shesha,2019,57167
2019-08-01,Shesha,2019,76214
2019-09-01,Shesha,2019,45518
2019-10-01,Shesha,2019,58775
2019-11-01,Shesha,2019,44244
2019-12-01,Shesha,2019,50960
2020-01-01,Shesha,2020,13326
2020-10-01,Ebumnandini,2020,33104
2020-11-01,Ebumnandini,2020,17188
2020-12-01,Ebumnandini,2020,94337
2021-02-01,John Wick,2021,42861
2021-03-01,John Wick,2021,169459
2021-03-01,uMsholozi,2021,20656
2021-04-01,Abekho Ready - Maplankeng Reshuffle,2021,154196
2021-04-01,John Wick,2021,469677
2021-04-01,uMsholozi,2021,118999
2021-05-01,Abekho Ready - Maplankeng Reshuffle,2021,231929
2021-05-01,John Wick,2021,362798
2021-05-01,uMsholozi,2021,164567
2021-06-01,Abekho Ready - Maplankeng Reshuffle,2021,226106
2021-06-01,John Wick,2021,326335
2021-06-01,uMsholozi,2021,205404
2021-07-01,Abekho Ready - Maplankeng Reshuffle,2021,272273
2021-07-01,Emlanjeni,2021,104685
2021-07-01,John Wick,2021,361649
2021-07-01,uMsholozi,2021,205889
2021-08-01,Abekho Ready - Maplankeng Reshuffle,2021,170355
2021-08-01,Emlanjeni,2021,372569
2021-08-01,John Wick,2021,279125
2021-08-01,uMsholozi,2021,159974
2021-09-01,Abekho Ready - Maplankeng Reshuffle,2021,158872
2021-09-01,Emlanjeni,2021,457011
2021-09-01,John Wick,2021,239270
2021-09-01,Jola,2021,112344
2021-09-01,uMsholozi,2021,145144
2021-10-01,Abekho Ready - Maplankeng Reshuffle,2021,102862
2021-10-01,Emlanjeni,2021,258633
2021-10-01,Gijima,2021,43399
2021-10-01,John Wick,2021,138977
2021-10-01,Jola,2021,409258
2021-10-01,Mhlaba Wonke,2021,58970
2021-10-01,uMsholozi,2021,44191
2021-11-01,Emlanjeni,2021,209167
2021-11-01,John Wick,2021,106130
2021-11-01,Jola,2021,371763
2021-12-01,Emlanjeni,2021,234456
2021-12-01,John Wick,2021,157536
2021-12-01,Jola,2021,366223
2021-12-01,Khethile Khethile,2021,73008
2022-01-01,Emlanjeni,2022,131049
2022-01-01,John Wick,2022,31431
2022-01-01,Jola,2022,188788
2022-02-01,Emlanjeni,2022,78021
2022-02-01,Jola,2022,138501
2022-03-01,Emlanjeni,2022,81013
2022-03-01,Jola,2022,146297
2022-04-01,Emlanjeni,2022,105219
2022-04-01,Jola,2022,110893
2022-05-01,33,2022,28029
2022-05-01,Jola,2022,26296
2022-12-01,Buya,2022,181423
2023-01-01,Buya,2023,172086
2023-02-01,Buya,2023,123574
2023-03-01,Buya,2023,44061
2023-05-01,Sgudi Snyc,2023,44540
2023-06-01,Sgudi Snyc,2023,597463
2023-07-01,Sgudi Snyc,2023,1495088
2023-07-01,iThuba,2023,240183
2023-08-01,Sgudi Snyc,2023,1788691
2023-08-01,iThuba,2023,403940
2023-09-01,Sgudi Snyc,2023,1202752
2023-09-01,iThuba,2023,365252
2023-10-01,Sgudi Snyc,2023,896135
2023-10-01,iThuba,2023,421882
2023-11-01,Sgudi Snyc,2023,681182
2023-11-01,iMali,2023,71731
2023-11-01,iThuba,2023,382369
2023-12-01,Muntu Wam,2023,259352
2023-12-01,Sgudi Snyc,2023,826601
2023-12-01,iThuba,2023,470482
2024-01-01,Muntu Wam,2024,293752
2024-01-01,Sgudi Snyc,2024,524777
2024-01-01,iThuba,2024,335479
2024-02-01,Muntu Wam,2024,374350
2024-02-01,Sgudi Snyc,2024,442425
2024-02-01,iThuba,2024,64850
2024-03-01,Muntu Wam,2024,155741
2024-03-01,Sgudi Snyc,2024,177825
