date,name,category,value
2022-09-01,Hamba Wena,2022,505128
2022-10-01,Hamba Wena,2022,603517
2022-11-01,Hamba Wena,2022,506826
2022-11-01,Piano Ngijabulise,2022,95237
2022-12-01,Hamba Wena,2022,725159
2022-12-01,Piano Ngijabulise,2022,403140
2023-01-01,Hamba Wena,2023,385949
2023-01-01,Piano Ngijabulise,2023,253422
2023-02-01,Hamba Wena,2023,283854
2023-02-01,Piano Ngijabulise,2023,235070
2023-03-01,Hamba Wena,2023,305328
2023-03-01,Piano Ngijabulise,2023,324902
2023-04-01,Hamba Wena,2023,204946
2023-04-01,Piano Ngijabulise,2023,230145
2023-05-01,Hamba Wena,2023,89956
2023-05-01,Piano Ngijabulise,2023,196051
2023-06-01,Piano Ngijabulise,2023,46068
