date,name,category,value
2021-01-01,Idlozi Lami,2021,22410
2021-02-01,Idlozi Lami,2021,170169
2021-02-01,Mang' Dakiwe,2021,84222
2021-03-01,Idlozi Lami,2021,228999
2021-03-01,Mang' Dakiwe,2021,104173
2021-04-01,Idlozi Lami,2021,348728
2021-04-01,Mang' Dakiwe,2021,107067
2021-05-01,Idlozi Lami,2021,216634
2021-05-01,Mang' Dakiwe,2021,87684
2021-06-01,Idlozi Lami,2021,156885
2021-06-01,Kea Tsamaya,2021,24890
2021-06-01,Mang' Dakiwe,2021,22633
2021-07-01,Idlozi Lami,2021,118523
2021-08-01,Idlozi Lami,2021,20940
2022-02-01,Sthandwa'sam,2022,29568
2022-03-01,Sthandwa'sam,2022,30208
