date,name,category,value
2021-07-01,Phuze,2021,31667
2021-08-01,Phuze,2021,111325
2021-08-01,Phuze (Remix) (Radio Edit),2021,110748
2021-09-01,Phuze (Remix) (Radio Edit),2021,229747
2021-10-01,Phuze (Remix) (Radio Edit),2021,162167
2021-11-01,Phuze (Remix) (Radio Edit),2021,140163
2021-12-01,Phuze (Remix) (Radio Edit),2021,190550
2022-01-01,Phuze (Remix) (Radio Edit),2022,109868
2023-09-01,Danki Bawo,2023,57179
2023-09-01,Imoto,2023,144317
2023-09-01,iPlan,2023,763716
2023-10-01,Danki Bawo,2023,110135
2023-10-01,Imoto,2023,317620
2023-10-01,iPlan,2023,2486470
2023-11-01,Imoto,2023,325237
2023-11-01,iPlan,2023,2829106
2023-12-01,Danki Bawo,2023,170076
2023-12-01,Imoto,2023,415099
2023-12-01,iPlan,2023,3357584
2024-01-01,Danki Bawo,2024,83015
2024-01-01,Imoto,2024,110210
2024-01-01,iPlan,2024,2155033
2024-02-01,iPlan,2024,1338539
2024-03-01,iPlan,2024,871908
2024-04-01,iPlan,2024,704589
2024-05-01,iPlan,2024,734466
2024-06-01,iPlan,2024,506907
2024-07-01,Ama Gear,2024,523372
2024-07-01,iPlan,2024,503160
2024-08-01,Ama Gear,2024,1441983
2024-08-01,iPlan,2024,639834
2024-09-01,Ama Gear,2024,1249831
2024-09-01,iPlan,2024,543874
2024-10-01,Ama Gear,2024,917040
2024-10-01,Dali,2024,88036
2024-10-01,Hlala Nami,2024,86693
2024-10-01,Kwasa,2024,107186
2024-10-01,Sohlala Sisonke,2024,940048
2024-10-01,VAR,2024,93370
2024-10-01,iPlan,2024,414850
