date,name,category,value
2019-10-01,You're the One,2019,21287
2019-11-01,Risky,2019,10047
2019-11-01,You're the One,2019,62011
2019-12-01,You're the One,2019,42582
2020-01-01,Risky,2020,49704
2020-01-01,You're the One,2020,93773
2020-02-01,Changes,2020,13388
2020-02-01,I Just Wanna Know,2020,25496
2020-02-01,I/You,2020,12348
2020-02-01,Risky,2020,75495
2020-02-01,You're the One,2020,129376
2020-03-01,Changes,2020,27228
2020-03-01,I Just Wanna Know,2020,39886
2020-03-01,I/You,2020,25535
2020-03-01,Risky,2020,97882
2020-03-01,You're the One,2020,156805
2020-04-01,Changes,2020,11188
2020-04-01,I Just Wanna Know,2020,11318
2020-04-01,Risky,2020,99461
2020-04-01,You're the One,2020,161782
2020-05-01,Risky,2020,89281
2020-05-01,You're the One,2020,150286
2020-06-01,Risky,2020,93583
2020-06-01,You're the One,2020,150105
2020-07-01,Risky,2020,89951
2020-07-01,You're the One,2020,169167
2020-08-01,Risky,2020,85070
2020-08-01,You're the One,2020,119235
2020-09-01,Risky,2020,102666
2020-09-01,You're the One,2020,100283
2020-10-01,Risky,2020,106654
2020-10-01,You're the One,2020,107186
2020-11-01,Risky,2020,66495
2020-11-01,You're the One,2020,76587
2020-12-01,You're the One,2020,98450
2021-01-01,You're the One,2021,52266
2021-03-01,You're the One,2021,17321
2021-05-01,Right Now,2021,115798
2021-05-01,You're the One,2021,38264
2021-06-01,Right Now,2021,46028
2022-03-01,Shine,2022,25535
2022-10-01,You're the One,2022,30850
2022-11-01,You're the One,2022,38651
2023-02-01,You're the One,2023,80092
2023-03-01,Loving You,2023,203138
2023-03-01,You're the One,2023,138147
2023-04-01,Loving You,2023,99407
2023-04-01,You're the One,2023,45838
2023-05-01,You're the One,2023,135493
2023-06-01,You're the One,2023,197813
2023-07-01,You're the One,2023,137394
2023-08-01,You're the One,2023,216202
2023-09-01,You're the One,2023,49991
2024-01-01,You're the One,2024,60766
2024-02-01,You're the One,2024,353655
2024-03-01,You're the One,2024,321034
2024-04-01,You're the One,2024,308014
