date,name,category,value
2019-04-01,Vuur Op Die Water,2019,6756
2019-06-01,Vuur Op Die Water,2019,15410
2019-07-01,Vuur Op Die Water,2019,35255
2019-08-01,Vuur Op Die Water,2019,53492
2019-09-01,Vuur Op Die Water,2019,45025
2019-10-01,Vuur Op Die Water,2019,53203
2019-11-01,Vuur Op Die Water,2019,43945
2019-12-01,Vuur Op Die Water,2019,52970
2020-01-01,Vuur Op Die Water,2020,66261
2020-02-01,Vuur Op Die Water,2020,11493
2020-09-01,Vuur Op Die Water,2020,61881
2020-10-01,Vuur Op Die Water,2020,63606
2020-11-01,Vuur Op Die Water,2020,65845
2020-12-01,Vuur Op Die Water,2020,73728
