date,name,category,value
2021-02-01,iThemba,2021,23789
2021-04-01,All my life,2021,24799
2021-04-01,Brand New Day,2021,19799
2021-04-01,Family,2021,20874
2021-04-01,Johustleburg,2021,21856
2021-04-01,Laqhasha,2021,28577
2021-04-01,Logan,2021,93286
2021-04-01,Long Way,2021,64307
2021-04-01,Pressure,2021,33296
2021-04-01,Revolutionary,2021,32527
2021-04-01,Saam Sokol',2021,21272
2021-04-01,Slide,2021,23701
2021-04-01,Uzoyimela,2021,26681
2021-04-01,Wave,2021,28276
2021-04-01,Where I'm at,2021,26016
2021-04-01,iThemba,2021,36453
