date,name,category,value
2020-03-01,NdiKuze,2020,24137
2020-06-01,Ke Star,2020,66439
2020-07-01,Ke Star,2020,94471
2020-08-01,Ke Star,2020,78439
2020-09-01,Ke Star,2020,83382
2020-10-01,Ke Star,2020,151007
2020-11-01,Ke Star,2020,99170
2020-12-01,Ke Star,2020,27699
2020-12-01,Ke Star (feat. Vigro Deep),2020,134625
2020-12-01,Onoroko,2020,54927
2020-12-01,Sghubu Ses Excellent,2020,26667
2020-12-01,Vrr Phaa,2020,42841
2021-01-01,Ke Star (feat. Vigro Deep),2021,81447
2021-02-01,Ke Star (feat. Vigro Deep),2021,36949
2021-02-01,Ke Star - Remix,2021,23142
2021-03-01,Ke Star - Remix,2021,92112
2021-05-01,GUPTA,2021,232178
2021-06-01,GUPTA,2021,293643
2021-07-01,GUPTA,2021,294956
2021-08-01,GUPTA,2021,150245
2021-09-01,16 Days No Sleep,2021,35296
2021-09-01,GUPTA,2021,140505
2021-10-01,16 Days No Sleep,2021,79914
2021-10-01,GUPTA,2021,23721
2022-04-01,SJEPA,2022,138458
2022-05-01,SJEPA,2022,166491
2022-06-01,3310,2022,118230
2022-06-01,SJEPA,2022,95427
2022-11-01,Tabela Hape,2022,160485
2022-11-01,Tsela Tse Nyane,2022,82133
2022-12-01,Tabela Hape,2022,162607
2022-12-01,Tsela Tse Nyane,2022,300386
2023-01-01,Tsela Tse Nyane,2023,104179
2023-04-01,Baja Ko Pele,2023,126829
2023-05-01,Baja Ko Pele,2023,300624
2023-06-01,Baja Ko Pele,2023,153227
2023-06-01,"Baja Ko Pele (feat. Xduppy, ShaunMusiq, Ftears)",2023,50802
2023-06-01,Khekheleza (Dlala Dlala),2023,276149
2023-07-01,Khekheleza (Dlala Dlala),2023,428187
2023-08-01,Khekheleza (Dlala Dlala),2023,527594
2023-09-01,Khekheleza (Dlala Dlala),2023,413591
2023-09-01,Wena My Dali,2023,272529
2023-10-01,Khekheleza (Dlala Dlala),2023,336473
2023-10-01,Wena My Dali,2023,288884
2023-11-01,Khekheleza (Dlala Dlala),2023,114335
2023-11-01,"Wena My Dali (feat. Ch'cco, MaWhoo, EeQue, Thama Tee)",2023,63152
2023-12-01,Khekheleza (Dlala Dlala),2023,219227
2024-01-01,Khekheleza (Dlala Dlala),2024,78539
2024-05-01,13 POS (Ke Bo Mang),2024,135771
2024-06-01,13 POS (Ke Bo Mang),2024,434734
2024-07-01,13 POS (Ke Bo Mang),2024,86387
