date,name,category,value
2021-05-01,Midnight Sun - Radio Edit,2021,19330
2021-06-01,Midnight Sun - Radio Edit,2021,19194
2022-03-01,Dali Yim Lo,2022,81695
2022-04-01,Healer Ntliziyo Yam,2022,25214
2022-05-01,Healer Ntliziyo Yam,2022,154389
2022-06-01,Healer Ntliziyo Yam,2022,303379
2022-06-01,Indaba Zabantu,2022,29685
2022-07-01,Healer Ntliziyo Yam,2022,302323
2022-08-01,Healer Ntliziyo Yam,2022,307759
2022-09-01,Healer Ntliziyo Yam,2022,372286
2022-10-01,Healer Ntliziyo Yam,2022,223739
2022-11-01,Healer Ntliziyo Yam,2022,178279
2022-12-01,Healer Ntliziyo Yam,2022,258927
2023-01-01,Healer Ntliziyo Yam,2023,153631
2023-09-01,Eduze,2023,215399
