date,name,category,value
2018-03-01,Hold Your Kite (feat. Sorana),2018,3106
2018-04-01,Hold Your Kite (feat. Sorana),2018,21613
2018-05-01,Hold Your Kite (feat. Sorana),2018,34075
2018-06-01,Hold Your Kite (feat. Sorana),2018,21397
2018-07-01,Hold Your Kite (feat. Sorana),2018,22452
2018-08-01,Hold Your Kite (feat. Sorana),2018,20972
2018-09-01,Hold Your Kite (feat. Sorana),2018,9417
2018-11-01,It Was You (feat. Zeeba),2018,5505
2019-08-01,Colours & Lights,2019,8339
2019-10-01,Colours & Lights,2019,9217
