date,name,category,value
2023-08-01,Dubula,2023,301831
2023-09-01,Dubula,2023,407858
2023-10-01,Dubula,2023,265981
2023-11-01,Dubula,2023,340353
2023-11-01,Dubula (feat. DJ Latimmy) - Remake,2023,1321945
2023-12-01,Dubula,2023,425269
2023-12-01,Dubula (feat. DJ Latimmy) - Remake,2023,2399608
2024-01-01,Dubula,2024,99740
2024-01-01,Dubula (feat. DJ Latimmy) - Remake,2024,1556702
2024-02-01,Dubula (feat. DJ Latimmy) - Remake,2024,1121287
2024-03-01,Dubula (feat. DJ Latimmy) - Remake,2024,701480
2024-04-01,Dubula (feat. DJ Latimmy) - Remake,2024,555999
2024-05-01,Dubula (feat. DJ Latimmy) - Remake,2024,578383
2024-06-01,Dubula (feat. DJ Latimmy) - Remake,2024,98225
2024-06-01,Sondela Dali,2024,91820
2024-07-01,Sondela Dali,2024,434878
2024-07-01,Vula Sekele,2024,188448
2024-08-01,Sondela Dali,2024,718378
2024-08-01,Vula Sekele,2024,627520
2024-09-01,Sondela Dali,2024,590886
2024-09-01,Vula Sekele,2024,514469
2024-10-01,Sondela Dali,2024,383016
2024-10-01,Vula Sekele,2024,413934
