date,name,category,value
2023-03-01,Umbayimbayi,2023,482906
2023-04-01,Umbayimbayi,2023,1522869
2023-05-01,Emaphusheni,2023,55365
2023-05-01,Ilanga,2023,56753
2023-05-01,Impumelelo (feat. Xowla),2023,49336
2023-05-01,Intro (Inkabi Zezwe),2023,165681
2023-05-01,Iskhwele,2023,59658
2023-05-01,Khaya Lami,2023,251493
2023-05-01,Omunye,2023,80847
2023-05-01,Sayona,2023,145559
2023-05-01,Siyabonga,2023,81350
2023-05-01,Slow Jam Sase Bergville,2023,75245
2023-05-01,Umbayimbayi,2023,1132149
2023-05-01,Uthando Lunye,2023,62329
2023-06-01,Intro (Inkabi Zezwe),2023,48768
2023-06-01,Khaya Lami,2023,307193
2023-06-01,Sayona,2023,217679
2023-06-01,Umbayimbayi,2023,1001505
2023-07-01,Khaya Lami,2023,194807
2023-07-01,Sayona,2023,292501
2023-07-01,Umbayimbayi,2023,600773
2023-08-01,Khaya Lami,2023,48070
2023-08-01,Sayona,2023,415101
2023-08-01,Umbayimbayi,2023,638828
2023-09-01,Sayona,2023,346910
2023-09-01,Umbayimbayi,2023,454522
2023-10-01,Sayona,2023,307489
2023-10-01,Umbayimbayi,2023,404091
2023-11-01,Sayona,2023,357326
2023-11-01,Umbayimbayi,2023,425494
2023-12-01,Sayona,2023,345837
2023-12-01,Umbayimbayi,2023,450894
2024-01-01,Sayona,2024,282600
2024-01-01,Umbayimbayi,2024,379439
2024-02-01,Sayona,2024,379863
2024-02-01,Umbayimbayi,2024,439752
2024-03-01,Sayona,2024,306746
2024-03-01,Umbayimbayi,2024,346519
2024-04-01,Sayona,2024,305973
2024-04-01,Umbayimbayi,2024,219778
2024-05-01,Sayona,2024,419899
2024-05-01,Umbayimbayi,2024,79939
2024-06-01,Sayona,2024,309959
2024-07-01,Sayona,2024,151690
2024-08-01,Sayona,2024,263159
2024-09-01,Sayona,2024,178808
